#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.229881E+00   0.775172E+06   0.770814E+06   0.381189E+00  -0.493846E+00   0.168753E+05   0.770855E+06   0.774440E+06   0.770855E+06  -0.173991E-01   0.377744E+06   0.377692E+06   0.757773E-01
   0.235014E+00   0.755475E+06   0.751449E+06   0.355472E+00  -0.460529E+00   0.158623E+05   0.751302E+06   0.754799E+06   0.751302E+06  -0.169578E-01   0.368163E+06   0.368114E+06   0.694930E-01
   0.240147E+00   0.736739E+06   0.733012E+06   0.332012E+00  -0.430137E+00   0.149292E+05   0.732700E+06   0.736113E+06   0.732700E+06  -0.165379E-01   0.359048E+06   0.359002E+06   0.640299E-01
   0.245279E+00   0.717822E+06   0.714322E+06   0.310098E+00  -0.401752E+00   0.140471E+05   0.713907E+06   0.717235E+06   0.713907E+06  -0.161137E-01   0.349839E+06   0.349795E+06   0.597185E-01
   0.250412E+00   0.698081E+06   0.694718E+06   0.289334E+00  -0.374857E+00   0.132000E+05   0.694278E+06   0.697516E+06   0.694278E+06  -0.156707E-01   0.340221E+06   0.340178E+06   0.566006E-01
   0.255544E+00   0.677475E+06   0.674168E+06   0.269620E+00  -0.349325E+00   0.123854E+05   0.673775E+06   0.676920E+06   0.673775E+06  -0.152079E-01   0.330174E+06   0.330132E+06   0.544722E-01
   0.260677E+00   0.656425E+06   0.653119E+06   0.251044E+00  -0.325269E+00   0.116088E+05   0.652821E+06   0.655870E+06   0.652821E+06  -0.147350E-01   0.319907E+06   0.319866E+06   0.529764E-01
   0.265809E+00   0.635573E+06   0.632243E+06   0.233759E+00  -0.302884E+00   0.108790E+05   0.632060E+06   0.635014E+06   0.632060E+06  -0.142664E-01   0.309734E+06   0.309692E+06   0.517157E-01
   0.270942E+00   0.615594E+06   0.612250E+06   0.217903E+00  -0.282348E+00   0.102040E+05   0.612170E+06   0.615032E+06   0.612170E+06  -0.138174E-01   0.299987E+06   0.299947E+06   0.503535E-01
   0.276074E+00   0.597062E+06   0.593739E+06   0.203550E+00  -0.263757E+00   0.958901E+04   0.593727E+06   0.596504E+06   0.593727E+06  -0.134011E-01   0.290950E+06   0.290910E+06   0.486818E-01
   0.281207E+00   0.580303E+06   0.577045E+06   0.190677E+00  -0.247081E+00   0.903463E+04   0.577055E+06   0.579756E+06   0.577055E+06  -0.130248E-01   0.282781E+06   0.282741E+06   0.466431E-01
   0.286339E+00   0.565306E+06   0.562155E+06   0.179150E+00  -0.232146E+00   0.853598E+04   0.562145E+06   0.564777E+06   0.562145E+06  -0.126883E-01   0.275474E+06   0.275436E+06   0.443117E-01
   0.291472E+00   0.551779E+06   0.548763E+06   0.168761E+00  -0.218686E+00   0.808457E+04   0.548702E+06   0.551272E+06   0.548702E+06  -0.123849E-01   0.268887E+06   0.268850E+06   0.418480E-01
   0.296604E+00   0.539277E+06   0.536406E+06   0.159282E+00  -0.206404E+00   0.767051E+04   0.536281E+06   0.538795E+06   0.536281E+06  -0.121045E-01   0.262800E+06   0.262765E+06   0.394410E-01
   0.301737E+00   0.527326E+06   0.524590E+06   0.150502E+00  -0.195027E+00   0.728450E+04   0.524408E+06   0.526866E+06   0.524408E+06  -0.118365E-01   0.256982E+06   0.256948E+06   0.372546E-01
   0.306870E+00   0.515518E+06   0.512893E+06   0.142253E+00  -0.184339E+00   0.691920E+04   0.512672E+06   0.515077E+06   0.512672E+06  -0.115716E-01   0.251231E+06   0.251199E+06   0.353908E-01
   0.312002E+00   0.503593E+06   0.501049E+06   0.134429E+00  -0.174201E+00   0.656985E+04   0.500816E+06   0.503166E+06   0.500816E+06  -0.113040E-01   0.245422E+06   0.245390E+06   0.338756E-01
   0.317135E+00   0.491490E+06   0.488996E+06   0.126984E+00  -0.164556E+00   0.623483E+04   0.488777E+06   0.491071E+06   0.488777E+06  -0.110323E-01   0.239522E+06   0.239491E+06   0.326663E-01
   0.322267E+00   0.479322E+06   0.476858E+06   0.119924E+00  -0.155410E+00   0.591474E+04   0.476670E+06   0.478908E+06   0.476670E+06  -0.107590E-01   0.233589E+06   0.233559E+06   0.316733E-01
   0.327400E+00   0.467306E+06   0.464860E+06   0.113278E+00  -0.146800E+00   0.561140E+04   0.464713E+06   0.466896E+06   0.464713E+06  -0.104891E-01   0.227730E+06   0.227700E+06   0.307894E-01
   0.332532E+00   0.455682E+06   0.453254E+06   0.107073E+00  -0.138762E+00   0.532662E+04   0.453145E+06   0.455274E+06   0.453145E+06  -0.102280E-01   0.222062E+06   0.222032E+06   0.299171E-01
   0.337665E+00   0.444646E+06   0.442247E+06   0.101326E+00  -0.131315E+00   0.506151E+04   0.442165E+06   0.444243E+06   0.442165E+06  -0.998021E-02   0.216681E+06   0.216652E+06   0.289900E-01
   0.342797E+00   0.434318E+06   0.431961E+06   0.960296E-01  -0.124453E+00   0.481620E+04   0.431892E+06   0.433922E+06   0.431892E+06  -0.974833E-02   0.211647E+06   0.211618E+06   0.279817E-01
   0.347930E+00   0.424715E+06   0.422414E+06   0.911558E-01  -0.118137E+00   0.458957E+04   0.422342E+06   0.424328E+06   0.422342E+06  -0.953277E-02   0.206967E+06   0.206939E+06   0.269032E-01
   0.353062E+00   0.415756E+06   0.413521E+06   0.866578E-01  -0.112309E+00   0.437966E+04   0.413436E+06   0.415381E+06   0.413436E+06  -0.933175E-02   0.202603E+06   0.202576E+06   0.257925E-01
   0.358195E+00   0.407299E+06   0.405135E+06   0.824803E-01  -0.106895E+00   0.418389E+04   0.405029E+06   0.406936E+06   0.405029E+06  -0.914201E-02   0.198484E+06   0.198457E+06   0.246996E-01
   0.363327E+00   0.399181E+06   0.397086E+06   0.785694E-01  -0.101827E+00   0.399981E+04   0.396961E+06   0.398829E+06   0.396961E+06  -0.895989E-02   0.194530E+06   0.194504E+06   0.236717E-01
   0.368460E+00   0.391256E+06   0.389222E+06   0.748796E-01  -0.970453E-01   0.382529E+04   0.389083E+06   0.390915E+06   0.389083E+06  -0.878208E-02   0.190669E+06   0.190644E+06   0.227417E-01
   0.373593E+00   0.383418E+06   0.381434E+06   0.713771E-01  -0.925066E-01   0.365877E+04   0.381289E+06   0.383085E+06   0.381289E+06  -0.860617E-02   0.186850E+06   0.186826E+06   0.219223E-01
   0.378725E+00   0.375618E+06   0.373673E+06   0.680421E-01  -0.881851E-01   0.349941E+04   0.373532E+06   0.375291E+06   0.373532E+06  -0.843106E-02   0.183049E+06   0.183025E+06   0.212061E-01
   0.383858E+00   0.367872E+06   0.365959E+06   0.648683E-01  -0.840725E-01   0.334696E+04   0.365827E+06   0.367551E+06   0.365827E+06  -0.825717E-02   0.179273E+06   0.179250E+06   0.205712E-01
   0.388990E+00   0.360253E+06   0.358365E+06   0.618586E-01  -0.801727E-01   0.320175E+04   0.358248E+06   0.359936E+06   0.358248E+06  -0.808609E-02   0.175559E+06   0.175536E+06   0.199885E-01
   0.394123E+00   0.352837E+06   0.350974E+06   0.590167E-01  -0.764902E-01   0.306404E+04   0.350870E+06   0.352524E+06   0.350870E+06  -0.791957E-02   0.171944E+06   0.171921E+06   0.194295E-01
   0.399255E+00   0.345685E+06   0.343848E+06   0.563428E-01  -0.730252E-01   0.293399E+04   0.343756E+06   0.345377E+06   0.343756E+06  -0.775899E-02   0.168458E+06   0.168435E+06   0.188718E-01
   0.404388E+00   0.338838E+06   0.337030E+06   0.538333E-01  -0.697732E-01   0.281151E+04   0.336946E+06   0.338534E+06   0.336946E+06  -0.760527E-02   0.165120E+06   0.165098E+06   0.183038E-01
   0.409520E+00   0.332315E+06   0.330542E+06   0.514817E-01  -0.667257E-01   0.269637E+04   0.330459E+06   0.332018E+06   0.330459E+06  -0.745887E-02   0.161942E+06   0.161920E+06   0.177248E-01
   0.414653E+00   0.326106E+06   0.324371E+06   0.492769E-01  -0.638683E-01   0.258807E+04   0.324285E+06   0.325815E+06   0.324285E+06  -0.731951E-02   0.158916E+06   0.158895E+06   0.171429E-01
   0.419785E+00   0.320164E+06   0.318467E+06   0.472032E-01  -0.611809E-01   0.248589E+04   0.318377E+06   0.319879E+06   0.318377E+06  -0.718615E-02   0.156021E+06   0.156000E+06   0.165705E-01
   0.424918E+00   0.314425E+06   0.312768E+06   0.452442E-01  -0.586419E-01   0.238905E+04   0.312672E+06   0.314147E+06   0.312672E+06  -0.705738E-02   0.153225E+06   0.153205E+06   0.160209E-01
   0.430050E+00   0.308838E+06   0.307218E+06   0.433859E-01  -0.562336E-01   0.229685E+04   0.307117E+06   0.308566E+06   0.307117E+06  -0.693201E-02   0.150503E+06   0.150483E+06   0.155044E-01
   0.435183E+00   0.303367E+06   0.301780E+06   0.416180E-01  -0.539424E-01   0.220884E+04   0.301677E+06   0.303101E+06   0.301677E+06  -0.680922E-02   0.147837E+06   0.147818E+06   0.150264E-01
   0.440316E+00   0.297989E+06   0.296431E+06   0.399325E-01  -0.517581E-01   0.212463E+04   0.296328E+06   0.297727E+06   0.296328E+06  -0.668849E-02   0.145216E+06   0.145197E+06   0.145867E-01
   0.445448E+00   0.292693E+06   0.291161E+06   0.383240E-01  -0.496735E-01   0.204398E+04   0.291062E+06   0.292436E+06   0.291062E+06  -0.656961E-02   0.142635E+06   0.142616E+06   0.141803E-01
   0.450581E+00   0.287490E+06   0.285981E+06   0.367899E-01  -0.476853E-01   0.196680E+04   0.285887E+06   0.287237E+06   0.285887E+06  -0.645282E-02   0.140099E+06   0.140081E+06   0.137991E-01
   0.455713E+00   0.282405E+06   0.280918E+06   0.353294E-01  -0.457926E-01   0.189309E+04   0.280829E+06   0.282155E+06   0.280829E+06  -0.633865E-02   0.137621E+06   0.137602E+06   0.134347E-01
   0.460846E+00   0.277462E+06   0.275997E+06   0.339420E-01  -0.439946E-01   0.182287E+04   0.275913E+06   0.277216E+06   0.275913E+06  -0.622770E-02   0.135212E+06   0.135194E+06   0.130800E-01
   0.465978E+00   0.272679E+06   0.271236E+06   0.326259E-01  -0.422889E-01   0.175606E+04   0.271156E+06   0.272437E+06   0.271156E+06  -0.612032E-02   0.132881E+06   0.132863E+06   0.127303E-01
   0.471111E+00   0.268058E+06   0.266639E+06   0.313779E-01  -0.406714E-01   0.169255E+04   0.266560E+06   0.267820E+06   0.266560E+06  -0.601659E-02   0.130629E+06   0.130611E+06   0.123836E-01
   0.476243E+00   0.263594E+06   0.262199E+06   0.301938E-01  -0.391368E-01   0.163213E+04   0.262121E+06   0.263360E+06   0.262121E+06  -0.591640E-02   0.128453E+06   0.128436E+06   0.120410E-01
   0.481376E+00   0.259277E+06   0.257906E+06   0.290693E-01  -0.376793E-01   0.157460E+04   0.257828E+06   0.259047E+06   0.257828E+06  -0.581950E-02   0.126349E+06   0.126333E+06   0.117053E-01
   0.486508E+00   0.255091E+06   0.253746E+06   0.279998E-01  -0.362932E-01   0.151974E+04   0.253666E+06   0.254865E+06   0.253666E+06  -0.572556E-02   0.124310E+06   0.124293E+06   0.113800E-01
   0.491641E+00   0.251018E+06   0.249697E+06   0.269804E-01  -0.349720E-01   0.146732E+04   0.249616E+06   0.250796E+06   0.249616E+06  -0.563415E-02   0.122325E+06   0.122309E+06   0.110682E-01
   0.496773E+00   0.247036E+06   0.245738E+06   0.260066E-01  -0.337098E-01   0.141712E+04   0.245657E+06   0.246818E+06   0.245657E+06  -0.554478E-02   0.120385E+06   0.120369E+06   0.107717E-01
   0.501906E+00   0.243133E+06   0.241856E+06   0.250748E-01  -0.325022E-01   0.136895E+04   0.241775E+06   0.242919E+06   0.241775E+06  -0.545717E-02   0.118483E+06   0.118467E+06   0.104909E-01
   0.507039E+00   0.239305E+06   0.238048E+06   0.241828E-01  -0.313461E-01   0.132272E+04   0.237969E+06   0.239094E+06   0.237969E+06  -0.537125E-02   0.116618E+06   0.116602E+06   0.102248E-01
   0.512171E+00   0.235556E+06   0.234317E+06   0.233292E-01  -0.302397E-01   0.127836E+04   0.234240E+06   0.235348E+06   0.234240E+06  -0.528708E-02   0.114790E+06   0.114775E+06   0.997159E-02
   0.517304E+00   0.231887E+06   0.230666E+06   0.225123E-01  -0.291809E-01   0.123581E+04   0.230591E+06   0.231682E+06   0.230591E+06  -0.520473E-02   0.113002E+06   0.112987E+06   0.972867E-02
   0.522436E+00   0.228302E+06   0.227099E+06   0.217308E-01  -0.281681E-01   0.119500E+04   0.227026E+06   0.228100E+06   0.227026E+06  -0.512426E-02   0.111255E+06   0.111240E+06   0.949359E-02
   0.527569E+00   0.224806E+06   0.223620E+06   0.209836E-01  -0.271997E-01   0.115591E+04   0.223549E+06   0.224607E+06   0.223549E+06  -0.504578E-02   0.109551E+06   0.109537E+06   0.926455E-02
   0.532701E+00   0.221404E+06   0.220235E+06   0.202697E-01  -0.262744E-01   0.111847E+04   0.220166E+06   0.221208E+06   0.220166E+06  -0.496942E-02   0.107893E+06   0.107879E+06   0.904057E-02
   0.537834E+00   0.218096E+06   0.216945E+06   0.195876E-01  -0.253903E-01   0.108262E+04   0.216877E+06   0.217903E+06   0.216877E+06  -0.489517E-02   0.106281E+06   0.106267E+06   0.882143E-02
   0.542966E+00   0.214876E+06   0.213743E+06   0.189353E-01  -0.245448E-01   0.104827E+04   0.213675E+06   0.214686E+06   0.213675E+06  -0.482291E-02   0.104712E+06   0.104698E+06   0.860746E-02
   0.548099E+00   0.211737E+06   0.210621E+06   0.183108E-01  -0.237353E-01   0.101531E+04   0.210553E+06   0.211549E+06   0.210553E+06  -0.475244E-02   0.103183E+06   0.103169E+06   0.839934E-02
   0.553231E+00   0.208672E+06   0.207573E+06   0.177124E-01  -0.229598E-01   0.983668E+03   0.207505E+06   0.208487E+06   0.207505E+06  -0.468365E-02   0.101689E+06   0.101675E+06   0.819792E-02
   0.558364E+00   0.205677E+06   0.204595E+06   0.171388E-01  -0.222162E-01   0.953268E+03   0.204528E+06   0.205496E+06   0.204528E+06  -0.461644E-02   0.100230E+06   0.100216E+06   0.800381E-02
   0.563496E+00   0.202748E+06   0.201681E+06   0.165882E-01  -0.215026E-01   0.924038E+03   0.201614E+06   0.202568E+06   0.201614E+06  -0.455068E-02   0.988020E+05   0.987888E+05   0.781724E-02
   0.568629E+00   0.199876E+06   0.198824E+06   0.160594E-01  -0.208171E-01   0.895899E+03   0.198758E+06   0.199699E+06   0.198758E+06  -0.448622E-02   0.974025E+05   0.973895E+05   0.763795E-02
   0.573762E+00   0.197059E+06   0.196022E+06   0.155511E-01  -0.201583E-01   0.868800E+03   0.195958E+06   0.196885E+06   0.195958E+06  -0.442300E-02   0.960300E+05   0.960172E+05   0.746541E-02
   0.578894E+00   0.194300E+06   0.193278E+06   0.150626E-01  -0.195252E-01   0.842711E+03   0.193214E+06   0.194129E+06   0.193214E+06  -0.436107E-02   0.946855E+05   0.946729E+05   0.729895E-02
   0.584027E+00   0.191601E+06   0.190592E+06   0.145934E-01  -0.189170E-01   0.817602E+03   0.190530E+06   0.191432E+06   0.190530E+06  -0.430049E-02   0.933701E+05   0.933576E+05   0.713782E-02
   0.589159E+00   0.188961E+06   0.187966E+06   0.141426E-01  -0.183327E-01   0.793437E+03   0.187904E+06   0.188794E+06   0.187904E+06  -0.424123E-02   0.920836E+05   0.920713E+05   0.698132E-02
   0.594292E+00   0.186379E+06   0.185397E+06   0.137094E-01  -0.177712E-01   0.770168E+03   0.185336E+06   0.186214E+06   0.185336E+06  -0.418326E-02   0.908251E+05   0.908129E+05   0.682890E-02
   0.599424E+00   0.183853E+06   0.182885E+06   0.132931E-01  -0.172315E-01   0.747768E+03   0.182825E+06   0.183691E+06   0.182825E+06  -0.412658E-02   0.895945E+05   0.895824E+05   0.668028E-02
   0.604557E+00   0.181386E+06   0.180430E+06   0.128929E-01  -0.167129E-01   0.726201E+03   0.180371E+06   0.181226E+06   0.180371E+06  -0.407121E-02   0.883921E+05   0.883803E+05   0.653545E-02
   0.609689E+00   0.178975E+06   0.178032E+06   0.125082E-01  -0.162143E-01   0.705435E+03   0.177974E+06   0.178817E+06   0.177974E+06  -0.401709E-02   0.872172E+05   0.872055E+05   0.639447E-02
   0.614822E+00   0.176616E+06   0.175686E+06   0.121381E-01  -0.157345E-01   0.685421E+03   0.175628E+06   0.176460E+06   0.175628E+06  -0.396413E-02   0.860675E+05   0.860559E+05   0.625745E-02
   0.619954E+00   0.174304E+06   0.173387E+06   0.117817E-01  -0.152725E-01   0.666117E+03   0.173329E+06   0.174150E+06   0.173329E+06  -0.391225E-02   0.849411E+05   0.849297E+05   0.612447E-02
   0.625087E+00   0.172039E+06   0.171134E+06   0.114384E-01  -0.148276E-01   0.647494E+03   0.171077E+06   0.171887E+06   0.171077E+06  -0.386142E-02   0.838373E+05   0.838261E+05   0.599560E-02
   0.630219E+00   0.169820E+06   0.168926E+06   0.111077E-01  -0.143989E-01   0.629522E+03   0.168870E+06   0.169670E+06   0.168870E+06  -0.381160E-02   0.827558E+05   0.827447E+05   0.587083E-02
   0.635352E+00   0.167645E+06   0.166762E+06   0.107889E-01  -0.139857E-01   0.612175E+03   0.166707E+06   0.167496E+06   0.166707E+06  -0.376277E-02   0.816956E+05   0.816847E+05   0.574998E-02
   0.640485E+00   0.165510E+06   0.164639E+06   0.104815E-01  -0.135872E-01   0.595417E+03   0.164584E+06   0.165364E+06   0.164584E+06  -0.371486E-02   0.806555E+05   0.806447E+05   0.563279E-02
   0.645617E+00   0.163416E+06   0.162556E+06   0.101850E-01  -0.132029E-01   0.579230E+03   0.162502E+06   0.163272E+06   0.162502E+06  -0.366786E-02   0.796350E+05   0.796243E+05   0.551899E-02
   0.650750E+00   0.161363E+06   0.160513E+06   0.989904E-02  -0.128322E-01   0.563594E+03   0.160460E+06   0.161220E+06   0.160460E+06  -0.362178E-02   0.786346E+05   0.786240E+05   0.540836E-02
   0.655882E+00   0.159352E+06   0.158513E+06   0.962325E-02  -0.124747E-01   0.548493E+03   0.158460E+06   0.159211E+06   0.158460E+06  -0.357664E-02   0.776545E+05   0.776441E+05   0.530068E-02
   0.661015E+00   0.157381E+06   0.156552E+06   0.935720E-02  -0.121298E-01   0.533906E+03   0.156500E+06   0.157242E+06   0.156500E+06  -0.353240E-02   0.766940E+05   0.766838E+05   0.519576E-02
   0.666147E+00   0.155448E+06   0.154630E+06   0.910041E-02  -0.117970E-01   0.519803E+03   0.154578E+06   0.155311E+06   0.154578E+06  -0.348902E-02   0.757522E+05   0.757420E+05   0.509348E-02
   0.671280E+00   0.153553E+06   0.152745E+06   0.885251E-02  -0.114756E-01   0.506173E+03   0.152694E+06   0.153417E+06   0.152694E+06  -0.344649E-02   0.748286E+05   0.748186E+05   0.499379E-02
   0.676412E+00   0.151696E+06   0.150897E+06   0.861319E-02  -0.111654E-01   0.492993E+03   0.150847E+06   0.151561E+06   0.150847E+06  -0.340479E-02   0.739234E+05   0.739135E+05   0.489668E-02
   0.681545E+00   0.149875E+06   0.149085E+06   0.838209E-02  -0.108659E-01   0.480252E+03   0.149036E+06   0.149742E+06   0.149036E+06  -0.336392E-02   0.730360E+05   0.730262E+05   0.480215E-02
   0.686677E+00   0.148087E+06   0.147308E+06   0.815879E-02  -0.105764E-01   0.467922E+03   0.147259E+06   0.147957E+06   0.147259E+06  -0.332381E-02   0.721651E+05   0.721554E+05   0.471014E-02
   0.691810E+00   0.146333E+06   0.145562E+06   0.794292E-02  -0.102966E-01   0.455987E+03   0.145513E+06   0.146203E+06   0.145513E+06  -0.328442E-02   0.713099E+05   0.713003E+05   0.462062E-02
   0.696942E+00   0.144610E+06   0.143848E+06   0.773420E-02  -0.100261E-01   0.444433E+03   0.143800E+06   0.144482E+06   0.143800E+06  -0.324574E-02   0.704702E+05   0.704608E+05   0.453351E-02
   0.702075E+00   0.142919E+06   0.142166E+06   0.753240E-02  -0.976447E-02   0.433247E+03   0.142119E+06   0.142792E+06   0.142119E+06  -0.320779E-02   0.696462E+05   0.696369E+05   0.444877E-02
   0.707208E+00   0.141259E+06   0.140515E+06   0.733724E-02  -0.951149E-02   0.422418E+03   0.140468E+06   0.141134E+06   0.140468E+06  -0.317053E-02   0.688373E+05   0.688281E+05   0.436627E-02
   0.712340E+00   0.139628E+06   0.138893E+06   0.714840E-02  -0.926671E-02   0.411923E+03   0.138846E+06   0.139505E+06   0.138846E+06  -0.313393E-02   0.680427E+05   0.680336E+05   0.428588E-02
   0.717473E+00   0.138026E+06   0.137299E+06   0.696565E-02  -0.902981E-02   0.401757E+03   0.137253E+06   0.137904E+06   0.137253E+06  -0.309798E-02   0.672621E+05   0.672530E+05   0.420749E-02
   0.722605E+00   0.136453E+06   0.135735E+06   0.678879E-02  -0.880056E-02   0.391905E+03   0.135689E+06   0.136333E+06   0.135689E+06  -0.306268E-02   0.664956E+05   0.664867E+05   0.413105E-02
   0.727738E+00   0.134910E+06   0.134199E+06   0.661765E-02  -0.857871E-02   0.382361E+03   0.134154E+06   0.134791E+06   0.134154E+06  -0.302803E-02   0.657434E+05   0.657346E+05   0.405648E-02
   0.732870E+00   0.133394E+06   0.132692E+06   0.645195E-02  -0.836393E-02   0.373110E+03   0.132647E+06   0.133276E+06   0.132647E+06  -0.299401E-02   0.650047E+05   0.649959E+05   0.398370E-02
   0.738003E+00   0.131904E+06   0.131210E+06   0.629146E-02  -0.815589E-02   0.364139E+03   0.131166E+06   0.131788E+06   0.131166E+06  -0.296057E-02   0.642787E+05   0.642701E+05   0.391267E-02
   0.743135E+00   0.130440E+06   0.129753E+06   0.613599E-02  -0.795435E-02   0.355440E+03   0.129710E+06   0.130325E+06   0.129710E+06  -0.292771E-02   0.635653E+05   0.635567E+05   0.384334E-02
   0.748268E+00   0.129002E+06   0.128323E+06   0.598538E-02  -0.775912E-02   0.347001E+03   0.128280E+06   0.128888E+06   0.128280E+06  -0.289543E-02   0.628646E+05   0.628561E+05   0.377571E-02
   0.753400E+00   0.127590E+06   0.126918E+06   0.583945E-02  -0.756996E-02   0.338817E+03   0.126875E+06   0.127477E+06   0.126875E+06  -0.286373E-02   0.621762E+05   0.621678E+05   0.370974E-02
   0.758533E+00   0.126201E+06   0.125537E+06   0.569799E-02  -0.738658E-02   0.330874E+03   0.125494E+06   0.126089E+06   0.125494E+06  -0.283256E-02   0.614995E+05   0.614912E+05   0.364536E-02
   0.763665E+00   0.124835E+06   0.124178E+06   0.556079E-02  -0.720873E-02   0.323163E+03   0.124136E+06   0.124724E+06   0.124136E+06  -0.280189E-02   0.608336E+05   0.608254E+05   0.358252E-02
   0.768798E+00   0.123492E+06   0.122842E+06   0.542775E-02  -0.703628E-02   0.315677E+03   0.122800E+06   0.123383E+06   0.122800E+06  -0.277175E-02   0.601792E+05   0.601710E+05   0.352119E-02
   0.773931E+00   0.122172E+06   0.121529E+06   0.529875E-02  -0.686906E-02   0.308411E+03   0.121488E+06   0.122064E+06   0.121488E+06  -0.274212E-02   0.595360E+05   0.595279E+05   0.346133E-02
   0.779063E+00   0.120874E+06   0.120238E+06   0.517362E-02  -0.670686E-02   0.301357E+03   0.120197E+06   0.120767E+06   0.120197E+06  -0.271300E-02   0.589037E+05   0.588957E+05   0.340288E-02
   0.784196E+00   0.119598E+06   0.118968E+06   0.505220E-02  -0.654945E-02   0.294502E+03   0.118928E+06   0.119492E+06   0.118928E+06  -0.268435E-02   0.582816E+05   0.582738E+05   0.334577E-02
   0.789328E+00   0.118342E+06   0.117719E+06   0.493434E-02  -0.639667E-02   0.287845E+03   0.117679E+06   0.118237E+06   0.117679E+06  -0.265616E-02   0.576696E+05   0.576618E+05   0.328996E-02
   0.794461E+00   0.117107E+06   0.116491E+06   0.481996E-02  -0.624841E-02   0.281376E+03   0.116451E+06   0.117004E+06   0.116451E+06  -0.262845E-02   0.570679E+05   0.570601E+05   0.323543E-02
   0.799593E+00   0.115893E+06   0.115283E+06   0.470895E-02  -0.610450E-02   0.275093E+03   0.115244E+06   0.115791E+06   0.115244E+06  -0.260120E-02   0.564762E+05   0.564686E+05   0.318213E-02
   0.804726E+00   0.114699E+06   0.114095E+06   0.460117E-02  -0.596478E-02   0.268986E+03   0.114056E+06   0.114597E+06   0.114056E+06  -0.257439E-02   0.558943E+05   0.558867E+05   0.313003E-02
   0.809858E+00   0.113523E+06   0.112926E+06   0.449646E-02  -0.582906E-02   0.263048E+03   0.112887E+06   0.113423E+06   0.112887E+06  -0.254801E-02   0.553214E+05   0.553139E+05   0.307909E-02
   0.814991E+00   0.112366E+06   0.111775E+06   0.439476E-02  -0.569721E-02   0.257275E+03   0.111737E+06   0.112267E+06   0.111737E+06  -0.252204E-02   0.547576E+05   0.547502E+05   0.302928E-02
   0.820123E+00   0.111228E+06   0.110643E+06   0.429596E-02  -0.556914E-02   0.251661E+03   0.110605E+06   0.111130E+06   0.110605E+06  -0.249649E-02   0.542030E+05   0.541957E+05   0.298059E-02
   0.825256E+00   0.110109E+06   0.109529E+06   0.419998E-02  -0.544472E-02   0.246203E+03   0.109492E+06   0.110011E+06   0.109492E+06  -0.247136E-02   0.536574E+05   0.536501E+05   0.293300E-02
   0.830388E+00   0.109006E+06   0.108432E+06   0.410669E-02  -0.532379E-02   0.240893E+03   0.108396E+06   0.108910E+06   0.108396E+06  -0.244662E-02   0.531202E+05   0.531130E+05   0.288645E-02
   0.835521E+00   0.107921E+06   0.107353E+06   0.401599E-02  -0.520622E-02   0.235726E+03   0.107316E+06   0.107825E+06   0.107316E+06  -0.242226E-02   0.525912E+05   0.525841E+05   0.284091E-02
   0.897300E+00   0.960875E+05   0.955817E+05   0.310021E-02  -0.401907E-02   0.183282E+03   0.955491E+05   0.960026E+05   0.955491E+05  -0.215666E-02   0.468247E+05   0.468183E+05   0.236314E-02
   0.963647E+00   0.855050E+05   0.850549E+05   0.239195E-02  -0.310092E-02   0.142342E+03   0.850259E+05   0.854295E+05   0.850259E+05  -0.191914E-02   0.416677E+05   0.416620E+05   0.196568E-02
   0.103490E+01   0.760471E+05   0.756468E+05   0.184450E-02  -0.239123E-02   0.110424E+03   0.756208E+05   0.759799E+05   0.756208E+05  -0.170685E-02   0.370587E+05   0.370536E+05   0.163516E-02
   0.111142E+01   0.676002E+05   0.672443E+05   0.142161E-02  -0.184301E-02   0.855742E+02   0.672212E+05   0.675404E+05   0.672212E+05  -0.151726E-02   0.329424E+05   0.329379E+05   0.136044E-02
   0.119360E+01   0.600621E+05   0.597459E+05   0.109514E-02  -0.141978E-02   0.662510E+02   0.597254E+05   0.600090E+05   0.597254E+05  -0.134807E-02   0.292690E+05   0.292650E+05   0.113221E-02
   0.122679E+01   0.573861E+05   0.570840E+05   0.990505E-03  -0.128413E-02   0.600278E+02   0.570643E+05   0.573354E+05   0.570643E+05  -0.128801E-02   0.279650E+05   0.279611E+05   0.105515E-02
   0.171212E+01   0.327970E+05   0.326242E+05   0.290631E-03  -0.376799E-03   0.179148E+02   0.326130E+05   0.327680E+05   0.326130E+05  -0.736116E-03   0.159824E+05   0.159800E+05   0.451423E-03
   0.238945E+01   0.185760E+05   0.184779E+05   0.845109E-04  -0.109573E-03   0.526296E+01   0.184717E+05   0.185595E+05   0.184717E+05  -0.416930E-03   0.905229E+04   0.905087E+04   0.198560E-03
   0.333475E+01   0.104397E+05   0.103843E+05   0.243830E-04  -0.316163E-04   0.152754E+01   0.103810E+05   0.104304E+05   0.103810E+05  -0.234313E-03   0.508736E+04   0.508644E+04   0.920251E-04
   0.465402E+01   0.582740E+04   0.579619E+04   0.698689E-05  -0.906098E-05   0.439179E+00   0.579460E+04   0.582216E+04   0.579460E+04  -0.130791E-03   0.283973E+04   0.283909E+04   0.462142E-04
   0.649521E+01   0.323353E+04   0.321591E+04   0.198995E-05  -0.258143E-05   0.125324E+00   0.321529E+04   0.323058E+04   0.321529E+04  -0.725730E-04   0.157571E+04   0.157521E+04   0.256612E-04
