#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.176146E-03   0.202865E+08   0.202863E+08   0.229322E+08   0.228149E+08   0.202759E+08   0.202864E+08   0.202865E+08   0.202925E+08  -0.458285E+00   0.992541E+07   0.992535E+07   0.107974E+03
   0.194497E-03   0.202846E+08   0.202844E+08   0.221085E+08   0.219695E+08   0.202712E+08   0.202845E+08   0.202846E+08   0.202904E+08  -0.458232E+00   0.992447E+07   0.992440E+07   0.118117E+03
   0.214761E-03   0.202824E+08   0.202821E+08   0.211412E+08   0.209776E+08   0.202655E+08   0.202822E+08   0.202823E+08   0.202879E+08  -0.458169E+00   0.992334E+07   0.992325E+07   0.128957E+03
   0.237135E-03   0.202796E+08   0.202793E+08   0.200149E+08   0.198236E+08   0.202585E+08   0.202795E+08   0.202796E+08   0.202848E+08  -0.458093E+00   0.992196E+07   0.992186E+07   0.140453E+03
   0.261841E-03   0.202763E+08   0.202759E+08   0.187169E+08   0.184956E+08   0.202500E+08   0.202761E+08   0.202762E+08   0.202811E+08  -0.458001E+00   0.992029E+07   0.992017E+07   0.152533E+03
   0.289120E-03   0.202723E+08   0.202718E+08   0.172404E+08   0.169873E+08   0.202398E+08   0.202720E+08   0.202722E+08   0.202766E+08  -0.457891E+00   0.991828E+07   0.991813E+07   0.165079E+03
   0.319242E-03   0.202674E+08   0.202668E+08   0.155875E+08   0.153023E+08   0.202273E+08   0.202671E+08   0.202673E+08   0.202713E+08  -0.457759E+00   0.991584E+07   0.991567E+07   0.177919E+03
   0.352502E-03   0.202616E+08   0.202608E+08   0.137737E+08   0.134582E+08   0.202122E+08   0.202612E+08   0.202614E+08   0.202649E+08  -0.457602E+00   0.991290E+07   0.991270E+07   0.190816E+03
   0.389226E-03   0.202545E+08   0.202536E+08   0.118328E+08   0.114915E+08   0.201940E+08   0.202541E+08   0.202544E+08   0.202572E+08  -0.457415E+00   0.990936E+07   0.990913E+07   0.203459E+03
   0.429777E-03   0.202461E+08   0.202450E+08   0.982057E+07   0.946178E+07   0.201719E+08   0.202455E+08   0.202459E+08   0.202481E+08  -0.457193E+00   0.990512E+07   0.990484E+07   0.215462E+03
   0.474553E-03   0.202360E+08   0.202347E+08   0.781700E+07   0.745324E+07   0.201453E+08   0.202353E+08   0.202357E+08   0.202374E+08  -0.456933E+00   0.990004E+07   0.989972E+07   0.226368E+03
   0.523994E-03   0.202239E+08   0.202224E+08   0.592341E+07   0.557127E+07   0.201133E+08   0.202231E+08   0.202236E+08   0.202247E+08  -0.456627E+00   0.989398E+07   0.989361E+07   0.235666E+03
   0.578585E-03   0.202095E+08   0.202078E+08   0.425198E+07   0.393093E+07   0.200748E+08   0.202086E+08   0.202092E+08   0.202097E+08  -0.456270E+00   0.988679E+07   0.988636E+07   0.242824E+03
   0.638864E-03   0.201925E+08   0.201905E+08   0.290541E+07   0.263496E+07   0.200286E+08   0.201914E+08   0.201922E+08   0.201922E+08  -0.455855E+00   0.987827E+07   0.987779E+07   0.247343E+03
   0.705423E-03   0.201725E+08   0.201702E+08   0.194748E+07   0.174277E+07   0.199734E+08   0.201712E+08   0.201721E+08   0.201717E+08  -0.455373E+00   0.986823E+07   0.986771E+07   0.248820E+03
   0.778916E-03   0.201489E+08   0.201463E+08   0.137229E+07   0.123870E+07   0.199078E+08   0.201474E+08   0.201485E+08   0.201477E+08  -0.454817E+00   0.985646E+07   0.985588E+07   0.247013E+03
   0.860066E-03   0.201214E+08   0.201184E+08   0.108848E+07   0.101744E+07   0.198298E+08   0.201195E+08   0.201209E+08   0.201198E+08  -0.454174E+00   0.984270E+07   0.984208E+07   0.241887E+03
   0.949671E-03   0.200892E+08   0.200859E+08   0.940429E+06   0.909577E+06   0.197376E+08   0.200870E+08   0.200887E+08   0.200872E+08  -0.453430E+00   0.982670E+07   0.982604E+07   0.233613E+03
   0.104861E-02   0.200518E+08   0.200483E+08   0.777328E+06   0.757584E+06   0.196289E+08   0.200492E+08   0.200512E+08   0.200494E+08  -0.452571E+00   0.980815E+07   0.980745E+07   0.222525E+03
   0.115786E-02   0.200085E+08   0.200048E+08   0.543257E+06   0.511557E+06   0.195014E+08   0.200055E+08   0.200079E+08   0.200056E+08  -0.451578E+00   0.978669E+07   0.978597E+07   0.209043E+03
   0.127849E-02   0.199585E+08   0.199545E+08   0.311729E+06   0.261894E+06   0.193530E+08   0.199550E+08   0.199578E+08   0.199551E+08  -0.450432E+00   0.976194E+07   0.976120E+07   0.193643E+03
   0.141169E-02   0.199009E+08   0.198968E+08   0.193517E+06   0.135324E+06   0.191819E+08   0.198968E+08   0.199002E+08   0.198968E+08  -0.449114E+00   0.973346E+07   0.973271E+07   0.176906E+03
   0.155876E-02   0.198347E+08   0.198305E+08   0.179540E+06  -0.273323E+06   0.189860E+08   0.198300E+08   0.198340E+08   0.198300E+08  -0.447601E+00   0.970080E+07   0.970005E+07   0.159590E+03
   0.172116E-02   0.197589E+08   0.197547E+08   0.140432E+06  -0.223310E+06   0.187634E+08   0.197535E+08   0.197582E+08   0.197535E+08  -0.445872E+00   0.966340E+07   0.966266E+07   0.142590E+03
   0.190047E-02   0.196724E+08   0.196682E+08   0.472602E+05  -0.182349E+06   0.185131E+08   0.196662E+08   0.196717E+08   0.196662E+08  -0.443900E+00   0.962073E+07   0.962001E+07   0.126733E+03
   0.209847E-02   0.195739E+08   0.195698E+08   0.198228E+05  -0.148809E+06   0.182343E+08   0.195669E+08   0.195732E+08   0.195669E+08  -0.441657E+00   0.957221E+07   0.957150E+07   0.112606E+03
   0.231709E-02   0.194623E+08   0.194581E+08   0.358136E+05  -0.121355E+06   0.179265E+08   0.194543E+08   0.194616E+08   0.194543E+08  -0.439115E+00   0.951722E+07   0.951652E+07   0.100543E+03
   0.255850E-02   0.193362E+08   0.193319E+08   0.844736E+03  -0.988894E+05   0.175897E+08   0.193272E+08   0.193355E+08   0.193272E+08  -0.436245E+00   0.945513E+07   0.945444E+07   0.905174E+02
   0.282505E-02   0.191943E+08   0.191898E+08   0.170883E+04  -0.805139E+05   0.172241E+08   0.191842E+08   0.191936E+08   0.191842E+08  -0.433017E+00   0.938529E+07   0.938460E+07   0.820626E+02
   0.311937E-02   0.190353E+08   0.190306E+08  -0.624729E+04  -0.654912E+05   0.168291E+08   0.190241E+08   0.190345E+08   0.190241E+08  -0.429400E+00   0.930706E+07   0.930636E+07   0.745403E+02
   0.344436E-02   0.188578E+08   0.188528E+08  -0.105908E+05  -0.532162E+05   0.164041E+08   0.188453E+08   0.188570E+08   0.188453E+08  -0.425366E+00   0.921977E+07   0.921908E+07   0.674245E+02
   0.380321E-02   0.186605E+08   0.186552E+08  -0.170462E+05  -0.431927E+05   0.159479E+08   0.186468E+08   0.186596E+08   0.186468E+08  -0.420883E+00   0.912279E+07   0.912210E+07   0.605905E+02
   0.419944E-02   0.184420E+08   0.184364E+08  -0.712454E+04  -0.350135E+05   0.154599E+08   0.184270E+08   0.184411E+08   0.184270E+08  -0.415922E+00   0.901544E+07   0.901476E+07   0.542879E+02
   0.463695E-02   0.182010E+08   0.181951E+08  -0.846621E+04  -0.283445E+05   0.149395E+08   0.181846E+08   0.182000E+08   0.181846E+08  -0.410451E+00   0.889708E+07   0.889641E+07   0.487796E+02
   0.512004E-02   0.179363E+08   0.179297E+08  -0.104024E+05  -0.229116E+05   0.143882E+08   0.179184E+08   0.179352E+08   0.179184E+08  -0.404442E+00   0.876706E+07   0.876638E+07   0.439861E+02
   0.565346E-02   0.176468E+08   0.176397E+08  -0.731578E+04  -0.184904E+05   0.137825E+08   0.176273E+08   0.176456E+08   0.176273E+08  -0.397872E+00   0.862492E+07   0.862425E+07   0.396120E+02
   0.624246E-02   0.173303E+08   0.173225E+08  -0.696830E+04  -0.148952E+05   0.131554E+08   0.173092E+08   0.173290E+08   0.173092E+08  -0.390692E+00   0.846956E+07   0.846889E+07   0.355662E+02
   0.689282E-02   0.169859E+08   0.169772E+08  -0.556699E+04  -0.119755E+05   0.124946E+08   0.169632E+08   0.169844E+08   0.169632E+08  -0.382881E+00   0.830052E+07   0.829986E+07   0.319824E+02
   0.761094E-02   0.166122E+08   0.166024E+08  -0.562222E+04  -0.960726E+04   0.118089E+08   0.165879E+08   0.166106E+08   0.165879E+08  -0.374410E+00   0.811718E+07   0.811653E+07   0.288118E+02
   0.840387E-02   0.162080E+08   0.161969E+08  -0.461825E+04  -0.768904E+04   0.111073E+08   0.161820E+08   0.162061E+08   0.161820E+08  -0.365249E+00   0.791890E+07   0.791825E+07   0.259343E+02
   0.927941E-02   0.157720E+08   0.157594E+08  -0.345545E+04  -0.613769E+04   0.103896E+08   0.157444E+08   0.157699E+08   0.157444E+08  -0.355371E+00   0.770508E+07   0.770443E+07   0.233788E+02
   0.102462E-01   0.153030E+08   0.152887E+08  -0.320968E+04  -0.488512E+04   0.965584E+07   0.152739E+08   0.153006E+08   0.152739E+08  -0.344751E+00   0.747516E+07   0.747451E+07   0.211014E+02
   0.113137E-01   0.147998E+08   0.147834E+08  -0.265152E+04  -0.387559E+04   0.891308E+07   0.147692E+08   0.147970E+08   0.147692E+08  -0.333359E+00   0.722852E+07   0.722787E+07   0.190715E+02
   0.124923E-01   0.142612E+08   0.142425E+08  -0.197940E+04  -0.306355E+04   0.816917E+07   0.142293E+08   0.142581E+08   0.142293E+08  -0.321172E+00   0.696462E+07   0.696397E+07   0.172675E+02
   0.137938E-01   0.136865E+08   0.136650E+08  -0.179657E+04  -0.241184E+04   0.743010E+07   0.136533E+08   0.136829E+08   0.136533E+08  -0.308172E+00   0.668306E+07   0.668241E+07   0.156618E+02
