#    L    TT             EE             BB             TE          
    91   0.238261E+04   0.612575E+00   0.614378E-02  -0.171826E+02
    92   0.241119E+04   0.627243E+00   0.613387E-02  -0.177927E+02
    93   0.244006E+04   0.641881E+00   0.612118E-02  -0.184073E+02
    94   0.246900E+04   0.656452E+00   0.610579E-02  -0.190251E+02
    95   0.249823E+04   0.670958E+00   0.608774E-02  -0.196467E+02
    96   0.252745E+04   0.685384E+00   0.606710E-02  -0.202715E+02
    97   0.255711E+04   0.699717E+00   0.604392E-02  -0.208988E+02
    98   0.258699E+04   0.713949E+00   0.601827E-02  -0.215265E+02
    99   0.261695E+04   0.728044E+00   0.599020E-02  -0.221574E+02
   100   0.264719E+04   0.742002E+00   0.595978E-02  -0.227872E+02
   101   0.267758E+04   0.755885E+00   0.592707E-02  -0.234189E+02
   102   0.270850E+04   0.769544E+00   0.589211E-02  -0.240504E+02
   103   0.273933E+04   0.783055E+00   0.585498E-02  -0.246823E+02
   104   0.277039E+04   0.796417E+00   0.581573E-02  -0.253118E+02
   105   0.280160E+04   0.809558E+00   0.577442E-02  -0.259404E+02
   106   0.283304E+04   0.822552E+00   0.573112E-02  -0.265673E+02
   107   0.286441E+04   0.835252E+00   0.568587E-02  -0.271912E+02
   108   0.289615E+04   0.847733E+00   0.563875E-02  -0.278128E+02
   109   0.292804E+04   0.859920E+00   0.558980E-02  -0.284307E+02
   110   0.296002E+04   0.871816E+00   0.553909E-02  -0.290435E+02
   111   0.299214E+04   0.883495E+00   0.548668E-02  -0.296525E+02
   112   0.302443E+04   0.894883E+00   0.543265E-02  -0.302572E+02
   113   0.305694E+04   0.905980E+00   0.537707E-02  -0.308560E+02
   114   0.308953E+04   0.916713E+00   0.532002E-02  -0.314481E+02
   115   0.312234E+04   0.927230E+00   0.526156E-02  -0.320335E+02
   116   0.315516E+04   0.937310E+00   0.520179E-02  -0.326115E+02
   117   0.318827E+04   0.947026E+00   0.514077E-02  -0.331813E+02
   118   0.322154E+04   0.956527E+00   0.507858E-02  -0.337436E+02
   119   0.325479E+04   0.965666E+00   0.501530E-02  -0.342963E+02
   120   0.328820E+04   0.974294E+00   0.495101E-02  -0.348392E+02
   121   0.332160E+04   0.982709E+00   0.488577E-02  -0.353725E+02
   122   0.335507E+04   0.990614E+00   0.481967E-02  -0.358952E+02
   123   0.338861E+04   0.998083E+00   0.475278E-02  -0.364074E+02
   124   0.342222E+04   0.100519E+01   0.468518E-02  -0.369062E+02
   125   0.345581E+04   0.101187E+01   0.461694E-02  -0.373937E+02
   126   0.348948E+04   0.101818E+01   0.454814E-02  -0.378691E+02
   127   0.352313E+04   0.102398E+01   0.447886E-02  -0.383318E+02
   128   0.355677E+04   0.102943E+01   0.440917E-02  -0.387810E+02
   129   0.359047E+04   0.103437E+01   0.433915E-02  -0.392158E+02
   130   0.362416E+04   0.103880E+01   0.426887E-02  -0.396356E+02
   131   0.365784E+04   0.104287E+01   0.419842E-02  -0.400418E+02
   132   0.369157E+04   0.104644E+01   0.412783E-02  -0.404316E+02
   133   0.372522E+04   0.104958E+01   0.405718E-02  -0.408071E+02
   134   0.375886E+04   0.105228E+01   0.398652E-02  -0.411639E+02
   135   0.379248E+04   0.105448E+01   0.391589E-02  -0.415051E+02
   136   0.382595E+04   0.105618E+01   0.384537E-02  -0.418269E+02
   137   0.385942E+04   0.105744E+01   0.377499E-02  -0.421318E+02
   138   0.389280E+04   0.105820E+01   0.370482E-02  -0.424181E+02
   139   0.392595E+04   0.105861E+01   0.363491E-02  -0.426852E+02
   140   0.395917E+04   0.105844E+01   0.356532E-02  -0.429339E+02
   141   0.399217E+04   0.105776E+01   0.349610E-02  -0.431619E+02
   142   0.402516E+04   0.105666E+01   0.342731E-02  -0.433702E+02
   143   0.405808E+04   0.105513E+01   0.335900E-02  -0.435587E+02
   144   0.409078E+04   0.105310E+01   0.329123E-02  -0.437267E+02
   145   0.412332E+04   0.105072E+01   0.322405E-02  -0.438734E+02
   146   0.415595E+04   0.104777E+01   0.315751E-02  -0.439991E+02
   147   0.418821E+04   0.104446E+01   0.309168E-02  -0.441021E+02
   148   0.422032E+04   0.104065E+01   0.302661E-02  -0.441841E+02
   149   0.425236E+04   0.103642E+01   0.296235E-02  -0.442435E+02
   150   0.428412E+04   0.103184E+01   0.289896E-02  -0.442782E+02
   151   0.431573E+04   0.102683E+01   0.283648E-02  -0.442913E+02
   152   0.434706E+04   0.102133E+01   0.277495E-02  -0.442811E+02
   153   0.437824E+04   0.101547E+01   0.271437E-02  -0.442455E+02
   154   0.440920E+04   0.100927E+01   0.265478E-02  -0.441867E+02
   155   0.443995E+04   0.100271E+01   0.259618E-02  -0.441040E+02
   156   0.447033E+04   0.995803E+00   0.253859E-02  -0.439973E+02
   157   0.450063E+04   0.988545E+00   0.248203E-02  -0.438652E+02
   158   0.453065E+04   0.981011E+00   0.242652E-02  -0.437084E+02
   159   0.456036E+04   0.973050E+00   0.237208E-02  -0.435268E+02
   160   0.458986E+04   0.964812E+00   0.231873E-02  -0.433190E+02
   161   0.461913E+04   0.956370E+00   0.226648E-02  -0.430866E+02
   162   0.464810E+04   0.947576E+00   0.221536E-02  -0.428293E+02
   163   0.467692E+04   0.938504E+00   0.216537E-02  -0.425459E+02
   164   0.470530E+04   0.929227E+00   0.211655E-02  -0.422377E+02
   165   0.473352E+04   0.919671E+00   0.206890E-02  -0.419026E+02
   166   0.476144E+04   0.909985E+00   0.202244E-02  -0.415419E+02
   167   0.478914E+04   0.899946E+00   0.197720E-02  -0.411565E+02
   168   0.481638E+04   0.889924E+00   0.193319E-02  -0.407441E+02
   169   0.484332E+04   0.879622E+00   0.189043E-02  -0.403047E+02
   170   0.486995E+04   0.869263E+00   0.184894E-02  -0.398397E+02
   171   0.489613E+04   0.858847E+00   0.180873E-02  -0.393471E+02
   172   0.492193E+04   0.848298E+00   0.176983E-02  -0.388281E+02
   173   0.494727E+04   0.837618E+00   0.173224E-02  -0.382829E+02
   174   0.497230E+04   0.827102E+00   0.169600E-02  -0.377114E+02
   175   0.499695E+04   0.816453E+00   0.166112E-02  -0.371128E+02
   176   0.502107E+04   0.805895E+00   0.162760E-02  -0.364872E+02
   177   0.504481E+04   0.795351E+00   0.159544E-02  -0.358361E+02
   178   0.506809E+04   0.785044E+00   0.156461E-02  -0.351579E+02
   179   0.509091E+04   0.774676E+00   0.153508E-02  -0.344527E+02
   180   0.511343E+04   0.764469E+00   0.150683E-02  -0.337219E+02
   181   0.513541E+04   0.754423E+00   0.147984E-02  -0.329656E+02
   182   0.515695E+04   0.744610E+00   0.145409E-02  -0.321823E+02
   183   0.517796E+04   0.734957E+00   0.142955E-02  -0.313734E+02
   184   0.519859E+04   0.725536E+00   0.140619E-02  -0.305382E+02
   185   0.521877E+04   0.716495E+00   0.138399E-02  -0.296790E+02
   186   0.523812E+04   0.707693E+00   0.136294E-02  -0.287928E+02
   187   0.525733E+04   0.699269E+00   0.134299E-02  -0.278810E+02
   188   0.527601E+04   0.691209E+00   0.132415E-02  -0.269452E+02
   189   0.529409E+04   0.683548E+00   0.130636E-02  -0.259838E+02
   190   0.531203E+04   0.676338E+00   0.128963E-02  -0.249992E+02
   191   0.532907E+04   0.669600E+00   0.127391E-02  -0.239882E+02
   192   0.534574E+04   0.663356E+00   0.125919E-02  -0.229533E+02
   193   0.536182E+04   0.657650E+00   0.124544E-02  -0.218957E+02
   194   0.537753E+04   0.652510E+00   0.123265E-02  -0.208134E+02
   195   0.539265E+04   0.647974E+00   0.122078E-02  -0.197086E+02
   196   0.540717E+04   0.644077E+00   0.120981E-02  -0.185804E+02
   197   0.542126E+04   0.640863E+00   0.119971E-02  -0.174305E+02
   198   0.543483E+04   0.638354E+00   0.119048E-02  -0.162579E+02
   199   0.544788E+04   0.636586E+00   0.118207E-02  -0.150636E+02
   200   0.546042E+04   0.635588E+00   0.117447E-02  -0.138483E+02
   201   0.547238E+04   0.635419E+00   0.116765E-02  -0.126111E+02
   202   0.548382E+04   0.636085E+00   0.116160E-02  -0.113536E+02
   203   0.549467E+04   0.637645E+00   0.115627E-02  -0.100750E+02
   204   0.550486E+04   0.640120E+00   0.115166E-02  -0.877831E+01
   205   0.551454E+04   0.643554E+00   0.114774E-02  -0.746125E+01
   206   0.552356E+04   0.647983E+00   0.114448E-02  -0.612508E+01
   207   0.553206E+04   0.653428E+00   0.114185E-02  -0.477024E+01
   208   0.553983E+04   0.659940E+00   0.113984E-02  -0.339723E+01
   209   0.554701E+04   0.667541E+00   0.113842E-02  -0.200641E+01
   210   0.555360E+04   0.676282E+00   0.113756E-02  -0.598668E+00
   211   0.555960E+04   0.686191E+00   0.113725E-02   0.825955E+00
   212   0.556486E+04   0.697297E+00   0.113745E-02   0.226653E+01
   213   0.556961E+04   0.709644E+00   0.113815E-02   0.372312E+01
   214   0.557370E+04   0.723224E+00   0.113931E-02   0.519453E+01
   215   0.557720E+04   0.738228E+00   0.114092E-02   0.668002E+01
   216   0.558003E+04   0.754470E+00   0.114295E-02   0.818013E+01
   217   0.558235E+04   0.772106E+00   0.114538E-02   0.969287E+01
   218   0.558400E+04   0.791133E+00   0.114818E-02   0.112185E+02
   219   0.558507E+04   0.811552E+00   0.115132E-02   0.127579E+02
   220   0.558554E+04   0.833509E+00   0.115479E-02   0.143067E+02
   221   0.558543E+04   0.856930E+00   0.115856E-02   0.158672E+02
   222   0.558472E+04   0.881962E+00   0.116261E-02   0.174378E+02
   223   0.558328E+04   0.908530E+00   0.116690E-02   0.190193E+02
   224   0.558139E+04   0.936633E+00   0.117143E-02   0.206081E+02
   225   0.557884E+04   0.966418E+00   0.117615E-02   0.222070E+02
   226   0.557570E+04   0.997885E+00   0.118106E-02   0.238124E+02
   227   0.557189E+04   0.103103E+01   0.118611E-02   0.254258E+02
   228   0.556757E+04   0.106586E+01   0.119130E-02   0.270457E+02
   229   0.556266E+04   0.110244E+01   0.119660E-02   0.286707E+02
   230   0.555707E+04   0.114077E+01   0.120197E-02   0.303014E+02
   231   0.555083E+04   0.118093E+01   0.120740E-02   0.319372E+02
   232   0.554406E+04   0.122284E+01   0.121287E-02   0.335766E+02
   233   0.553671E+04   0.126672E+01   0.121835E-02   0.352181E+02
   234   0.552861E+04   0.131242E+01   0.122381E-02   0.368625E+02
   235   0.552000E+04   0.136002E+01   0.122923E-02   0.385083E+02
   236   0.551072E+04   0.140952E+01   0.123459E-02   0.401555E+02
   237   0.550085E+04   0.146098E+01   0.123986E-02   0.418026E+02
   238   0.549038E+04   0.151449E+01   0.124502E-02   0.434496E+02
   239   0.547940E+04   0.156988E+01   0.125004E-02   0.450959E+02
   240   0.546767E+04   0.162724E+01   0.125490E-02   0.467391E+02
   241   0.545550E+04   0.168672E+01   0.125958E-02   0.483801E+02
   242   0.544274E+04   0.174816E+01   0.126405E-02   0.500182E+02
   243   0.542938E+04   0.181171E+01   0.126829E-02   0.516517E+02
   244   0.541543E+04   0.187729E+01   0.127227E-02   0.532816E+02
   245   0.540089E+04   0.194499E+01   0.127596E-02   0.549048E+02
   246   0.538583E+04   0.201479E+01   0.127936E-02   0.565228E+02
   247   0.537024E+04   0.208663E+01   0.128242E-02   0.581335E+02
   248   0.535407E+04   0.216087E+01   0.128513E-02   0.597367E+02
   249   0.533744E+04   0.223699E+01   0.128746E-02   0.613319E+02
   250   0.532023E+04   0.231544E+01   0.128939E-02   0.629175E+02
   251   0.530256E+04   0.239592E+01   0.129090E-02   0.644943E+02
   252   0.528423E+04   0.247866E+01   0.129199E-02   0.660608E+02
   253   0.526560E+04   0.256342E+01   0.129268E-02   0.676155E+02
   254   0.524638E+04   0.265051E+01   0.129296E-02   0.691585E+02
   255   0.522664E+04   0.273964E+01   0.129284E-02   0.706897E+02
   256   0.520645E+04   0.283116E+01   0.129235E-02   0.722092E+02
   257   0.518581E+04   0.292465E+01   0.129147E-02   0.737088E+02
   258   0.516466E+04   0.302046E+01   0.129023E-02   0.752011E+02
   259   0.514306E+04   0.311846E+01   0.128862E-02   0.766713E+02
   260   0.512109E+04   0.321865E+01   0.128667E-02   0.781343E+02
   261   0.509860E+04   0.332094E+01   0.128437E-02   0.795678E+02
   262   0.507559E+04   0.342556E+01   0.128174E-02   0.809941E+02
   263   0.505243E+04   0.353230E+01   0.127878E-02   0.824057E+02
   264   0.502867E+04   0.364122E+01   0.127550E-02   0.837953E+02
   265   0.500440E+04   0.375225E+01   0.127191E-02   0.851554E+02
   266   0.497983E+04   0.386562E+01   0.126802E-02   0.865084E+02
   267   0.495474E+04   0.398095E+01   0.126383E-02   0.878320E+02
   268   0.492928E+04   0.409862E+01   0.125936E-02   0.891409E+02
   269   0.490330E+04   0.421833E+01   0.125461E-02   0.904279E+02
   270   0.487710E+04   0.434015E+01   0.124960E-02   0.916929E+02
