#    L    TT             EE             BB             TE             PP             TP             EP          
  1054   0.101368E+04   0.317049E+02   0.871865E-04  -0.763054E+02   0.509598E-08   0.557271E-06   0.520038E-06
  1055   0.101658E+04   0.314229E+02   0.870029E-04  -0.767677E+02   0.508767E-08   0.539044E-06   0.516647E-06
  1056   0.101956E+04   0.311386E+02   0.868168E-04  -0.772088E+02   0.507938E-08   0.521111E-06   0.513214E-06
  1057   0.102263E+04   0.308526E+02   0.866282E-04  -0.776212E+02   0.507111E-08   0.503470E-06   0.509740E-06
  1058   0.102584E+04   0.305658E+02   0.864372E-04  -0.780124E+02   0.506286E-08   0.486122E-06   0.506224E-06
  1059   0.102899E+04   0.302767E+02   0.862438E-04  -0.783748E+02   0.505463E-08   0.469065E-06   0.502669E-06
  1060   0.103214E+04   0.299858E+02   0.860481E-04  -0.787159E+02   0.504642E-08   0.452299E-06   0.499074E-06
  1061   0.103529E+04   0.296949E+02   0.858502E-04  -0.790282E+02   0.503822E-08   0.435823E-06   0.495440E-06
  1062   0.103852E+04   0.294023E+02   0.856502E-04  -0.793192E+02   0.503005E-08   0.419636E-06   0.491768E-06
  1063   0.104161E+04   0.291088E+02   0.854482E-04  -0.795813E+02   0.502190E-08   0.403737E-06   0.488058E-06
  1064   0.104485E+04   0.288145E+02   0.852442E-04  -0.798294E+02   0.501376E-08   0.388126E-06   0.484311E-06
  1065   0.104810E+04   0.285184E+02   0.850383E-04  -0.800486E+02   0.500565E-08   0.372803E-06   0.480529E-06
  1066   0.105127E+04   0.282222E+02   0.848305E-04  -0.802390E+02   0.499755E-08   0.357765E-06   0.476710E-06
  1067   0.105460E+04   0.279259E+02   0.846211E-04  -0.804004E+02   0.498948E-08   0.343013E-06   0.472857E-06
  1068   0.105786E+04   0.276286E+02   0.844099E-04  -0.805402E+02   0.498142E-08   0.328546E-06   0.468970E-06
  1069   0.106113E+04   0.273319E+02   0.841971E-04  -0.806660E+02   0.497338E-08   0.314362E-06   0.465049E-06
  1070   0.106447E+04   0.270335E+02   0.839828E-04  -0.807627E+02   0.496536E-08   0.300462E-06   0.461095E-06
  1071   0.106767E+04   0.267364E+02   0.837671E-04  -0.808304E+02   0.495736E-08   0.286845E-06   0.457109E-06
  1072   0.107095E+04   0.264384E+02   0.835500E-04  -0.808690E+02   0.494938E-08   0.273509E-06   0.453092E-06
  1073   0.107431E+04   0.261410E+02   0.833316E-04  -0.808860E+02   0.494142E-08   0.260455E-06   0.449043E-06
  1074   0.107752E+04   0.258440E+02   0.831119E-04  -0.808813E+02   0.493347E-08   0.247681E-06   0.444964E-06
  1075   0.108081E+04   0.255462E+02   0.828911E-04  -0.808548E+02   0.492555E-08   0.235186E-06   0.440856E-06
  1076   0.108404E+04   0.252496E+02   0.826692E-04  -0.807993E+02   0.491764E-08   0.222971E-06   0.436719E-06
  1077   0.108734E+04   0.249535E+02   0.824464E-04  -0.807293E+02   0.490976E-08   0.211034E-06   0.432553E-06
  1078   0.109050E+04   0.246588E+02   0.822225E-04  -0.806153E+02   0.490189E-08   0.199374E-06   0.428360E-06
  1079   0.109366E+04   0.243638E+02   0.819979E-04  -0.804943E+02   0.489403E-08   0.187990E-06   0.424140E-06
  1080   0.109690E+04   0.240693E+02   0.817724E-04  -0.803515E+02   0.488620E-08   0.176883E-06   0.419894E-06
  1081   0.110000E+04   0.237775E+02   0.815463E-04  -0.801794E+02   0.487839E-08   0.166051E-06   0.415622E-06
  1082   0.110311E+04   0.234863E+02   0.813195E-04  -0.799854E+02   0.487060E-08   0.155493E-06   0.411325E-06
  1083   0.110622E+04   0.231956E+02   0.810922E-04  -0.797695E+02   0.486282E-08   0.145209E-06   0.407004E-06
  1084   0.110933E+04   0.229069E+02   0.808644E-04  -0.795316E+02   0.485506E-08   0.135198E-06   0.402660E-06
  1085   0.111238E+04   0.226194E+02   0.806362E-04  -0.792643E+02   0.484732E-08   0.125460E-06   0.398292E-06
  1086   0.111543E+04   0.223339E+02   0.804076E-04  -0.789899E+02   0.483960E-08   0.115993E-06   0.393902E-06
  1087   0.111841E+04   0.220504E+02   0.801788E-04  -0.786712E+02   0.483189E-08   0.106796E-06   0.389491E-06
  1088   0.112132E+04   0.217666E+02   0.799498E-04  -0.783453E+02   0.482421E-08   0.978700E-07   0.385058E-06
  1089   0.112424E+04   0.214863E+02   0.797207E-04  -0.779899E+02   0.481654E-08   0.892130E-07   0.380605E-06
  1090   0.112709E+04   0.212079E+02   0.794916E-04  -0.776272E+02   0.480889E-08   0.808247E-07   0.376133E-06
  1091   0.112994E+04   0.209307E+02   0.792626E-04  -0.772275E+02   0.480126E-08   0.727042E-07   0.371642E-06
  1092   0.113280E+04   0.206556E+02   0.790336E-04  -0.768132E+02   0.479365E-08   0.648508E-07   0.367132E-06
  1093   0.113551E+04   0.203838E+02   0.788048E-04  -0.763766E+02   0.478605E-08   0.572639E-07   0.362605E-06
  1094   0.113808E+04   0.201133E+02   0.785763E-04  -0.759253E+02   0.477847E-08   0.499425E-07   0.358060E-06
  1095   0.114081E+04   0.198469E+02   0.783482E-04  -0.754591E+02   0.477091E-08   0.428861E-07   0.353500E-06
  1096   0.114339E+04   0.195810E+02   0.781205E-04  -0.749633E+02   0.476337E-08   0.360938E-07   0.348923E-06
  1097   0.114591E+04   0.193185E+02   0.778932E-04  -0.744452E+02   0.475584E-08   0.295650E-07   0.344332E-06
  1098   0.114843E+04   0.190594E+02   0.776665E-04  -0.739122E+02   0.474833E-08   0.232989E-07   0.339726E-06
  1099   0.115088E+04   0.188030E+02   0.774405E-04  -0.733643E+02   0.474084E-08   0.172947E-07   0.335107E-06
  1100   0.115326E+04   0.185500E+02   0.772152E-04  -0.727940E+02   0.473337E-08   0.115518E-07   0.330475E-06
  1101   0.115557E+04   0.182989E+02   0.769906E-04  -0.722066E+02   0.472592E-08   0.606917E-08   0.325830E-06
  1102   0.115796E+04   0.180513E+02   0.767669E-04  -0.715997E+02   0.471848E-08   0.844984E-09   0.321174E-06
  1103   0.116014E+04   0.178070E+02   0.765441E-04  -0.709763E+02   0.471106E-08  -0.412277E-08   0.316506E-06
  1104   0.116232E+04   0.175669E+02   0.763221E-04  -0.703349E+02   0.470365E-08  -0.883613E-08   0.311827E-06
  1105   0.116435E+04   0.173294E+02   0.761010E-04  -0.696778E+02   0.469627E-08  -0.132971E-07   0.307138E-06
  1106   0.116640E+04   0.170947E+02   0.758809E-04  -0.690033E+02   0.468890E-08  -0.175078E-07   0.302438E-06
  1107   0.116837E+04   0.168641E+02   0.756617E-04  -0.683131E+02   0.468155E-08  -0.214702E-07   0.297729E-06
  1108   0.117027E+04   0.166362E+02   0.754436E-04  -0.676077E+02   0.467421E-08  -0.251864E-07   0.293011E-06
  1109   0.117203E+04   0.164102E+02   0.752265E-04  -0.668864E+02   0.466690E-08  -0.286583E-07   0.288285E-06
  1110   0.117380E+04   0.161906E+02   0.750104E-04  -0.661508E+02   0.465960E-08  -0.318881E-07   0.283550E-06
  1111   0.117542E+04   0.159744E+02   0.747955E-04  -0.654000E+02   0.465231E-08  -0.348777E-07   0.278808E-06
  1112   0.117711E+04   0.157617E+02   0.745817E-04  -0.646362E+02   0.464505E-08  -0.376291E-07   0.274058E-06
  1113   0.117860E+04   0.155538E+02   0.743690E-04  -0.638572E+02   0.463780E-08  -0.401446E-07   0.269302E-06
  1114   0.118001E+04   0.153487E+02   0.741576E-04  -0.630659E+02   0.463056E-08  -0.424259E-07   0.264539E-06
  1115   0.118142E+04   0.151485E+02   0.739473E-04  -0.622624E+02   0.462335E-08  -0.444753E-07   0.259771E-06
  1116   0.118277E+04   0.149524E+02   0.737383E-04  -0.614458E+02   0.461615E-08  -0.462947E-07   0.254998E-06
  1117   0.118397E+04   0.147606E+02   0.735306E-04  -0.606176E+02   0.460897E-08  -0.478861E-07   0.250219E-06
  1118   0.118510E+04   0.145736E+02   0.733242E-04  -0.597764E+02   0.460180E-08  -0.492516E-07   0.245436E-06
  1119   0.118623E+04   0.143901E+02   0.731191E-04  -0.589250E+02   0.459465E-08  -0.503933E-07   0.240650E-06
  1120   0.118722E+04   0.142116E+02   0.729154E-04  -0.580627E+02   0.458752E-08  -0.513131E-07   0.235859E-06
  1121   0.118814E+04   0.140372E+02   0.727131E-04  -0.571888E+02   0.458040E-08  -0.520131E-07   0.231066E-06
  1122   0.118899E+04   0.138670E+02   0.725122E-04  -0.563061E+02   0.457330E-08  -0.524954E-07   0.226270E-06
  1123   0.118969E+04   0.137025E+02   0.723128E-04  -0.554140E+02   0.456622E-08  -0.527619E-07   0.221473E-06
  1124   0.119040E+04   0.135414E+02   0.721149E-04  -0.545124E+02   0.455915E-08  -0.528147E-07   0.216673E-06
  1125   0.119096E+04   0.133853E+02   0.719186E-04  -0.536012E+02   0.455210E-08  -0.526559E-07   0.211873E-06
  1126   0.119145E+04   0.132341E+02   0.717237E-04  -0.526828E+02   0.454507E-08  -0.522874E-07   0.207072E-06
  1127   0.119187E+04   0.130872E+02   0.715305E-04  -0.517562E+02   0.453805E-08  -0.517114E-07   0.202271E-06
  1128   0.119222E+04   0.129459E+02   0.713389E-04  -0.508231E+02   0.453105E-08  -0.509297E-07   0.197470E-06
  1129   0.119250E+04   0.128095E+02   0.711489E-04  -0.498818E+02   0.452406E-08  -0.499446E-07   0.192669E-06
  1130   0.119256E+04   0.126774E+02   0.709606E-04  -0.489347E+02   0.451709E-08  -0.487579E-07   0.187871E-06
  1131   0.119270E+04   0.125502E+02   0.707740E-04  -0.479823E+02   0.451014E-08  -0.473718E-07   0.183073E-06
  1132   0.119269E+04   0.124280E+02   0.705892E-04  -0.470233E+02   0.450320E-08  -0.457883E-07   0.178278E-06
  1133   0.119253E+04   0.123114E+02   0.704061E-04  -0.460598E+02   0.449628E-08  -0.440094E-07   0.173486E-06
  1134   0.119238E+04   0.121991E+02   0.702248E-04  -0.450910E+02   0.448938E-08  -0.420371E-07   0.168697E-06
  1135   0.119208E+04   0.120917E+02   0.700454E-04  -0.441177E+02   0.448249E-08  -0.398735E-07   0.163911E-06
  1136   0.119171E+04   0.119901E+02   0.698678E-04  -0.431421E+02   0.447561E-08  -0.375207E-07   0.159129E-06
  1137   0.119126E+04   0.118926E+02   0.696921E-04  -0.421611E+02   0.446875E-08  -0.349805E-07   0.154352E-06
  1138   0.119075E+04   0.118017E+02   0.695183E-04  -0.411786E+02   0.446191E-08  -0.322552E-07   0.149580E-06
  1139   0.119016E+04   0.117142E+02   0.693465E-04  -0.401922E+02   0.445509E-08  -0.293467E-07   0.144813E-06
  1140   0.118943E+04   0.116331E+02   0.691767E-04  -0.392048E+02   0.444827E-08  -0.262570E-07   0.140052E-06
  1141   0.118863E+04   0.115555E+02   0.690088E-04  -0.382151E+02   0.444148E-08  -0.229882E-07   0.135298E-06
  1142   0.118775E+04   0.114844E+02   0.688431E-04  -0.372244E+02   0.443470E-08  -0.195423E-07   0.130550E-06
  1143   0.118680E+04   0.114176E+02   0.686794E-04  -0.362334E+02   0.442793E-08  -0.159214E-07   0.125810E-06
  1144   0.118563E+04   0.113557E+02   0.685178E-04  -0.352422E+02   0.442119E-08  -0.121275E-07   0.121077E-06
  1145   0.118453E+04   0.113002E+02   0.683583E-04  -0.342507E+02   0.441445E-08  -0.816257E-08   0.116353E-06
  1146   0.118329E+04   0.112490E+02   0.682010E-04  -0.332597E+02   0.440773E-08  -0.402873E-08   0.111637E-06
  1147   0.118198E+04   0.112036E+02   0.680459E-04  -0.322698E+02   0.440103E-08   0.272032E-09   0.106931E-06
  1148   0.118052E+04   0.111623E+02   0.678931E-04  -0.312811E+02   0.439434E-08   0.473766E-08   0.102234E-06
  1149   0.117906E+04   0.111268E+02   0.677425E-04  -0.302950E+02   0.438767E-08   0.936614E-08   0.975480E-07
  1150   0.117745E+04   0.110963E+02   0.675941E-04  -0.293107E+02   0.438101E-08   0.141554E-07   0.928720E-07
  1151   0.117585E+04   0.110708E+02   0.674481E-04  -0.283290E+02   0.437437E-08   0.191035E-07   0.882071E-07
  1152   0.117402E+04   0.110503E+02   0.673044E-04  -0.273506E+02   0.436775E-08   0.242088E-07   0.835536E-07
  1153   0.117227E+04   0.110355E+02   0.671628E-04  -0.263763E+02   0.436113E-08   0.294697E-07   0.789119E-07
  1154   0.117037E+04   0.110258E+02   0.670234E-04  -0.254046E+02   0.435454E-08   0.348845E-07   0.742823E-07
  1155   0.116840E+04   0.110210E+02   0.668860E-04  -0.244376E+02   0.434796E-08   0.404517E-07   0.696650E-07
  1156   0.116627E+04   0.110205E+02   0.667506E-04  -0.234762E+02   0.434139E-08   0.461696E-07   0.650606E-07
  1157   0.116408E+04   0.110251E+02   0.666171E-04  -0.225189E+02   0.433484E-08   0.520366E-07   0.604693E-07
  1158   0.116189E+04   0.110354E+02   0.664855E-04  -0.215679E+02   0.432830E-08   0.580512E-07   0.558914E-07
  1159   0.115962E+04   0.110500E+02   0.663557E-04  -0.206225E+02   0.432178E-08   0.642117E-07   0.513274E-07
  1160   0.115713E+04   0.110705E+02   0.662277E-04  -0.196849E+02   0.431527E-08   0.705165E-07   0.467775E-07
  1161   0.115471E+04   0.110952E+02   0.661013E-04  -0.187529E+02   0.430878E-08   0.769641E-07   0.422421E-07
  1162   0.115215E+04   0.111249E+02   0.659765E-04  -0.178286E+02   0.430230E-08   0.835528E-07   0.377215E-07
  1163   0.114951E+04   0.111598E+02   0.658532E-04  -0.169122E+02   0.429584E-08   0.902810E-07   0.332161E-07
  1164   0.114687E+04   0.111997E+02   0.657314E-04  -0.160036E+02   0.428939E-08   0.971471E-07   0.287262E-07
  1165   0.114409E+04   0.112439E+02   0.656111E-04  -0.151028E+02   0.428296E-08   0.104149E-06   0.242522E-07
  1166   0.114115E+04   0.112932E+02   0.654920E-04  -0.142113E+02   0.427654E-08   0.111287E-06   0.197944E-07
  1167   0.113829E+04   0.113469E+02   0.653743E-04  -0.133291E+02   0.427013E-08   0.118557E-06   0.153531E-07
  1168   0.113528E+04   0.114056E+02   0.652577E-04  -0.124555E+02   0.426374E-08   0.125958E-06   0.109287E-07
  1169   0.113227E+04   0.114687E+02   0.651423E-04  -0.115934E+02   0.425737E-08   0.133490E-06   0.652154E-08
  1170   0.112918E+04   0.115361E+02   0.650280E-04  -0.107400E+02   0.425100E-08   0.141150E-06   0.213194E-08
  1171   0.112595E+04   0.116087E+02   0.649147E-04  -0.989805E+01   0.424466E-08   0.148936E-06  -0.223973E-08
  1172   0.112271E+04   0.116856E+02   0.648023E-04  -0.906694E+01   0.423832E-08   0.156848E-06  -0.659316E-08
  1173   0.111940E+04   0.117669E+02   0.646909E-04  -0.824666E+01   0.423201E-08   0.164883E-06  -0.109280E-07
  1174   0.111601E+04   0.118518E+02   0.645802E-04  -0.743830E+01   0.422570E-08   0.173040E-06  -0.152439E-07
  1175   0.111255E+04   0.119412E+02   0.644703E-04  -0.664182E+01   0.421941E-08   0.181317E-06  -0.195405E-07
  1176   0.110893E+04   0.120349E+02   0.643611E-04  -0.585795E+01   0.421313E-08   0.189712E-06  -0.238174E-07
  1177   0.110539E+04   0.121338E+02   0.642526E-04  -0.508624E+01   0.420687E-08   0.198225E-06  -0.280744E-07
  1178   0.110170E+04   0.122355E+02   0.641445E-04  -0.432738E+01   0.420062E-08   0.206853E-06  -0.323111E-07
  1179   0.109809E+04   0.123432E+02   0.640370E-04  -0.358159E+01   0.419439E-08   0.215596E-06  -0.365272E-07
  1180   0.109432E+04   0.124546E+02   0.639299E-04  -0.284917E+01   0.418817E-08   0.224450E-06  -0.407222E-07
  1181   0.109055E+04   0.125689E+02   0.638232E-04  -0.213042E+01   0.418196E-08   0.233415E-06  -0.448959E-07
  1182   0.108663E+04   0.126876E+02   0.637168E-04  -0.142564E+01   0.417577E-08   0.242489E-06  -0.490480E-07
  1183   0.108271E+04   0.128100E+02   0.636106E-04  -0.734987E+00   0.416959E-08   0.251670E-06  -0.531780E-07
  1184   0.107871E+04   0.129354E+02   0.635045E-04  -0.588523E-01   0.416343E-08   0.260957E-06  -0.572856E-07
  1185   0.107471E+04   0.130659E+02   0.633986E-04   0.602676E+00   0.415728E-08   0.270348E-06  -0.613705E-07
  1186   0.107063E+04   0.131994E+02   0.632927E-04   0.124916E+01   0.415114E-08   0.279842E-06  -0.654324E-07
  1187   0.106655E+04   0.133367E+02   0.631868E-04   0.188046E+01   0.414502E-08   0.289437E-06  -0.694709E-07
  1188   0.106239E+04   0.134769E+02   0.630808E-04   0.249621E+01   0.413891E-08   0.299132E-06  -0.734856E-07
  1189   0.105816E+04   0.136208E+02   0.629746E-04   0.309648E+01   0.413281E-08   0.308924E-06  -0.774763E-07
  1190   0.105392E+04   0.137677E+02   0.628682E-04   0.368081E+01   0.412673E-08   0.318812E-06  -0.814426E-07
  1191   0.104961E+04   0.139184E+02   0.627615E-04   0.424929E+01   0.412066E-08   0.328795E-06  -0.853841E-07
  1192   0.104529E+04   0.140721E+02   0.626545E-04   0.480145E+01   0.411460E-08   0.338870E-06  -0.893005E-07
  1193   0.104090E+04   0.142287E+02   0.625470E-04   0.533730E+01   0.410856E-08   0.349038E-06  -0.931914E-07
  1194   0.103650E+04   0.143884E+02   0.624391E-04   0.585676E+01   0.410253E-08   0.359294E-06  -0.970566E-07
  1195   0.103210E+04   0.145511E+02   0.623306E-04   0.635953E+01   0.409652E-08   0.369640E-06  -0.100896E-06
  1196   0.102755E+04   0.147176E+02   0.622215E-04   0.684516E+01   0.409051E-08   0.380071E-06  -0.104708E-06
  1197   0.102307E+04   0.148856E+02   0.621117E-04   0.731393E+01   0.408452E-08   0.390588E-06  -0.108494E-06
  1198   0.101851E+04   0.150566E+02   0.620012E-04   0.776445E+01   0.407855E-08   0.401187E-06  -0.112252E-06
  1199   0.101394E+04   0.152300E+02   0.618899E-04   0.819892E+01   0.407259E-08   0.411869E-06  -0.115983E-06
  1200   0.100930E+04   0.154064E+02   0.617777E-04   0.861580E+01   0.406664E-08   0.422631E-06  -0.119687E-06
  1201   0.100473E+04   0.155843E+02   0.616645E-04   0.901432E+01   0.406070E-08   0.433471E-06  -0.123362E-06
  1202   0.100001E+04   0.157661E+02   0.615505E-04   0.939595E+01   0.405478E-08   0.444388E-06  -0.127008E-06
  1203   0.995352E+03   0.159494E+02   0.614355E-04   0.975920E+01   0.404887E-08   0.455379E-06  -0.130626E-06
  1204   0.990620E+03   0.161351E+02   0.613196E-04   0.101048E+02   0.404297E-08   0.466444E-06  -0.134216E-06
  1205   0.985884E+03   0.163216E+02   0.612029E-04   0.104319E+02   0.403709E-08   0.477579E-06  -0.137776E-06
  1206   0.981144E+03   0.165112E+02   0.610853E-04   0.107413E+02   0.403121E-08   0.488783E-06  -0.141307E-06
  1207   0.976475E+03   0.167023E+02   0.609669E-04   0.110315E+02   0.402535E-08   0.500055E-06  -0.144809E-06
  1208   0.971727E+03   0.168958E+02   0.608477E-04   0.113047E+02   0.401951E-08   0.511391E-06  -0.148280E-06
  1209   0.966901E+03   0.170901E+02   0.607277E-04   0.115593E+02   0.401368E-08   0.522791E-06  -0.151723E-06
  1210   0.962144E+03   0.172861E+02   0.606069E-04   0.117947E+02   0.400786E-08   0.534253E-06  -0.155135E-06
  1211   0.957310E+03   0.174844E+02   0.604853E-04   0.120115E+02   0.400205E-08   0.545774E-06  -0.158516E-06
  1212   0.952546E+03   0.176836E+02   0.603630E-04   0.122104E+02   0.399625E-08   0.557352E-06  -0.161868E-06
  1213   0.947703E+03   0.178836E+02   0.602400E-04   0.123914E+02   0.399047E-08   0.568987E-06  -0.165188E-06
  1214   0.942930E+03   0.180860E+02   0.601162E-04   0.125531E+02   0.398470E-08   0.580675E-06  -0.168478E-06
  1215   0.938154E+03   0.182885E+02   0.599918E-04   0.126961E+02   0.397895E-08   0.592415E-06  -0.171737E-06
  1216   0.933373E+03   0.184927E+02   0.598667E-04   0.128204E+02   0.397320E-08   0.604205E-06  -0.174964E-06
  1217   0.928439E+03   0.186977E+02   0.597409E-04   0.129268E+02   0.396747E-08   0.616043E-06  -0.178160E-06
  1218   0.923650E+03   0.189044E+02   0.596145E-04   0.130137E+02   0.396175E-08   0.627927E-06  -0.181324E-06
  1219   0.918783E+03   0.191104E+02   0.594875E-04   0.130833E+02   0.395605E-08   0.639856E-06  -0.184456E-06
  1220   0.913985E+03   0.193174E+02   0.593598E-04   0.131334E+02   0.395035E-08   0.651827E-06  -0.187556E-06
  1221   0.909183E+03   0.195245E+02   0.592316E-04   0.131655E+02   0.394467E-08   0.663839E-06  -0.190624E-06
  1222   0.904377E+03   0.197333E+02   0.591028E-04   0.131780E+02   0.393900E-08   0.675889E-06  -0.193659E-06
  1223   0.899567E+03   0.199422E+02   0.589735E-04   0.131738E+02   0.393334E-08   0.687976E-06  -0.196661E-06
  1224   0.894752E+03   0.201499E+02   0.588436E-04   0.131494E+02   0.392770E-08   0.700098E-06  -0.199631E-06
  1225   0.890007E+03   0.203591E+02   0.587132E-04   0.131068E+02   0.392206E-08   0.712253E-06  -0.202567E-06
  1226   0.885258E+03   0.205678E+02   0.585824E-04   0.130467E+02   0.391644E-08   0.724439E-06  -0.205470E-06
  1227   0.880580E+03   0.207767E+02   0.584510E-04   0.129678E+02   0.391083E-08   0.736654E-06  -0.208339E-06
  1228   0.875822E+03   0.209858E+02   0.583192E-04   0.128713E+02   0.390524E-08   0.748896E-06  -0.211174E-06
  1229   0.871134E+03   0.211943E+02   0.581869E-04   0.127559E+02   0.389965E-08   0.761164E-06  -0.213976E-06
  1230   0.866294E+03   0.214023E+02   0.580542E-04   0.126238E+02   0.389408E-08   0.773454E-06  -0.216743E-06
  1231   0.861597E+03   0.216105E+02   0.579211E-04   0.124733E+02   0.388852E-08   0.785767E-06  -0.219476E-06
  1232   0.856897E+03   0.218173E+02   0.577877E-04   0.123060E+02   0.388297E-08   0.798099E-06  -0.222174E-06
  1233   0.852340E+03   0.220252E+02   0.576538E-04   0.121197E+02   0.387744E-08   0.810449E-06  -0.224837E-06
  1234   0.847705E+03   0.222310E+02   0.575196E-04   0.119173E+02   0.387191E-08   0.822815E-06  -0.227466E-06
  1235   0.843362E+03   0.224370E+02   0.573851E-04   0.116972E+02   0.386640E-08   0.835194E-06  -0.230059E-06
  1236   0.838867E+03   0.226410E+02   0.572502E-04   0.114602E+02   0.386090E-08   0.847586E-06  -0.232616E-06
  1237   0.834367E+03   0.228444E+02   0.571150E-04   0.112056E+02   0.385541E-08   0.859988E-06  -0.235138E-06
  1238   0.829936E+03   0.230474E+02   0.569796E-04   0.109340E+02   0.384993E-08   0.872398E-06  -0.237624E-06
  1239   0.825502E+03   0.232483E+02   0.568439E-04   0.106454E+02   0.384447E-08   0.884814E-06  -0.240074E-06
  1240   0.821063E+03   0.234487E+02   0.567079E-04   0.103414E+02   0.383901E-08   0.897235E-06  -0.242488E-06
  1241   0.816767E+03   0.236472E+02   0.565717E-04   0.100203E+02   0.383357E-08   0.909658E-06  -0.244865E-06
  1242   0.812393E+03   0.238458E+02   0.564353E-04   0.968441E+01   0.382814E-08   0.922082E-06  -0.247205E-06
  1243   0.808089E+03   0.240410E+02   0.562987E-04   0.933050E+01   0.382272E-08   0.934505E-06  -0.249509E-06
  1244   0.803855E+03   0.242365E+02   0.561619E-04   0.896232E+01   0.381731E-08   0.946925E-06  -0.251775E-06
  1245   0.799690E+03   0.244299E+02   0.560250E-04   0.857823E+01   0.381192E-08   0.959339E-06  -0.254004E-06
  1246   0.795521E+03   0.246207E+02   0.558879E-04   0.817991E+01   0.380653E-08   0.971747E-06  -0.256196E-06
  1247   0.791347E+03   0.248102E+02   0.557507E-04   0.776578E+01   0.380116E-08   0.984145E-06  -0.258349E-06
  1248   0.787242E+03   0.249977E+02   0.556134E-04   0.733648E+01   0.379580E-08   0.996533E-06  -0.260465E-06
  1249   0.783208E+03   0.251848E+02   0.554760E-04   0.689288E+01   0.379045E-08   0.100891E-05  -0.262543E-06
  1250   0.779243E+03   0.253684E+02   0.553386E-04   0.643482E+01   0.378511E-08   0.102127E-05  -0.264582E-06
  1251   0.775273E+03   0.255493E+02   0.552011E-04   0.596242E+01   0.377978E-08   0.103361E-05  -0.266583E-06
  1252   0.771447E+03   0.257297E+02   0.550635E-04   0.547587E+01   0.377447E-08   0.104594E-05  -0.268545E-06
  1253   0.767543E+03   0.259067E+02   0.549260E-04   0.497585E+01   0.376916E-08   0.105825E-05  -0.270469E-06
  1254   0.763708E+03   0.260810E+02   0.547885E-04   0.446239E+01   0.376387E-08   0.107054E-05  -0.272354E-06
  1255   0.759944E+03   0.262541E+02   0.546510E-04   0.393563E+01   0.375858E-08   0.108280E-05  -0.274201E-06
  1256   0.756323E+03   0.264237E+02   0.545136E-04   0.339617E+01   0.375331E-08   0.109504E-05  -0.276009E-06
  1257   0.752699E+03   0.265913E+02   0.543764E-04   0.284404E+01   0.374805E-08   0.110726E-05  -0.277779E-06
  1258   0.749070E+03   0.267555E+02   0.542392E-04   0.227964E+01   0.374280E-08   0.111945E-05  -0.279510E-06
  1259   0.745511E+03   0.269177E+02   0.541022E-04   0.170320E+01   0.373756E-08   0.113162E-05  -0.281204E-06
  1260   0.742023E+03   0.270764E+02   0.539654E-04   0.111511E+01   0.373234E-08   0.114376E-05  -0.282859E-06
  1261   0.738605E+03   0.272332E+02   0.538288E-04   0.515534E+00   0.372712E-08   0.115586E-05  -0.284475E-06
  1262   0.735258E+03   0.273873E+02   0.536924E-04  -0.950111E-01   0.372191E-08   0.116794E-05  -0.286054E-06
  1263   0.731981E+03   0.275378E+02   0.535563E-04  -0.716547E+00   0.371672E-08   0.117999E-05  -0.287594E-06
  1264   0.728700E+03   0.276857E+02   0.534204E-04  -0.134879E+01   0.371154E-08   0.119200E-05  -0.289097E-06
  1265   0.725564E+03   0.278301E+02   0.532849E-04  -0.199125E+01   0.370636E-08   0.120398E-05  -0.290561E-06
  1266   0.722425E+03   0.279718E+02   0.531497E-04  -0.264349E+01   0.370120E-08   0.121592E-05  -0.291987E-06
  1267   0.719357E+03   0.281092E+02   0.530148E-04  -0.330553E+01   0.369605E-08   0.122782E-05  -0.293374E-06
  1268   0.716366E+03   0.282454E+02   0.528804E-04  -0.397701E+01   0.369091E-08   0.123968E-05  -0.294724E-06
  1269   0.713455E+03   0.283759E+02   0.527463E-04  -0.465714E+01   0.368578E-08   0.125151E-05  -0.296036E-06
  1270   0.710584E+03   0.285037E+02   0.526127E-04  -0.534683E+01   0.368066E-08   0.126329E-05  -0.297310E-06
  1271   0.707792E+03   0.286287E+02   0.524795E-04  -0.604445E+01   0.367555E-08   0.127503E-05  -0.298546E-06
  1272   0.705049E+03   0.287503E+02   0.523469E-04  -0.675003E+01   0.367045E-08   0.128673E-05  -0.299744E-06
  1273   0.702355E+03   0.288676E+02   0.522147E-04  -0.746359E+01   0.366537E-08   0.129838E-05  -0.300905E-06
  1274   0.699740E+03   0.289807E+02   0.520831E-04  -0.818440E+01   0.366029E-08   0.130999E-05  -0.302027E-06
  1275   0.697189E+03   0.290910E+02   0.519521E-04  -0.891173E+01   0.365522E-08   0.132154E-05  -0.303112E-06
  1276   0.694694E+03   0.291979E+02   0.518216E-04  -0.964635E+01   0.365017E-08   0.133305E-05  -0.304159E-06
  1277   0.692271E+03   0.293012E+02   0.516918E-04  -0.103868E+02   0.364512E-08   0.134451E-05  -0.305168E-06
  1278   0.689912E+03   0.294004E+02   0.515626E-04  -0.111338E+02   0.364008E-08   0.135592E-05  -0.306139E-06
  1279   0.687624E+03   0.294953E+02   0.514341E-04  -0.118859E+02   0.363506E-08   0.136727E-05  -0.307073E-06
  1280   0.685409E+03   0.295874E+02   0.513063E-04  -0.126447E+02   0.363005E-08   0.137857E-05  -0.307970E-06
