#    L    TT             EE             TE             PP             TP          
  1187   0.106655E+04   0.133366E+02   0.188000E+01   0.193138E+06   0.495030E+01
  1188   0.106239E+04   0.134768E+02   0.249576E+01   0.192853E+06   0.511611E+01
  1189   0.105816E+04   0.136207E+02   0.309603E+01   0.192569E+06   0.528359E+01
  1190   0.105392E+04   0.137676E+02   0.368037E+01   0.192286E+06   0.545272E+01
  1191   0.104960E+04   0.139183E+02   0.424884E+01   0.192004E+06   0.562347E+01
  1192   0.104529E+04   0.140720E+02   0.480101E+01   0.191722E+06   0.579580E+01
  1193   0.104089E+04   0.142286E+02   0.533686E+01   0.191441E+06   0.596970E+01
  1194   0.103650E+04   0.143883E+02   0.585633E+01   0.191160E+06   0.614513E+01
  1195   0.103210E+04   0.145510E+02   0.635909E+01   0.190880E+06   0.632207E+01
  1196   0.102754E+04   0.147175E+02   0.684472E+01   0.190601E+06   0.650050E+01
  1197   0.102306E+04   0.148855E+02   0.731350E+01   0.190322E+06   0.668037E+01
  1198   0.101850E+04   0.150566E+02   0.776402E+01   0.190044E+06   0.686167E+01
  1199   0.101394E+04   0.152299E+02   0.819849E+01   0.189766E+06   0.704437E+01
  1200   0.100930E+04   0.154063E+02   0.861537E+01   0.189489E+06   0.722844E+01
  1201   0.100472E+04   0.155843E+02   0.901389E+01   0.189213E+06   0.741385E+01
  1202   0.100000E+04   0.157660E+02   0.939553E+01   0.188937E+06   0.760058E+01
  1203   0.995347E+03   0.159493E+02   0.975877E+01   0.188662E+06   0.778858E+01
  1204   0.990615E+03   0.161350E+02   0.101043E+02   0.188387E+06   0.797783E+01
  1205   0.985880E+03   0.163215E+02   0.104315E+02   0.188113E+06   0.816829E+01
  1206   0.981140E+03   0.165111E+02   0.107409E+02   0.187840E+06   0.835993E+01
  1207   0.976470E+03   0.167022E+02   0.110311E+02   0.187567E+06   0.855272E+01
  1208   0.971722E+03   0.168957E+02   0.113043E+02   0.187295E+06   0.874662E+01
  1209   0.966896E+03   0.170901E+02   0.115589E+02   0.187024E+06   0.894161E+01
  1210   0.962140E+03   0.172860E+02   0.117943E+02   0.186753E+06   0.913765E+01
  1211   0.957305E+03   0.174843E+02   0.120110E+02   0.186482E+06   0.933471E+01
  1212   0.952541E+03   0.176835E+02   0.122100E+02   0.186213E+06   0.953276E+01
  1213   0.947699E+03   0.178835E+02   0.123910E+02   0.185943E+06   0.973176E+01
  1214   0.942926E+03   0.180859E+02   0.125527E+02   0.185675E+06   0.993168E+01
  1215   0.938149E+03   0.182884E+02   0.126957E+02   0.185407E+06   0.101325E+02
  1216   0.933369E+03   0.184926E+02   0.128200E+02   0.185139E+06   0.103341E+02
  1217   0.928435E+03   0.186976E+02   0.129264E+02   0.184873E+06   0.105366E+02
  1218   0.923646E+03   0.189043E+02   0.130133E+02   0.184606E+06   0.107399E+02
  1219   0.918778E+03   0.191103E+02   0.130829E+02   0.184341E+06   0.109440E+02
  1220   0.913981E+03   0.193173E+02   0.131330E+02   0.184076E+06   0.111487E+02
  1221   0.909179E+03   0.195244E+02   0.131651E+02   0.183811E+06   0.113542E+02
  1222   0.904373E+03   0.197332E+02   0.131775E+02   0.183547E+06   0.115603E+02
  1223   0.899562E+03   0.199421E+02   0.131734E+02   0.183284E+06   0.117670E+02
  1224   0.894748E+03   0.201498E+02   0.131490E+02   0.183021E+06   0.119744E+02
  1225   0.890003E+03   0.203590E+02   0.131063E+02   0.182759E+06   0.121823E+02
  1226   0.885254E+03   0.205678E+02   0.130463E+02   0.182497E+06   0.123907E+02
  1227   0.880575E+03   0.207766E+02   0.129674E+02   0.182236E+06   0.125997E+02
  1228   0.875818E+03   0.209857E+02   0.128709E+02   0.181975E+06   0.128091E+02
  1229   0.871130E+03   0.211942E+02   0.127555E+02   0.181715E+06   0.130189E+02
  1230   0.866290E+03   0.214022E+02   0.126233E+02   0.181456E+06   0.132291E+02
  1231   0.861593E+03   0.216104E+02   0.124729E+02   0.181197E+06   0.134397E+02
  1232   0.856893E+03   0.218172E+02   0.123056E+02   0.180939E+06   0.136507E+02
  1233   0.852336E+03   0.220251E+02   0.121193E+02   0.180681E+06   0.138619E+02
  1234   0.847701E+03   0.222309E+02   0.119168E+02   0.180424E+06   0.140734E+02
  1235   0.843358E+03   0.224369E+02   0.116968E+02   0.180167E+06   0.142852E+02
  1236   0.838863E+03   0.226409E+02   0.114598E+02   0.179911E+06   0.144972E+02
  1237   0.834363E+03   0.228443E+02   0.112052E+02   0.179656E+06   0.147093E+02
  1238   0.829932E+03   0.230473E+02   0.109336E+02   0.179401E+06   0.149216E+02
  1239   0.825498E+03   0.232482E+02   0.106450E+02   0.179146E+06   0.151340E+02
  1240   0.821058E+03   0.234487E+02   0.103410E+02   0.178892E+06   0.153464E+02
  1241   0.816763E+03   0.236471E+02   0.100199E+02   0.178639E+06   0.155589E+02
  1242   0.812389E+03   0.238458E+02   0.968398E+01   0.178386E+06   0.157714E+02
  1243   0.808085E+03   0.240409E+02   0.933007E+01   0.178134E+06   0.159839E+02
  1244   0.803851E+03   0.242364E+02   0.896189E+01   0.177882E+06   0.161964E+02
  1245   0.799686E+03   0.244298E+02   0.857780E+01   0.177631E+06   0.164087E+02
  1246   0.795516E+03   0.246206E+02   0.817948E+01   0.177380E+06   0.166210E+02
  1247   0.791343E+03   0.248101E+02   0.776534E+01   0.177130E+06   0.168331E+02
  1248   0.787238E+03   0.249976E+02   0.733604E+01   0.176880E+06   0.170450E+02
  1249   0.783204E+03   0.251847E+02   0.689245E+01   0.176631E+06   0.172567E+02
  1250   0.779239E+03   0.253683E+02   0.643438E+01   0.176383E+06   0.174681E+02
  1251   0.775269E+03   0.255492E+02   0.596198E+01   0.176135E+06   0.176792E+02
  1252   0.771443E+03   0.257296E+02   0.547544E+01   0.175887E+06   0.178901E+02
  1253   0.767539E+03   0.259066E+02   0.497541E+01   0.175640E+06   0.181006E+02
  1254   0.763704E+03   0.260809E+02   0.446195E+01   0.175394E+06   0.183108E+02
  1255   0.759940E+03   0.262540E+02   0.393519E+01   0.175148E+06   0.185206E+02
  1256   0.756319E+03   0.264236E+02   0.339573E+01   0.174902E+06   0.187300E+02
  1257   0.752695E+03   0.265912E+02   0.284360E+01   0.174657E+06   0.189390E+02
  1258   0.749066E+03   0.267554E+02   0.227920E+01   0.174413E+06   0.191476E+02
  1259   0.745507E+03   0.269176E+02   0.170276E+01   0.174169E+06   0.193557E+02
  1260   0.742019E+03   0.270763E+02   0.111467E+01   0.173926E+06   0.195633E+02
  1261   0.738601E+03   0.272331E+02   0.515093E+00   0.173683E+06   0.197705E+02
  1262   0.735254E+03   0.273872E+02  -0.954519E-01   0.173441E+06   0.199770E+02
  1263   0.731977E+03   0.275378E+02  -0.716988E+00   0.173199E+06   0.201831E+02
  1264   0.728696E+03   0.276856E+02  -0.134924E+01   0.172957E+06   0.203886E+02
  1265   0.725560E+03   0.278300E+02  -0.199169E+01   0.172717E+06   0.205934E+02
  1266   0.722421E+03   0.279717E+02  -0.264393E+01   0.172476E+06   0.207977E+02
  1267   0.719353E+03   0.281091E+02  -0.330597E+01   0.172236E+06   0.210013E+02
  1268   0.716363E+03   0.282453E+02  -0.397745E+01   0.171997E+06   0.212043E+02
  1269   0.713451E+03   0.283758E+02  -0.465758E+01   0.171758E+06   0.214066E+02
  1270   0.710580E+03   0.285036E+02  -0.534727E+01   0.171520E+06   0.216081E+02
  1271   0.707788E+03   0.286286E+02  -0.604489E+01   0.171282E+06   0.218090E+02
  1272   0.705045E+03   0.287502E+02  -0.675047E+01   0.171045E+06   0.220091E+02
  1273   0.702351E+03   0.288675E+02  -0.746403E+01   0.170808E+06   0.222084E+02
  1274   0.699736E+03   0.289806E+02  -0.818484E+01   0.170571E+06   0.224069E+02
  1275   0.697185E+03   0.290909E+02  -0.891217E+01   0.170335E+06   0.226046E+02
  1276   0.694690E+03   0.291978E+02  -0.964679E+01   0.170100E+06   0.228015E+02
  1277   0.692267E+03   0.293012E+02  -0.103872E+02   0.169865E+06   0.229975E+02
  1278   0.689908E+03   0.294003E+02  -0.111342E+02   0.169631E+06   0.231926E+02
  1279   0.687620E+03   0.294952E+02  -0.118864E+02   0.169397E+06   0.233868E+02
  1280   0.685405E+03   0.295873E+02  -0.126451E+02   0.169163E+06   0.235801E+02
  1281   0.683254E+03   0.296752E+02  -0.134075E+02   0.168930E+06   0.237724E+02
  1282   0.681174E+03   0.297589E+02  -0.141751E+02   0.168698E+06   0.239638E+02
  1283   0.679160E+03   0.298391E+02  -0.149471E+02   0.168466E+06   0.241541E+02
  1284   0.677217E+03   0.299150E+02  -0.157235E+02   0.168234E+06   0.243435E+02
  1285   0.675332E+03   0.299874E+02  -0.165030E+02   0.168003E+06   0.245318E+02
  1286   0.673518E+03   0.300548E+02  -0.172862E+02   0.167772E+06   0.247190E+02
  1287   0.671778E+03   0.301187E+02  -0.180717E+02   0.167542E+06   0.249052E+02
  1288   0.670109E+03   0.301784E+02  -0.188610E+02   0.167313E+06   0.250902E+02
  1289   0.668505E+03   0.302345E+02  -0.196511E+02   0.167083E+06   0.252741E+02
  1290   0.666967E+03   0.302857E+02  -0.204443E+02   0.166855E+06   0.254569E+02
  1291   0.665501E+03   0.303333E+02  -0.212391E+02   0.166626E+06   0.256385E+02
  1292   0.664100E+03   0.303752E+02  -0.220355E+02   0.166399E+06   0.258189E+02
  1293   0.662765E+03   0.304151E+02  -0.228336E+02   0.166171E+06   0.259980E+02
  1294   0.661510E+03   0.304499E+02  -0.236296E+02   0.165944E+06   0.261760E+02
  1295   0.660313E+03   0.304805E+02  -0.244280E+02   0.165718E+06   0.263526E+02
  1296   0.659181E+03   0.305076E+02  -0.252245E+02   0.165492E+06   0.265280E+02
  1297   0.658122E+03   0.305304E+02  -0.260219E+02   0.165267E+06   0.267021E+02
  1298   0.657129E+03   0.305489E+02  -0.268180E+02   0.165041E+06   0.268748E+02
  1299   0.656195E+03   0.305631E+02  -0.276138E+02   0.164817E+06   0.270462E+02
  1300   0.655341E+03   0.305723E+02  -0.284075E+02   0.164593E+06   0.272162E+02
  1301   0.654552E+03   0.305788E+02  -0.291993E+02   0.164369E+06   0.273848E+02
  1302   0.653823E+03   0.305802E+02  -0.299885E+02   0.164146E+06   0.275520E+02
  1303   0.653159E+03   0.305773E+02  -0.307765E+02   0.163923E+06   0.277177E+02
  1304   0.652562E+03   0.305709E+02  -0.315610E+02   0.163701E+06   0.278821E+02
  1305   0.652031E+03   0.305595E+02  -0.323437E+02   0.163479E+06   0.280449E+02
  1306   0.651551E+03   0.305452E+02  -0.331214E+02   0.163257E+06   0.282064E+02
  1307   0.651153E+03   0.305259E+02  -0.338949E+02   0.163036E+06   0.283663E+02
  1308   0.650813E+03   0.305022E+02  -0.346665E+02   0.162816E+06   0.285248E+02
  1309   0.650525E+03   0.304735E+02  -0.354317E+02   0.162596E+06   0.286817E+02
  1310   0.650312E+03   0.304420E+02  -0.361935E+02   0.162376E+06   0.288371E+02
  1311   0.650150E+03   0.304062E+02  -0.369496E+02   0.162157E+06   0.289911E+02
  1312   0.650078E+03   0.303667E+02  -0.377000E+02   0.161938E+06   0.291434E+02
  1313   0.650042E+03   0.303222E+02  -0.384455E+02   0.161719E+06   0.292942E+02
  1314   0.650074E+03   0.302741E+02  -0.391838E+02   0.161501E+06   0.294435E+02
  1315   0.650158E+03   0.302224E+02  -0.399165E+02   0.161284E+06   0.295912E+02
  1316   0.650309E+03   0.301656E+02  -0.406420E+02   0.161067E+06   0.297373E+02
  1317   0.650520E+03   0.301067E+02  -0.413610E+02   0.160850E+06   0.298817E+02
  1318   0.650776E+03   0.300419E+02  -0.420722E+02   0.160634E+06   0.300246E+02
  1319   0.651093E+03   0.299735E+02  -0.427769E+02   0.160418E+06   0.301658E+02
  1320   0.651461E+03   0.299015E+02  -0.434729E+02   0.160203E+06   0.303054E+02
  1321   0.651883E+03   0.298266E+02  -0.441618E+02   0.159988E+06   0.304433E+02
  1322   0.652365E+03   0.297458E+02  -0.448413E+02   0.159773E+06   0.305796E+02
  1323   0.652900E+03   0.296621E+02  -0.455121E+02   0.159559E+06   0.307142E+02
  1324   0.653488E+03   0.295748E+02  -0.461749E+02   0.159345E+06   0.308471E+02
  1325   0.654121E+03   0.294839E+02  -0.468276E+02   0.159132E+06   0.309783E+02
  1326   0.654816E+03   0.293892E+02  -0.474716E+02   0.158919E+06   0.311077E+02
  1327   0.655541E+03   0.292917E+02  -0.481062E+02   0.158707E+06   0.312354E+02
  1328   0.656334E+03   0.291905E+02  -0.487292E+02   0.158495E+06   0.313614E+02
  1329   0.657167E+03   0.290849E+02  -0.493434E+02   0.158283E+06   0.314856E+02
  1330   0.658045E+03   0.289756E+02  -0.499467E+02   0.158072E+06   0.316081E+02
  1331   0.658977E+03   0.288634E+02  -0.505391E+02   0.157861E+06   0.317288E+02
  1332   0.659940E+03   0.287474E+02  -0.511213E+02   0.157651E+06   0.318476E+02
  1333   0.660958E+03   0.286278E+02  -0.516911E+02   0.157441E+06   0.319647E+02
  1334   0.662014E+03   0.285060E+02  -0.522508E+02   0.157232E+06   0.320799E+02
  1335   0.663109E+03   0.283798E+02  -0.527987E+02   0.157022E+06   0.321934E+02
  1336   0.664252E+03   0.282513E+02  -0.533335E+02   0.156814E+06   0.323049E+02
  1337   0.665433E+03   0.281184E+02  -0.538573E+02   0.156605E+06   0.324146E+02
  1338   0.666647E+03   0.279832E+02  -0.543687E+02   0.156397E+06   0.325224E+02
  1339   0.667907E+03   0.278443E+02  -0.548684E+02   0.156190E+06   0.326284E+02
  1340   0.669200E+03   0.277032E+02  -0.553565E+02   0.155983E+06   0.327324E+02
  1341   0.670525E+03   0.275599E+02  -0.558306E+02   0.155776E+06   0.328345E+02
  1342   0.671882E+03   0.274128E+02  -0.562922E+02   0.155570E+06   0.329347E+02
  1343   0.673279E+03   0.272627E+02  -0.567407E+02   0.155364E+06   0.330330E+02
  1344   0.674708E+03   0.271096E+02  -0.571760E+02   0.155158E+06   0.331293E+02
  1345   0.676156E+03   0.269550E+02  -0.575973E+02   0.154953E+06   0.332236E+02
  1346   0.677643E+03   0.267967E+02  -0.580070E+02   0.154749E+06   0.333160E+02
  1347   0.679163E+03   0.266360E+02  -0.584020E+02   0.154544E+06   0.334064E+02
  1348   0.680702E+03   0.264731E+02  -0.587830E+02   0.154340E+06   0.334947E+02
  1349   0.682280E+03   0.263064E+02  -0.591501E+02   0.154137E+06   0.335811E+02
  1350   0.683870E+03   0.261390E+02  -0.595032E+02   0.153933E+06   0.336654E+02
  1351   0.685492E+03   0.259685E+02  -0.598424E+02   0.153731E+06   0.337477E+02
  1352   0.687125E+03   0.257956E+02  -0.601669E+02   0.153528E+06   0.338280E+02
  1353   0.688792E+03   0.256220E+02  -0.604773E+02   0.153326E+06   0.339062E+02
  1354   0.690469E+03   0.254454E+02  -0.607738E+02   0.153125E+06   0.339824E+02
  1355   0.692180E+03   0.252664E+02  -0.610555E+02   0.152923E+06   0.340566E+02
  1356   0.693909E+03   0.250866E+02  -0.613239E+02   0.152723E+06   0.341287E+02
  1357   0.695649E+03   0.249038E+02  -0.615760E+02   0.152522E+06   0.341988E+02
  1358   0.697392E+03   0.247193E+02  -0.618119E+02   0.152322E+06   0.342669E+02
  1359   0.699154E+03   0.245333E+02  -0.620350E+02   0.152122E+06   0.343329E+02
  1360   0.700912E+03   0.243473E+02  -0.622419E+02   0.151923E+06   0.343970E+02
  1361   0.702703E+03   0.241574E+02  -0.624346E+02   0.151724E+06   0.344590E+02
  1362   0.704483E+03   0.239666E+02  -0.626109E+02   0.151525E+06   0.345190E+02
  1363   0.706282E+03   0.237743E+02  -0.627746E+02   0.151327E+06   0.345770E+02
  1364   0.708062E+03   0.235811E+02  -0.629211E+02   0.151129E+06   0.346330E+02
  1365   0.709934E+03   0.233864E+02  -0.630519E+02   0.150932E+06   0.346869E+02
  1366   0.711736E+03   0.231900E+02  -0.631692E+02   0.150735E+06   0.347389E+02
  1367   0.713541E+03   0.229920E+02  -0.632707E+02   0.150538E+06   0.347889E+02
  1368   0.715425E+03   0.227947E+02  -0.633565E+02   0.150342E+06   0.348369E+02
  1369   0.717238E+03   0.225950E+02  -0.634266E+02   0.150146E+06   0.348828E+02
  1370   0.719054E+03   0.223952E+02  -0.634823E+02   0.149950E+06   0.349268E+02
  1371   0.720875E+03   0.221945E+02  -0.635223E+02   0.149755E+06   0.349688E+02
  1372   0.722699E+03   0.219929E+02  -0.635471E+02   0.149560E+06   0.350088E+02
  1373   0.724526E+03   0.217912E+02  -0.635569E+02   0.149365E+06   0.350468E+02
  1374   0.726358E+03   0.215887E+02  -0.635508E+02   0.149171E+06   0.350828E+02
  1375   0.728193E+03   0.213852E+02  -0.635303E+02   0.148977E+06   0.351169E+02
  1376   0.730032E+03   0.211816E+02  -0.634939E+02   0.148784E+06   0.351489E+02
  1377   0.731875E+03   0.209786E+02  -0.634430E+02   0.148591E+06   0.351790E+02
  1378   0.733722E+03   0.207732E+02  -0.633770E+02   0.148398E+06   0.352071E+02
  1379   0.735498E+03   0.205699E+02  -0.632958E+02   0.148206E+06   0.352333E+02
  1380   0.737278E+03   0.203642E+02  -0.632001E+02   0.148014E+06   0.352574E+02
  1381   0.739062E+03   0.201598E+02  -0.630883E+02   0.147822E+06   0.352796E+02
  1382   0.740701E+03   0.199553E+02  -0.629614E+02   0.147631E+06   0.352999E+02
  1383   0.742493E+03   0.197506E+02  -0.628206E+02   0.147440E+06   0.353182E+02
  1384   0.744140E+03   0.195465E+02  -0.626645E+02   0.147249E+06   0.353345E+02
  1385   0.745791E+03   0.193422E+02  -0.624938E+02   0.147059E+06   0.353488E+02
  1386   0.747446E+03   0.191384E+02  -0.623085E+02   0.146869E+06   0.353612E+02
  1387   0.749030E+03   0.189352E+02  -0.621087E+02   0.146680E+06   0.353717E+02
  1388   0.750767E+03   0.187319E+02  -0.618949E+02   0.146491E+06   0.353801E+02
  1389   0.752360E+03   0.185291E+02  -0.616657E+02   0.146302E+06   0.353867E+02
  1390   0.753882E+03   0.183276E+02  -0.614241E+02   0.146113E+06   0.353913E+02
  1391   0.755482E+03   0.181266E+02  -0.611678E+02   0.145925E+06   0.353939E+02
  1392   0.757012E+03   0.179262E+02  -0.608975E+02   0.145737E+06   0.353947E+02
  1393   0.758547E+03   0.177271E+02  -0.606132E+02   0.145550E+06   0.353934E+02
  1394   0.760011E+03   0.175285E+02  -0.603164E+02   0.145363E+06   0.353903E+02
  1395   0.761479E+03   0.173305E+02  -0.600049E+02   0.145176E+06   0.353852E+02
  1396   0.762951E+03   0.171345E+02  -0.596815E+02   0.144990E+06   0.353781E+02
  1397   0.764353E+03   0.169390E+02  -0.593441E+02   0.144804E+06   0.353692E+02
  1398   0.765685E+03   0.167440E+02  -0.589933E+02   0.144618E+06   0.353583E+02
  1399   0.767021E+03   0.165518E+02  -0.586300E+02   0.144432E+06   0.353455E+02
  1400   0.768361E+03   0.163601E+02  -0.582540E+02   0.144247E+06   0.353308E+02
  1401   0.769630E+03   0.161690E+02  -0.578653E+02   0.144063E+06   0.353141E+02
  1402   0.770904E+03   0.159805E+02  -0.574648E+02   0.143878E+06   0.352956E+02
  1403   0.772108E+03   0.157934E+02  -0.570515E+02   0.143694E+06   0.352751E+02
  1404   0.773242E+03   0.156082E+02  -0.566263E+02   0.143510E+06   0.352528E+02
  1405   0.774453E+03   0.154236E+02  -0.561892E+02   0.143327E+06   0.352285E+02
  1406   0.775520E+03   0.152417E+02  -0.557415E+02   0.143144E+06   0.352025E+02
  1407   0.776517E+03   0.150611E+02  -0.552818E+02   0.142961E+06   0.351745E+02
  1408   0.777666E+03   0.148818E+02  -0.548109E+02   0.142779E+06   0.351447E+02
  1409   0.778595E+03   0.147052E+02  -0.543287E+02   0.142597E+06   0.351130E+02
  1410   0.779603E+03   0.145299E+02  -0.538366E+02   0.142415E+06   0.350796E+02
  1411   0.780540E+03   0.143566E+02  -0.533332E+02   0.142233E+06   0.350443E+02
  1412   0.781406E+03   0.141861E+02  -0.528193E+02   0.142052E+06   0.350072E+02
  1413   0.782127E+03   0.140176E+02  -0.522954E+02   0.141872E+06   0.349682E+02
  1414   0.782926E+03   0.138511E+02  -0.517610E+02   0.141691E+06   0.349275E+02
  1415   0.783654E+03   0.136867E+02  -0.512174E+02   0.141511E+06   0.348851E+02
  1416   0.784385E+03   0.135250E+02  -0.506646E+02   0.141331E+06   0.348408E+02
  1417   0.784971E+03   0.133645E+02  -0.501033E+02   0.141152E+06   0.347948E+02
  1418   0.785560E+03   0.132069E+02  -0.495314E+02   0.140973E+06   0.347470E+02
  1419   0.786078E+03   0.130520E+02  -0.489518E+02   0.140794E+06   0.346975E+02
  1420   0.786600E+03   0.128999E+02  -0.483636E+02   0.140615E+06   0.346463E+02
  1421   0.787049E+03   0.127498E+02  -0.477670E+02   0.140437E+06   0.345933E+02
  1422   0.787502E+03   0.126025E+02  -0.471625E+02   0.140259E+06   0.345386E+02
  1423   0.787810E+03   0.124580E+02  -0.465503E+02   0.140082E+06   0.344822E+02
  1424   0.788194E+03   0.123162E+02  -0.459302E+02   0.139904E+06   0.344241E+02
  1425   0.788433E+03   0.121772E+02  -0.453031E+02   0.139727E+06   0.343644E+02
  1426   0.788600E+03   0.120410E+02  -0.446689E+02   0.139551E+06   0.343029E+02
  1427   0.788844E+03   0.119076E+02  -0.440275E+02   0.139374E+06   0.342399E+02
  1428   0.788943E+03   0.117762E+02  -0.433805E+02   0.139198E+06   0.341751E+02
  1429   0.788969E+03   0.116491E+02  -0.427256E+02   0.139023E+06   0.341087E+02
  1430   0.788998E+03   0.115240E+02  -0.420665E+02   0.138847E+06   0.340407E+02
  1431   0.788956E+03   0.114017E+02  -0.414002E+02   0.138672E+06   0.339710E+02
  1432   0.788841E+03   0.112829E+02  -0.407290E+02   0.138498E+06   0.338997E+02
  1433   0.788803E+03   0.111670E+02  -0.400520E+02   0.138323E+06   0.338269E+02
  1434   0.788619E+03   0.110545E+02  -0.393700E+02   0.138149E+06   0.337524E+02
  1435   0.788363E+03   0.109441E+02  -0.386838E+02   0.137975E+06   0.336763E+02
  1436   0.788110E+03   0.108372E+02  -0.379940E+02   0.137802E+06   0.335987E+02
  1437   0.787709E+03   0.107339E+02  -0.372984E+02   0.137628E+06   0.335195E+02
  1438   0.787311E+03   0.106326E+02  -0.366007E+02   0.137456E+06   0.334388E+02
  1439   0.786841E+03   0.105356E+02  -0.358972E+02   0.137283E+06   0.333565E+02
  1440   0.786373E+03   0.104414E+02  -0.351916E+02   0.137111E+06   0.332726E+02
  1441   0.785832E+03   0.103500E+02  -0.344838E+02   0.136939E+06   0.331873E+02
  1442   0.785219E+03   0.102621E+02  -0.337724E+02   0.136767E+06   0.331004E+02
  1443   0.784534E+03   0.101786E+02  -0.330574E+02   0.136596E+06   0.330120E+02
  1444   0.783850E+03   0.100970E+02  -0.323409E+02   0.136424E+06   0.329221E+02
  1445   0.783019E+03   0.100198E+02  -0.316229E+02   0.136254E+06   0.328308E+02
  1446   0.782265E+03   0.994461E+01  -0.309019E+02   0.136083E+06   0.327379E+02
  1447   0.781289E+03   0.987372E+01  -0.301780E+02   0.135913E+06   0.326436E+02
  1448   0.780389E+03   0.980638E+01  -0.294556E+02   0.135743E+06   0.325478E+02
  1449   0.779416E+03   0.974111E+01  -0.287309E+02   0.135573E+06   0.324506E+02
  1450   0.778371E+03   0.968013E+01  -0.280053E+02   0.135404E+06   0.323520E+02
  1451   0.777326E+03   0.962270E+01  -0.272805E+02   0.135235E+06   0.322519E+02
  1452   0.776135E+03   0.956809E+01  -0.265563E+02   0.135066E+06   0.321504E+02
  1453   0.774945E+03   0.951704E+01  -0.258306E+02   0.134898E+06   0.320475E+02
  1454   0.773756E+03   0.946955E+01  -0.251048E+02   0.134730E+06   0.319432E+02
  1455   0.772494E+03   0.942489E+01  -0.243804E+02   0.134562E+06   0.318376E+02
  1456   0.771158E+03   0.938454E+01  -0.236582E+02   0.134394E+06   0.317307E+02
  1457   0.769675E+03   0.934629E+01  -0.229359E+02   0.134227E+06   0.316224E+02
  1458   0.768267E+03   0.931236E+01  -0.222151E+02   0.134060E+06   0.315128E+02
  1459   0.766786E+03   0.928127E+01  -0.214949E+02   0.133893E+06   0.314019E+02
  1460   0.765231E+03   0.925452E+01  -0.207776E+02   0.133727E+06   0.312897E+02
  1461   0.763677E+03   0.922913E+01  -0.200633E+02   0.133561E+06   0.311763E+02
  1462   0.762049E+03   0.920808E+01  -0.193511E+02   0.133395E+06   0.310617E+02
  1463   0.760273E+03   0.919064E+01  -0.186411E+02   0.133229E+06   0.309458E+02
  1464   0.758572E+03   0.917606E+01  -0.179339E+02   0.133064E+06   0.308287E+02
  1465   0.756722E+03   0.916508E+01  -0.172305E+02   0.132899E+06   0.307105E+02
  1466   0.754948E+03   0.915773E+01  -0.165300E+02   0.132734E+06   0.305911E+02
  1467   0.753025E+03   0.915325E+01  -0.158338E+02   0.132570E+06   0.304705E+02
  1468   0.751102E+03   0.915239E+01  -0.151413E+02   0.132406E+06   0.303488E+02
  1469   0.749179E+03   0.915442E+01  -0.144533E+02   0.132242E+06   0.302259E+02
  1470   0.747033E+03   0.915933E+01  -0.137688E+02   0.132078E+06   0.301020E+02
  1471   0.745036E+03   0.916862E+01  -0.130903E+02   0.131915E+06   0.299770E+02
  1472   0.742964E+03   0.918081E+01  -0.124162E+02   0.131752E+06   0.298509E+02
  1473   0.740818E+03   0.919591E+01  -0.117480E+02   0.131589E+06   0.297238E+02
  1474   0.738524E+03   0.921390E+01  -0.110841E+02   0.131427E+06   0.295957E+02
  1475   0.736303E+03   0.923481E+01  -0.104262E+02   0.131265E+06   0.294665E+02
  1476   0.734007E+03   0.925937E+01  -0.977493E+01   0.131103E+06   0.293363E+02
  1477   0.731711E+03   0.928685E+01  -0.912880E+01   0.130941E+06   0.292052E+02
  1478   0.729340E+03   0.931725E+01  -0.848930E+01   0.130780E+06   0.290731E+02
  1479   0.726968E+03   0.935132E+01  -0.785667E+01   0.130619E+06   0.289401E+02
  1480   0.724522E+03   0.938832E+01  -0.723046E+01   0.130458E+06   0.288061E+02
  1481   0.722008E+03   0.942751E+01  -0.661111E+01   0.130297E+06   0.286712E+02
  1482   0.719500E+03   0.947038E+01  -0.599885E+01   0.130137E+06   0.285354E+02
  1483   0.716932E+03   0.951619E+01  -0.539398E+01   0.129977E+06   0.283988E+02
  1484   0.714356E+03   0.956421E+01  -0.479657E+01   0.129818E+06   0.282613E+02
  1485   0.711719E+03   0.961518E+01  -0.420693E+01   0.129658E+06   0.281230E+02
  1486   0.709044E+03   0.966984E+01  -0.362497E+01   0.129499E+06   0.279838E+02
  1487   0.706331E+03   0.972598E+01  -0.305114E+01   0.129340E+06   0.278438E+02
  1488   0.703601E+03   0.978583E+01  -0.248545E+01   0.129181E+06   0.277031E+02
  1489   0.700811E+03   0.984864E+01  -0.192826E+01   0.129023E+06   0.275615E+02
  1490   0.697997E+03   0.991294E+01  -0.137956E+01   0.128865E+06   0.274193E+02
  1491   0.695151E+03   0.998021E+01  -0.839664E+00   0.128707E+06   0.272762E+02
  1492   0.692282E+03   0.100505E+02  -0.308601E+00   0.128550E+06   0.271325E+02
  1493   0.689374E+03   0.101222E+02   0.213380E+00   0.128392E+06   0.269881E+02
  1494   0.686435E+03   0.101970E+02   0.726157E+00   0.128235E+06   0.268430E+02
  1495   0.683472E+03   0.102747E+02   0.122960E+01   0.128079E+06   0.266972E+02
  1496   0.680477E+03   0.103547E+02   0.172365E+01   0.127922E+06   0.265507E+02
  1497   0.677450E+03   0.104362E+02   0.220806E+01   0.127766E+06   0.264037E+02
  1498   0.674407E+03   0.105207E+02   0.268270E+01   0.127610E+06   0.262560E+02
