#    L    TT             EE             TE             PP             TP          
    75   0.193748E+04   0.375930E+00  -0.801652E+01   0.502605E+07   0.916872E+04
    76   0.196271E+04   0.389329E+00  -0.850816E+01   0.499660E+07   0.903882E+04
    77   0.198826E+04   0.402891E+00  -0.901024E+01   0.496709E+07   0.891128E+04
    78   0.201417E+04   0.416644E+00  -0.952418E+01   0.493753E+07   0.878552E+04
    79   0.204025E+04   0.430531E+00  -0.100461E+02   0.490796E+07   0.866093E+04
    80   0.206662E+04   0.444556E+00  -0.105775E+02   0.487838E+07   0.853692E+04
    81   0.209317E+04   0.458670E+00  -0.111188E+02   0.484882E+07   0.841311E+04
    82   0.211996E+04   0.472893E+00  -0.116690E+02   0.481928E+07   0.829002E+04
    83   0.214694E+04   0.487201E+00  -0.122276E+02   0.478979E+07   0.816837E+04
    84   0.217418E+04   0.501590E+00  -0.127927E+02   0.476036E+07   0.804891E+04
    85   0.220154E+04   0.516035E+00  -0.133653E+02   0.473100E+07   0.793237E+04
    86   0.222910E+04   0.530550E+00  -0.139443E+02   0.470172E+07   0.781932E+04
    87   0.225708E+04   0.545103E+00  -0.145290E+02   0.467252E+07   0.770970E+04
    88   0.228504E+04   0.559710E+00  -0.151195E+02   0.464343E+07   0.760325E+04
    89   0.231336E+04   0.574356E+00  -0.157174E+02   0.461443E+07   0.749973E+04
    90   0.234188E+04   0.589003E+00  -0.163198E+02   0.458555E+07   0.739891E+04
    91   0.237053E+04   0.603645E+00  -0.169276E+02   0.455679E+07   0.730056E+04
    92   0.239947E+04   0.618267E+00  -0.175400E+02   0.452815E+07   0.720459E+04
    93   0.242869E+04   0.632863E+00  -0.181571E+02   0.449963E+07   0.711092E+04
    94   0.245797E+04   0.647396E+00  -0.187774E+02   0.447123E+07   0.701946E+04
    95   0.248754E+04   0.661867E+00  -0.194018E+02   0.444297E+07   0.693013E+04
    96   0.251710E+04   0.676262E+00  -0.200295E+02   0.441484E+07   0.684287E+04
    97   0.254708E+04   0.690567E+00  -0.206598E+02   0.438685E+07   0.675759E+04
    98   0.257729E+04   0.704774E+00  -0.212905E+02   0.435900E+07   0.667420E+04
    99   0.260756E+04   0.718848E+00  -0.219246E+02   0.433129E+07   0.659265E+04
   100   0.263811E+04   0.732790E+00  -0.225577E+02   0.430373E+07   0.651284E+04
   101   0.266881E+04   0.746659E+00  -0.231928E+02   0.427631E+07   0.643469E+04
   102   0.270002E+04   0.760308E+00  -0.238277E+02   0.424905E+07   0.635813E+04
   103   0.273115E+04   0.773812E+00  -0.244631E+02   0.422194E+07   0.628309E+04
   104   0.276250E+04   0.787171E+00  -0.250963E+02   0.419499E+07   0.620947E+04
   105   0.279399E+04   0.800312E+00  -0.257285E+02   0.416820E+07   0.613721E+04
   106   0.282571E+04   0.813310E+00  -0.263593E+02   0.414158E+07   0.606622E+04
   107   0.285734E+04   0.826017E+00  -0.269870E+02   0.411512E+07   0.599643E+04
   108   0.288934E+04   0.838508E+00  -0.276125E+02   0.408883E+07   0.592775E+04
   109   0.292150E+04   0.850709E+00  -0.282343E+02   0.406272E+07   0.586012E+04
   110   0.295372E+04   0.862622E+00  -0.288511E+02   0.403678E+07   0.579344E+04
   111   0.298610E+04   0.874322E+00  -0.294642E+02   0.401102E+07   0.572766E+04
   112   0.301862E+04   0.885733E+00  -0.300729E+02   0.398544E+07   0.566276E+04
   113   0.305136E+04   0.896858E+00  -0.306758E+02   0.396004E+07   0.559875E+04
   114   0.308418E+04   0.907621E+00  -0.312720E+02   0.393483E+07   0.553562E+04
   115   0.311721E+04   0.918172E+00  -0.318616E+02   0.390979E+07   0.547338E+04
   116   0.315024E+04   0.928288E+00  -0.324438E+02   0.388493E+07   0.541202E+04
   117   0.318356E+04   0.938043E+00  -0.330178E+02   0.386025E+07   0.535156E+04
   118   0.321703E+04   0.947588E+00  -0.335843E+02   0.383575E+07   0.529198E+04
   119   0.325048E+04   0.956772E+00  -0.341412E+02   0.381144E+07   0.523328E+04
   120   0.328408E+04   0.965449E+00  -0.346884E+02   0.378730E+07   0.517548E+04
   121   0.331766E+04   0.973915E+00  -0.352258E+02   0.376334E+07   0.511857E+04
   122   0.335131E+04   0.981874E+00  -0.357528E+02   0.373957E+07   0.506256E+04
