#    L    TT             EE             BB             TE          
    90   0.124348E+02   0.888048E-02   0.615086E-02  -0.257292E+00
    91   0.120754E+02   0.892988E-02   0.614378E-02  -0.255084E+00
    92   0.117212E+02   0.897563E-02   0.613387E-02  -0.252735E+00
    93   0.113721E+02   0.901776E-02   0.612118E-02  -0.250252E+00
    94   0.110283E+02   0.905627E-02   0.610579E-02  -0.247640E+00
    95   0.106897E+02   0.909119E-02   0.608774E-02  -0.244903E+00
    96   0.103565E+02   0.912252E-02   0.606710E-02  -0.242047E+00
    97   0.100288E+02   0.915029E-02   0.604392E-02  -0.239076E+00
    98   0.970658E+01   0.917451E-02   0.601827E-02  -0.235997E+00
    99   0.938992E+01   0.919520E-02   0.599020E-02  -0.232814E+00
   100   0.907889E+01   0.921236E-02   0.595978E-02  -0.229533E+00
   101   0.877355E+01   0.922602E-02   0.592707E-02  -0.226157E+00
   102   0.847399E+01   0.923619E-02   0.589211E-02  -0.222693E+00
   103   0.818025E+01   0.924289E-02   0.585498E-02  -0.219146E+00
   104   0.789242E+01   0.924613E-02   0.581573E-02  -0.215521E+00
   105   0.761054E+01   0.924593E-02   0.577442E-02  -0.211822E+00
   106   0.733470E+01   0.924231E-02   0.573112E-02  -0.208056E+00
   107   0.706495E+01   0.923527E-02   0.568587E-02  -0.204226E+00
   108   0.680136E+01   0.922483E-02   0.563875E-02  -0.200339E+00
   109   0.654400E+01   0.921102E-02   0.558980E-02  -0.196399E+00
   110   0.629293E+01   0.919384E-02   0.553909E-02  -0.192412E+00
   111   0.604820E+01   0.917332E-02   0.548668E-02  -0.188382E+00
   112   0.580978E+01   0.914949E-02   0.543265E-02  -0.184313E+00
   113   0.557760E+01   0.912241E-02   0.537707E-02  -0.180210E+00
   114   0.535163E+01   0.909211E-02   0.532002E-02  -0.176077E+00
   115   0.513179E+01   0.905864E-02   0.526156E-02  -0.171917E+00
   116   0.491805E+01   0.902205E-02   0.520179E-02  -0.167734E+00
   117   0.471034E+01   0.898238E-02   0.514077E-02  -0.163533E+00
   118   0.450860E+01   0.893968E-02   0.507858E-02  -0.159317E+00
   119   0.431280E+01   0.889399E-02   0.501530E-02  -0.155090E+00
   120   0.412286E+01   0.884536E-02   0.495101E-02  -0.150856E+00
   121   0.393875E+01   0.879383E-02   0.488577E-02  -0.146619E+00
   122   0.376039E+01   0.873945E-02   0.481967E-02  -0.142383E+00
   123   0.358775E+01   0.868226E-02   0.475278E-02  -0.138153E+00
   124   0.342076E+01   0.862231E-02   0.468518E-02  -0.133931E+00
   125   0.325937E+01   0.855964E-02   0.461694E-02  -0.129722E+00
   126   0.310352E+01   0.849431E-02   0.454814E-02  -0.125530E+00
   127   0.295317E+01   0.842634E-02   0.447886E-02  -0.121358E+00
   128   0.280826E+01   0.835579E-02   0.440917E-02  -0.117212E+00
   129   0.266873E+01   0.828271E-02   0.433915E-02  -0.113094E+00
   130   0.253453E+01   0.820714E-02   0.426887E-02  -0.109009E+00
   131   0.240559E+01   0.812913E-02   0.419842E-02  -0.104960E+00
   132   0.228183E+01   0.804878E-02   0.412783E-02  -0.100950E+00
   133   0.216314E+01   0.796619E-02   0.405718E-02  -0.969811E-01
   134   0.204942E+01   0.788146E-02   0.398652E-02  -0.930558E-01
   135   0.194056E+01   0.779470E-02   0.391589E-02  -0.891763E-01
   136   0.183646E+01   0.770600E-02   0.384537E-02  -0.853449E-01
   137   0.173702E+01   0.761549E-02   0.377499E-02  -0.815641E-01
   138   0.164214E+01   0.752324E-02   0.370482E-02  -0.778359E-01
   139   0.155171E+01   0.742938E-02   0.363491E-02  -0.741629E-01
   140   0.146563E+01   0.733400E-02   0.356532E-02  -0.705472E-01
   141   0.138381E+01   0.723720E-02   0.349610E-02  -0.669913E-01
   142   0.130612E+01   0.713909E-02   0.342731E-02  -0.634973E-01
   143   0.123248E+01   0.703977E-02   0.335900E-02  -0.600677E-01
   144   0.116278E+01   0.693934E-02   0.329123E-02  -0.567047E-01
   145   0.109692E+01   0.683792E-02   0.322405E-02  -0.534107E-01
   146   0.103479E+01   0.673559E-02   0.315751E-02  -0.501879E-01
   147   0.976295E+00   0.663247E-02   0.309168E-02  -0.470387E-01
   148   0.921329E+00   0.652865E-02   0.302661E-02  -0.439653E-01
   149   0.869789E+00   0.642424E-02   0.296235E-02  -0.409702E-01
   150   0.821573E+00   0.631935E-02   0.289896E-02  -0.380556E-01
   151   0.776580E+00   0.621406E-02   0.283648E-02  -0.352233E-01
   152   0.734713E+00   0.610846E-02   0.277495E-02  -0.324737E-01
   153   0.695878E+00   0.600262E-02   0.271437E-02  -0.298063E-01
   154   0.659979E+00   0.589661E-02   0.265478E-02  -0.272209E-01
   155   0.626922E+00   0.579050E-02   0.259618E-02  -0.247173E-01
   156   0.596612E+00   0.568436E-02   0.253859E-02  -0.222953E-01
   157   0.568955E+00   0.557826E-02   0.248203E-02  -0.199544E-01
   158   0.543855E+00   0.547228E-02   0.242652E-02  -0.176946E-01
   159   0.521217E+00   0.536648E-02   0.237208E-02  -0.155155E-01
   160   0.500947E+00   0.526093E-02   0.231873E-02  -0.134168E-01
   161   0.482949E+00   0.515572E-02   0.226648E-02  -0.113984E-01
   162   0.467130E+00   0.505090E-02   0.221536E-02  -0.945988E-02
   163   0.453394E+00   0.494655E-02   0.216537E-02  -0.760105E-02
   164   0.441646E+00   0.484274E-02   0.211655E-02  -0.582163E-02
   165   0.431791E+00   0.473954E-02   0.206890E-02  -0.412137E-02
   166   0.423735E+00   0.463703E-02   0.202244E-02  -0.250001E-02
   167   0.417383E+00   0.453527E-02   0.197720E-02  -0.957272E-03
   168   0.412640E+00   0.443434E-02   0.193319E-02   0.507093E-03
   169   0.409410E+00   0.433430E-02   0.189043E-02   0.189335E-02
   170   0.407600E+00   0.423522E-02   0.184894E-02   0.320176E-02
   171   0.407114E+00   0.413719E-02   0.180873E-02   0.443258E-02
   172   0.407858E+00   0.404027E-02   0.176983E-02   0.558609E-02
   173   0.409736E+00   0.394452E-02   0.173224E-02   0.666253E-02
   174   0.412654E+00   0.385003E-02   0.169600E-02   0.766217E-02
   175   0.416517E+00   0.375687E-02   0.166112E-02   0.858527E-02
   176   0.421237E+00   0.366509E-02   0.162760E-02   0.943241E-02
   177   0.426751E+00   0.357474E-02   0.159544E-02   0.102055E-01
   178   0.433005E+00   0.348587E-02   0.156461E-02   0.109066E-01
   179   0.439941E+00   0.339851E-02   0.153508E-02   0.115379E-01
   180   0.447506E+00   0.331270E-02   0.150683E-02   0.121017E-01
   181   0.455643E+00   0.322848E-02   0.147984E-02   0.126000E-01
   182   0.464297E+00   0.314588E-02   0.145409E-02   0.130352E-01
   183   0.473412E+00   0.306496E-02   0.142955E-02   0.134092E-01
   184   0.482933E+00   0.298575E-02   0.140619E-02   0.137244E-01
   185   0.492805E+00   0.290828E-02   0.138399E-02   0.139828E-01
   186   0.502971E+00   0.283259E-02   0.136294E-02   0.141867E-01
   187   0.513376E+00   0.275874E-02   0.134299E-02   0.143382E-01
   188   0.523965E+00   0.268674E-02   0.132415E-02   0.144395E-01
   189   0.534681E+00   0.261665E-02   0.130636E-02   0.144928E-01
   190   0.545471E+00   0.254850E-02   0.128963E-02   0.145003E-01
   191   0.556277E+00   0.248234E-02   0.127391E-02   0.144640E-01
   192   0.567045E+00   0.241819E-02   0.125919E-02   0.143863E-01
   193   0.577718E+00   0.235611E-02   0.124544E-02   0.142692E-01
   194   0.588242E+00   0.229612E-02   0.123265E-02   0.141149E-01
   195   0.598561E+00   0.223827E-02   0.122078E-02   0.139256E-01
   196   0.608619E+00   0.218260E-02   0.120981E-02   0.137036E-01
   197   0.618361E+00   0.212915E-02   0.119971E-02   0.134509E-01
   198   0.627731E+00   0.207795E-02   0.119048E-02   0.131697E-01
   199   0.636673E+00   0.202905E-02   0.118207E-02   0.128622E-01
   200   0.645133E+00   0.198248E-02   0.117447E-02   0.125306E-01
   201   0.653064E+00   0.193827E-02   0.116765E-02   0.121768E-01
   202   0.660466E+00   0.189639E-02   0.116160E-02   0.118021E-01
   203   0.667345E+00   0.185678E-02   0.115627E-02   0.114074E-01
   204   0.673711E+00   0.181942E-02   0.115166E-02   0.109937E-01
   205   0.679570E+00   0.178424E-02   0.114774E-02   0.105621E-01
   206   0.684933E+00   0.175121E-02   0.114448E-02   0.101134E-01
   207   0.689805E+00   0.172028E-02   0.114185E-02   0.964865E-02
   208   0.694197E+00   0.169140E-02   0.113984E-02   0.916891E-02
   209   0.698115E+00   0.166453E-02   0.113842E-02   0.867513E-02
   210   0.701568E+00   0.163962E-02   0.113756E-02   0.816829E-02
   211   0.704565E+00   0.161662E-02   0.113725E-02   0.764939E-02
   212   0.707112E+00   0.159550E-02   0.113745E-02   0.711941E-02
   213   0.709220E+00   0.157619E-02   0.113815E-02   0.657934E-02
   214   0.710895E+00   0.155867E-02   0.113931E-02   0.603018E-02
   215   0.712146E+00   0.154288E-02   0.114092E-02   0.547290E-02
   216   0.712981E+00   0.152877E-02   0.114295E-02   0.490851E-02
   217   0.713409E+00   0.151630E-02   0.114538E-02   0.433798E-02
   218   0.713437E+00   0.150543E-02   0.114818E-02   0.376231E-02
   219   0.713073E+00   0.149611E-02   0.115132E-02   0.318249E-02
   220   0.712326E+00   0.148829E-02   0.115479E-02   0.259949E-02
   221   0.711204E+00   0.148193E-02   0.115856E-02   0.201433E-02
   222   0.709715E+00   0.147698E-02   0.116261E-02   0.142797E-02
   223   0.707868E+00   0.147339E-02   0.116690E-02   0.841417E-03
   224   0.705670E+00   0.147113E-02   0.117143E-02   0.255652E-03
   225   0.703129E+00   0.147013E-02   0.117615E-02  -0.328335E-03
   226   0.700254E+00   0.147037E-02   0.118106E-02  -0.909554E-03
   227   0.697053E+00   0.147179E-02   0.118611E-02  -0.148702E-02
   228   0.693534E+00   0.147435E-02   0.119130E-02  -0.205974E-02
   229   0.689705E+00   0.147799E-02   0.119660E-02  -0.262672E-02
   230   0.685575E+00   0.148268E-02   0.120197E-02  -0.318698E-02
   231   0.681152E+00   0.148838E-02   0.120740E-02  -0.373954E-02
   232   0.676443E+00   0.149502E-02   0.121287E-02  -0.428339E-02
   233   0.671457E+00   0.150257E-02   0.121835E-02  -0.481755E-02
   234   0.666202E+00   0.151099E-02   0.122381E-02  -0.534104E-02
   235   0.660686E+00   0.152022E-02   0.122923E-02  -0.585285E-02
   236   0.654918E+00   0.153022E-02   0.123459E-02  -0.635202E-02
   237   0.648905E+00   0.154094E-02   0.123986E-02  -0.683754E-02
   238   0.642657E+00   0.155234E-02   0.124502E-02  -0.730842E-02
   239   0.636180E+00   0.156438E-02   0.125004E-02  -0.776369E-02
   240   0.629483E+00   0.157700E-02   0.125490E-02  -0.820234E-02
   241   0.622574E+00   0.159017E-02   0.125958E-02  -0.862340E-02
   242   0.615462E+00   0.160383E-02   0.126405E-02  -0.902587E-02
   243   0.608155E+00   0.161793E-02   0.126829E-02  -0.940876E-02
   244   0.600660E+00   0.163245E-02   0.127227E-02  -0.977108E-02
   245   0.592986E+00   0.164732E-02   0.127596E-02  -0.101119E-01
   246   0.585142E+00   0.166250E-02   0.127936E-02  -0.104301E-01
   247   0.577134E+00   0.167795E-02   0.128242E-02  -0.107248E-01
   248   0.568972E+00   0.169362E-02   0.128513E-02  -0.109949E-01
   249   0.560664E+00   0.170947E-02   0.128746E-02  -0.112396E-01
   250   0.552217E+00   0.172544E-02   0.128939E-02  -0.114578E-01
   251   0.543641E+00   0.174150E-02   0.129090E-02  -0.116487E-01
   252   0.534943E+00   0.175762E-02   0.129199E-02  -0.118129E-01
   253   0.526133E+00   0.177378E-02   0.129268E-02  -0.119509E-01
   254   0.517220E+00   0.178996E-02   0.129296E-02  -0.120634E-01
   255   0.508213E+00   0.180612E-02   0.129284E-02  -0.121511E-01
   256   0.499121E+00   0.182226E-02   0.129235E-02  -0.122147E-01
   257   0.489952E+00   0.183835E-02   0.129147E-02  -0.122548E-01
