#    L    TT             EE             BB             TE          
    91   0.237259E+04   0.605498E+00   0.222322E-02  -0.169224E+02
    92   0.240155E+04   0.620151E+00   0.227271E-02  -0.175340E+02
    93   0.243078E+04   0.634777E+00   0.232279E-02  -0.181504E+02
    94   0.246008E+04   0.649341E+00   0.237346E-02  -0.187699E+02
    95   0.248967E+04   0.663843E+00   0.242472E-02  -0.193934E+02
    96   0.251923E+04   0.678269E+00   0.247658E-02  -0.200201E+02
    97   0.254924E+04   0.692605E+00   0.252904E-02  -0.206494E+02
    98   0.257945E+04   0.706844E+00   0.258211E-02  -0.212791E+02
    99   0.260973E+04   0.720949E+00   0.263578E-02  -0.219122E+02
   100   0.264030E+04   0.734923E+00   0.269006E-02  -0.225442E+02
   101   0.267101E+04   0.748824E+00   0.274495E-02  -0.231781E+02
   102   0.270223E+04   0.762505E+00   0.280046E-02  -0.238118E+02
   103   0.273336E+04   0.776041E+00   0.285658E-02  -0.244460E+02
   104   0.276472E+04   0.789433E+00   0.291333E-02  -0.250779E+02
   105   0.279621E+04   0.802607E+00   0.297071E-02  -0.257088E+02
   106   0.282793E+04   0.815639E+00   0.302871E-02  -0.263382E+02
   107   0.285956E+04   0.828380E+00   0.308734E-02  -0.269645E+02
   108   0.289157E+04   0.840906E+00   0.314661E-02  -0.275885E+02
   109   0.292372E+04   0.853143E+00   0.320651E-02  -0.282088E+02
   110   0.295594E+04   0.865092E+00   0.326705E-02  -0.288239E+02
   111   0.298831E+04   0.876828E+00   0.332824E-02  -0.294354E+02
   112   0.302083E+04   0.888277E+00   0.339008E-02  -0.300424E+02
   113   0.305356E+04   0.899440E+00   0.345257E-02  -0.306436E+02
   114   0.308637E+04   0.910242E+00   0.351571E-02  -0.312380E+02
   115   0.311939E+04   0.920833E+00   0.357951E-02  -0.318258E+02
   116   0.315241E+04   0.930990E+00   0.364397E-02  -0.324061E+02
   117   0.318572E+04   0.940787E+00   0.370910E-02  -0.329782E+02
   118   0.321916E+04   0.950375E+00   0.377490E-02  -0.335428E+02
   119   0.325260E+04   0.959604E+00   0.384137E-02  -0.340977E+02
   120   0.328618E+04   0.968326E+00   0.390853E-02  -0.346428E+02
   121   0.331974E+04   0.976839E+00   0.397636E-02  -0.351781E+02
   122   0.335337E+04   0.984847E+00   0.404489E-02  -0.357029E+02
   123   0.338705E+04   0.992423E+00   0.411410E-02  -0.362172E+02
   124   0.342080E+04   0.999643E+00   0.418402E-02  -0.367180E+02
   125   0.345453E+04   0.100643E+01   0.425464E-02  -0.372074E+02
   126   0.348832E+04   0.101287E+01   0.432596E-02  -0.376847E+02
   127   0.352209E+04   0.101880E+01   0.439800E-02  -0.381492E+02
