#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.124520E+04   0.137356E+01   0.985478E-03   0.137356E+01   0.695107E-01  -0.142625E-06   0.985478E-03  -0.142625E-06   0.130202E-06
    44   0.126354E+04   0.127455E+01   0.964047E-03   0.127455E+01   0.750178E-01  -0.101219E-06   0.964047E-03  -0.101219E-06   0.129783E-06
    45   0.128225E+04   0.116134E+01   0.943403E-03   0.116134E+01   0.807726E-01  -0.103028E-06   0.943403E-03  -0.103028E-06   0.129339E-06
    46   0.130124E+04   0.103080E+01   0.923595E-03   0.103080E+01   0.867717E-01  -0.157728E-06   0.923595E-03  -0.157728E-06   0.128872E-06
    47   0.132038E+04   0.884718E+00   0.904520E-03   0.884718E+00   0.930177E-01  -0.252422E-06   0.904520E-03  -0.252422E-06   0.128385E-06
    48   0.133961E+04   0.728753E+00   0.886035E-03   0.728753E+00   0.995217E-01  -0.368573E-06   0.886035E-03  -0.368573E-06   0.127878E-06
    49   0.135899E+04   0.567961E+00   0.867998E-03   0.567961E+00   0.106273E+00  -0.487641E-06   0.867998E-03  -0.487641E-06   0.127353E-06
    50   0.137877E+04   0.400620E+00   0.850266E-03   0.400620E+00   0.113252E+00  -0.591089E-06   0.850266E-03  -0.591089E-06   0.126812E-06
    51   0.139873E+04   0.223184E+00   0.832750E-03   0.223184E+00   0.120437E+00  -0.664284E-06   0.832750E-03  -0.664284E-06   0.126256E-06
    52   0.141908E+04   0.304335E-01   0.815556E-03   0.304335E-01   0.127908E+00  -0.708224E-06   0.815556E-03  -0.708224E-06   0.125687E-06
    53   0.143944E+04  -0.181416E+00   0.798846E-03  -0.181416E+00   0.135809E+00  -0.727813E-06   0.798846E-03  -0.727813E-06   0.125104E-06
    54   0.145973E+04  -0.408181E+00   0.782778E-03  -0.408181E+00   0.144128E+00  -0.727955E-06   0.782778E-03  -0.727955E-06   0.124510E-06
    55   0.148015E+04  -0.645565E+00   0.767512E-03  -0.645565E+00   0.152837E+00  -0.713554E-06   0.767512E-03  -0.713554E-06   0.123905E-06
    56   0.150094E+04  -0.895356E+00   0.753155E-03  -0.895356E+00   0.161790E+00  -0.689080E-06   0.753155E-03  -0.689080E-06   0.123291E-06
    57   0.152200E+04  -0.115739E+01   0.739603E-03  -0.115739E+01   0.170880E+00  -0.657255E-06   0.739603E-03  -0.657255E-06   0.122666E-06
    58   0.154336E+04  -0.143224E+01   0.726700E-03  -0.143224E+01   0.180119E+00  -0.620369E-06   0.726700E-03  -0.620369E-06   0.122033E-06
    59   0.156488E+04  -0.172050E+01   0.714288E-03  -0.172050E+01   0.189549E+00  -0.580710E-06   0.714288E-03  -0.580710E-06   0.121392E-06
    60   0.158656E+04  -0.202134E+01   0.702211E-03  -0.202134E+01   0.199227E+00  -0.540566E-06   0.702211E-03  -0.540566E-06   0.120743E-06
    61   0.160871E+04  -0.233382E+01   0.690335E-03  -0.233382E+01   0.209247E+00  -0.502102E-06   0.690335E-03  -0.502102E-06   0.120087E-06
    62   0.163074E+04  -0.265890E+01   0.678612E-03  -0.265890E+01   0.219595E+00  -0.466987E-06   0.678612E-03  -0.466987E-06   0.119424E-06
    63   0.165288E+04  -0.299767E+01   0.667014E-03  -0.299767E+01   0.230230E+00  -0.436767E-06   0.667014E-03  -0.436767E-06   0.118756E-06
    64   0.167541E+04  -0.335143E+01   0.655517E-03  -0.335143E+01   0.241159E+00  -0.412988E-06   0.655517E-03  -0.412988E-06   0.118084E-06
    65   0.169798E+04  -0.372088E+01   0.644093E-03  -0.372088E+01   0.252357E+00  -0.397195E-06   0.644093E-03  -0.397195E-06   0.117408E-06
    66   0.172088E+04  -0.410423E+01   0.632738E-03  -0.410423E+01   0.263754E+00  -0.390949E-06   0.632738E-03  -0.390949E-06   0.116730E-06
    67   0.174394E+04  -0.449862E+01   0.621536E-03  -0.449862E+01   0.275351E+00  -0.395864E-06   0.621536E-03  -0.395864E-06   0.116050E-06
    68   0.176742E+04  -0.490227E+01   0.610590E-03  -0.490227E+01   0.287189E+00  -0.413570E-06   0.610590E-03  -0.413570E-06   0.115368E-06
    69   0.179109E+04  -0.531331E+01   0.600005E-03  -0.531331E+01   0.299230E+00  -0.445697E-06   0.600005E-03  -0.445697E-06   0.114685E-06
    70   0.181506E+04  -0.573329E+01   0.589886E-03  -0.573329E+01   0.311514E+00  -0.493873E-06   0.589886E-03  -0.493873E-06   0.114001E-06
    71   0.183917E+04  -0.616452E+01   0.580307E-03  -0.616452E+01   0.324030E+00  -0.557548E-06   0.580307E-03  -0.557548E-06   0.113317E-06
    72   0.186346E+04  -0.660842E+01   0.571220E-03  -0.660842E+01   0.336753E+00  -0.627448E-06   0.571220E-03  -0.627448E-06   0.112632E-06
    73   0.188790E+04  -0.706568E+01   0.562550E-03  -0.706568E+01   0.349647E+00  -0.692120E-06   0.562550E-03  -0.692120E-06   0.111947E-06
    74   0.191253E+04  -0.753551E+01   0.554219E-03  -0.753551E+01   0.362703E+00  -0.740110E-06   0.554219E-03  -0.740110E-06   0.111261E-06
    75   0.193748E+04  -0.801652E+01   0.546149E-03  -0.801652E+01   0.375930E+00  -0.759964E-06   0.546149E-03  -0.759964E-06   0.110576E-06
    76   0.196271E+04  -0.850816E+01   0.538271E-03  -0.850816E+01   0.389329E+00  -0.744217E-06   0.538271E-03  -0.744217E-06   0.109890E-06
