#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  1287   0.671778E+03  -0.180717E+02   0.145603E-05  -0.180717E+02   0.301187E+02  -0.313192E-06   0.145603E-05  -0.313192E-06   0.359523E-08
  1288   0.670109E+03  -0.188610E+02   0.146684E-05  -0.188610E+02   0.301784E+02  -0.313789E-06   0.146684E-05  -0.313789E-06   0.359030E-08
  1289   0.668505E+03  -0.196511E+02   0.147760E-05  -0.196511E+02   0.302345E+02  -0.314348E-06   0.147760E-05  -0.314348E-06   0.358538E-08
  1290   0.666967E+03  -0.204443E+02   0.148828E-05  -0.204443E+02   0.302857E+02  -0.314870E-06   0.148828E-05  -0.314870E-06   0.358046E-08
  1291   0.665501E+03  -0.212391E+02   0.149889E-05  -0.212391E+02   0.303333E+02  -0.315354E-06   0.149889E-05  -0.315354E-06   0.357556E-08
  1292   0.664100E+03  -0.220355E+02   0.150944E-05  -0.220355E+02   0.303752E+02  -0.315801E-06   0.150944E-05  -0.315801E-06   0.357067E-08
  1293   0.662765E+03  -0.228336E+02   0.151991E-05  -0.228336E+02   0.304151E+02  -0.316211E-06   0.151991E-05  -0.316211E-06   0.356579E-08
  1294   0.661510E+03  -0.236296E+02   0.153031E-05  -0.236296E+02   0.304499E+02  -0.316584E-06   0.153031E-05  -0.316584E-06   0.356091E-08
  1295   0.660313E+03  -0.244280E+02   0.154064E-05  -0.244280E+02   0.304805E+02  -0.316920E-06   0.154064E-05  -0.316920E-06   0.355605E-08
  1296   0.659181E+03  -0.252245E+02   0.155089E-05  -0.252245E+02   0.305076E+02  -0.317219E-06   0.155089E-05  -0.317219E-06   0.355120E-08
  1297   0.658122E+03  -0.260219E+02   0.156106E-05  -0.260219E+02   0.305304E+02  -0.317480E-06   0.156106E-05  -0.317480E-06   0.354635E-08
  1298   0.657129E+03  -0.268180E+02   0.157116E-05  -0.268180E+02   0.305489E+02  -0.317705E-06   0.157116E-05  -0.317705E-06   0.354152E-08
  1299   0.656195E+03  -0.276138E+02   0.158118E-05  -0.276138E+02   0.305631E+02  -0.317893E-06   0.158118E-05  -0.317893E-06   0.353670E-08
  1300   0.655341E+03  -0.284075E+02   0.159112E-05  -0.284075E+02   0.305723E+02  -0.318043E-06   0.159112E-05  -0.318043E-06   0.353188E-08
  1301   0.654552E+03  -0.291993E+02   0.160097E-05  -0.291993E+02   0.305788E+02  -0.318157E-06   0.160097E-05  -0.318157E-06   0.352708E-08
  1302   0.653823E+03  -0.299885E+02   0.161074E-05  -0.299885E+02   0.305802E+02  -0.318234E-06   0.161074E-05  -0.318234E-06   0.352228E-08
  1303   0.653159E+03  -0.307765E+02   0.162043E-05  -0.307765E+02   0.305773E+02  -0.318274E-06   0.162043E-05  -0.318274E-06   0.351750E-08
  1304   0.652562E+03  -0.315610E+02   0.163004E-05  -0.315610E+02   0.305709E+02  -0.318279E-06   0.163004E-05  -0.318279E-06   0.351272E-08
  1305   0.652031E+03  -0.323437E+02   0.163956E-05  -0.323437E+02   0.305595E+02  -0.318247E-06   0.163956E-05  -0.318247E-06   0.350796E-08
  1306   0.651551E+03  -0.331214E+02   0.164900E-05  -0.331214E+02   0.305452E+02  -0.318179E-06   0.164900E-05  -0.318179E-06   0.350320E-08
  1307   0.651153E+03  -0.338949E+02   0.165835E-05  -0.338949E+02   0.305259E+02  -0.318076E-06   0.165835E-05  -0.318076E-06   0.349846E-08
  1308   0.650813E+03  -0.346665E+02   0.166761E-05  -0.346665E+02   0.305022E+02  -0.317938E-06   0.166761E-05  -0.317938E-06   0.349372E-08
  1309   0.650525E+03  -0.354317E+02   0.167678E-05  -0.354317E+02   0.304735E+02  -0.317764E-06   0.167678E-05  -0.317764E-06   0.348899E-08
  1310   0.650312E+03  -0.361935E+02   0.168587E-05  -0.361935E+02   0.304420E+02  -0.317555E-06   0.168587E-05  -0.317555E-06   0.348427E-08
  1311   0.650150E+03  -0.369496E+02   0.169486E-05  -0.369496E+02   0.304062E+02  -0.317312E-06   0.169486E-05  -0.317312E-06   0.347956E-08
  1312   0.650078E+03  -0.377000E+02   0.170377E-05  -0.377000E+02   0.303667E+02  -0.317034E-06   0.170377E-05  -0.317034E-06   0.347486E-08
  1313   0.650042E+03  -0.384455E+02   0.171259E-05  -0.384455E+02   0.303222E+02  -0.316722E-06   0.171259E-05  -0.316722E-06   0.347017E-08
  1314   0.650074E+03  -0.391838E+02   0.172131E-05  -0.391838E+02   0.302741E+02  -0.316375E-06   0.172131E-05  -0.316375E-06   0.346549E-08
  1315   0.650158E+03  -0.399165E+02   0.172994E-05  -0.399165E+02   0.302224E+02  -0.315995E-06   0.172994E-05  -0.315995E-06   0.346082E-08
  1316   0.650309E+03  -0.406420E+02   0.173848E-05  -0.406420E+02   0.301656E+02  -0.315582E-06   0.173848E-05  -0.315582E-06   0.345616E-08
  1317   0.650520E+03  -0.413610E+02   0.174692E-05  -0.413610E+02   0.301067E+02  -0.315135E-06   0.174692E-05  -0.315135E-06   0.345151E-08
  1318   0.650776E+03  -0.420722E+02   0.175527E-05  -0.420722E+02   0.300419E+02  -0.314655E-06   0.175527E-05  -0.314655E-06   0.344686E-08
  1319   0.651093E+03  -0.427769E+02   0.176353E-05  -0.427769E+02   0.299735E+02  -0.314142E-06   0.176353E-05  -0.314142E-06   0.344223E-08
  1320   0.651461E+03  -0.434729E+02   0.177169E-05  -0.434729E+02   0.299015E+02  -0.313596E-06   0.177169E-05  -0.313596E-06   0.343760E-08
  1321   0.651883E+03  -0.441618E+02   0.177975E-05  -0.441618E+02   0.298266E+02  -0.313017E-06   0.177975E-05  -0.313017E-06   0.343298E-08
  1322   0.652365E+03  -0.448413E+02   0.178772E-05  -0.448413E+02   0.297458E+02  -0.312407E-06   0.178772E-05  -0.312407E-06   0.342838E-08
  1323   0.652900E+03  -0.455121E+02   0.179558E-05  -0.455121E+02   0.296621E+02  -0.311764E-06   0.179558E-05  -0.311764E-06   0.342378E-08
  1324   0.653488E+03  -0.461749E+02   0.180335E-05  -0.461749E+02   0.295748E+02  -0.311090E-06   0.180335E-05  -0.311090E-06   0.341919E-08
  1325   0.654121E+03  -0.468276E+02   0.181102E-05  -0.468276E+02   0.294839E+02  -0.310384E-06   0.181102E-05  -0.310384E-06   0.341461E-08
  1326   0.654816E+03  -0.474716E+02   0.181858E-05  -0.474716E+02   0.293892E+02  -0.309646E-06   0.181858E-05  -0.309646E-06   0.341004E-08
  1327   0.655541E+03  -0.481062E+02   0.182605E-05  -0.481062E+02   0.292917E+02  -0.308878E-06   0.182605E-05  -0.308878E-06   0.340548E-08
  1328   0.656334E+03  -0.487292E+02   0.183341E-05  -0.487292E+02   0.291905E+02  -0.308078E-06   0.183341E-05  -0.308078E-06   0.340092E-08
  1329   0.657167E+03  -0.493434E+02   0.184067E-05  -0.493434E+02   0.290849E+02  -0.307248E-06   0.184067E-05  -0.307248E-06   0.339638E-08
  1330   0.658045E+03  -0.499467E+02   0.184783E-05  -0.499467E+02   0.289756E+02  -0.306387E-06   0.184783E-05  -0.306387E-06   0.339184E-08
  1331   0.658977E+03  -0.505391E+02   0.185488E-05  -0.505391E+02   0.288634E+02  -0.305496E-06   0.185488E-05  -0.305496E-06   0.338732E-08
  1332   0.659940E+03  -0.511213E+02   0.186183E-05  -0.511213E+02   0.287474E+02  -0.304575E-06   0.186183E-05  -0.304575E-06   0.338280E-08
  1333   0.660958E+03  -0.516911E+02   0.186867E-05  -0.516911E+02   0.286278E+02  -0.303625E-06   0.186867E-05  -0.303625E-06   0.337829E-08
  1334   0.662014E+03  -0.522508E+02   0.187541E-05  -0.522508E+02   0.285060E+02  -0.302644E-06   0.187541E-05  -0.302644E-06   0.337379E-08
  1335   0.663109E+03  -0.527987E+02   0.188204E-05  -0.527987E+02   0.283798E+02  -0.301634E-06   0.188204E-05  -0.301634E-06   0.336930E-08
  1336   0.664252E+03  -0.533335E+02   0.188856E-05  -0.533335E+02   0.282513E+02  -0.300595E-06   0.188856E-05  -0.300595E-06   0.336482E-08
  1337   0.665433E+03  -0.538573E+02   0.189497E-05  -0.538573E+02   0.281184E+02  -0.299528E-06   0.189497E-05  -0.299528E-06   0.336034E-08
  1338   0.666647E+03  -0.543687E+02   0.190127E-05  -0.543687E+02   0.279832E+02  -0.298431E-06   0.190127E-05  -0.298431E-06   0.335588E-08
  1339   0.667907E+03  -0.548684E+02   0.190746E-05  -0.548684E+02   0.278443E+02  -0.297306E-06   0.190746E-05  -0.297306E-06   0.335142E-08
  1340   0.669200E+03  -0.553565E+02   0.191354E-05  -0.553565E+02   0.277032E+02  -0.296152E-06   0.191354E-05  -0.296152E-06   0.334698E-08
  1341   0.670525E+03  -0.558306E+02   0.191951E-05  -0.558306E+02   0.275599E+02  -0.294971E-06   0.191951E-05  -0.294971E-06   0.334254E-08
  1342   0.671882E+03  -0.562922E+02   0.192537E-05  -0.562922E+02   0.274128E+02  -0.293762E-06   0.192537E-05  -0.293762E-06   0.333811E-08
  1343   0.673279E+03  -0.567407E+02   0.193111E-05  -0.567407E+02   0.272627E+02  -0.292525E-06   0.193111E-05  -0.292525E-06   0.333368E-08
  1344   0.674708E+03  -0.571760E+02   0.193674E-05  -0.571760E+02   0.271096E+02  -0.291261E-06   0.193674E-05  -0.291261E-06   0.332927E-08
  1345   0.676156E+03  -0.575973E+02   0.194225E-05  -0.575973E+02   0.269550E+02  -0.289969E-06   0.194225E-05  -0.289969E-06   0.332486E-08
  1346   0.677643E+03  -0.580070E+02   0.194765E-05  -0.580070E+02   0.267967E+02  -0.288651E-06   0.194765E-05  -0.288651E-06   0.332047E-08
  1347   0.679163E+03  -0.584020E+02   0.195293E-05  -0.584020E+02   0.266360E+02  -0.287306E-06   0.195293E-05  -0.287306E-06   0.331608E-08
  1348   0.680702E+03  -0.587830E+02   0.195810E-05  -0.587830E+02   0.264731E+02  -0.285935E-06   0.195810E-05  -0.285935E-06   0.331170E-08
  1349   0.682280E+03  -0.591501E+02   0.196314E-05  -0.591501E+02   0.263064E+02  -0.284537E-06   0.196314E-05  -0.284537E-06   0.330733E-08
  1350   0.683870E+03  -0.595032E+02   0.196807E-05  -0.595032E+02   0.261390E+02  -0.283113E-06   0.196807E-05  -0.283113E-06   0.330297E-08
  1351   0.685492E+03  -0.598424E+02   0.197288E-05  -0.598424E+02   0.259685E+02  -0.281663E-06   0.197288E-05  -0.281663E-06   0.329861E-08
  1352   0.687125E+03  -0.601669E+02   0.197757E-05  -0.601669E+02   0.257956E+02  -0.280188E-06   0.197757E-05  -0.280188E-06   0.329426E-08
  1353   0.688792E+03  -0.604773E+02   0.198214E-05  -0.604773E+02   0.256220E+02  -0.278688E-06   0.198214E-05  -0.278688E-06   0.328993E-08
  1354   0.690469E+03  -0.607738E+02   0.198659E-05  -0.607738E+02   0.254454E+02  -0.277163E-06   0.198659E-05  -0.277163E-06   0.328560E-08
  1355   0.692180E+03  -0.610555E+02   0.199093E-05  -0.610555E+02   0.252664E+02  -0.275613E-06   0.199093E-05  -0.275613E-06   0.328127E-08
  1356   0.693909E+03  -0.613239E+02   0.199514E-05  -0.613239E+02   0.250866E+02  -0.274039E-06   0.199514E-05  -0.274039E-06   0.327696E-08
  1357   0.695649E+03  -0.615760E+02   0.199924E-05  -0.615760E+02   0.249038E+02  -0.272441E-06   0.199924E-05  -0.272441E-06   0.327266E-08
  1358   0.697392E+03  -0.618119E+02   0.200322E-05  -0.618119E+02   0.247193E+02  -0.270819E-06   0.200322E-05  -0.270819E-06   0.326836E-08
  1359   0.699154E+03  -0.620350E+02   0.200708E-05  -0.620350E+02   0.245333E+02  -0.269174E-06   0.200708E-05  -0.269174E-06   0.326407E-08
  1360   0.700912E+03  -0.622419E+02   0.201082E-05  -0.622419E+02   0.243473E+02  -0.267506E-06   0.201082E-05  -0.267506E-06   0.325979E-08
  1361   0.702703E+03  -0.624346E+02   0.201444E-05  -0.624346E+02   0.241574E+02  -0.265816E-06   0.201444E-05  -0.265816E-06   0.325552E-08
  1362   0.704483E+03  -0.626109E+02   0.201795E-05  -0.626109E+02   0.239666E+02  -0.264103E-06   0.201795E-05  -0.264103E-06   0.325125E-08
  1363   0.706282E+03  -0.627746E+02   0.202134E-05  -0.627746E+02   0.237743E+02  -0.262368E-06   0.202134E-05  -0.262368E-06   0.324700E-08
  1364   0.708062E+03  -0.629211E+02   0.202461E-05  -0.629211E+02   0.235811E+02  -0.260611E-06   0.202461E-05  -0.260611E-06   0.324275E-08
  1365   0.709934E+03  -0.630519E+02   0.202776E-05  -0.630519E+02   0.233864E+02  -0.258833E-06   0.202776E-05  -0.258833E-06   0.323851E-08
  1366   0.711736E+03  -0.631692E+02   0.203080E-05  -0.631692E+02   0.231900E+02  -0.257034E-06   0.203080E-05  -0.257034E-06   0.323427E-08
  1367   0.713541E+03  -0.632707E+02   0.203372E-05  -0.632707E+02   0.229920E+02  -0.255213E-06   0.203372E-05  -0.255213E-06   0.323005E-08
  1368   0.715425E+03  -0.633565E+02   0.203652E-05  -0.633565E+02   0.227947E+02  -0.253373E-06   0.203652E-05  -0.253373E-06   0.322583E-08
  1369   0.717238E+03  -0.634266E+02   0.203921E-05  -0.634266E+02   0.225950E+02  -0.251512E-06   0.203921E-05  -0.251512E-06   0.322162E-08
  1370   0.719054E+03  -0.634823E+02   0.204178E-05  -0.634823E+02   0.223952E+02  -0.249631E-06   0.204178E-05  -0.249631E-06   0.321742E-08
  1371   0.720875E+03  -0.635223E+02   0.204423E-05  -0.635223E+02   0.221945E+02  -0.247731E-06   0.204423E-05  -0.247731E-06   0.321323E-08
  1372   0.722699E+03  -0.635471E+02   0.204657E-05  -0.635471E+02   0.219929E+02  -0.245812E-06   0.204657E-05  -0.245812E-06   0.320905E-08
  1373   0.724526E+03  -0.635569E+02   0.204879E-05  -0.635569E+02   0.217912E+02  -0.243873E-06   0.204879E-05  -0.243873E-06   0.320487E-08
  1374   0.726358E+03  -0.635508E+02   0.205089E-05  -0.635508E+02   0.215887E+02  -0.241916E-06   0.205089E-05  -0.241916E-06   0.320070E-08
  1375   0.728193E+03  -0.635303E+02   0.205288E-05  -0.635303E+02   0.213852E+02  -0.239941E-06   0.205288E-05  -0.239941E-06   0.319654E-08
  1376   0.730032E+03  -0.634939E+02   0.205475E-05  -0.634939E+02   0.211816E+02  -0.237948E-06   0.205475E-05  -0.237948E-06   0.319238E-08
  1377   0.731875E+03  -0.634430E+02   0.205651E-05  -0.634430E+02   0.209786E+02  -0.235937E-06   0.205651E-05  -0.235937E-06   0.318824E-08
  1378   0.733722E+03  -0.633770E+02   0.205815E-05  -0.633770E+02   0.207732E+02  -0.233909E-06   0.205815E-05  -0.233909E-06   0.318410E-08
  1379   0.735498E+03  -0.632958E+02   0.205968E-05  -0.632958E+02   0.205699E+02  -0.231864E-06   0.205968E-05  -0.231864E-06   0.317997E-08
  1380   0.737278E+03  -0.632001E+02   0.206109E-05  -0.632001E+02   0.203642E+02  -0.229802E-06   0.206109E-05  -0.229802E-06   0.317585E-08
  1381   0.739062E+03  -0.630883E+02   0.206238E-05  -0.630883E+02   0.201598E+02  -0.227723E-06   0.206238E-05  -0.227723E-06   0.317173E-08
  1382   0.740701E+03  -0.629614E+02   0.206357E-05  -0.629614E+02   0.199553E+02  -0.225629E-06   0.206357E-05  -0.225629E-06   0.316762E-08
  1383   0.742493E+03  -0.628206E+02   0.206463E-05  -0.628206E+02   0.197506E+02  -0.223518E-06   0.206463E-05  -0.223518E-06   0.316352E-08
  1384   0.744140E+03  -0.626645E+02   0.206558E-05  -0.626645E+02   0.195465E+02  -0.221392E-06   0.206558E-05  -0.221392E-06   0.315943E-08
  1385   0.745791E+03  -0.624938E+02   0.206642E-05  -0.624938E+02   0.193422E+02  -0.219252E-06   0.206642E-05  -0.219252E-06   0.315535E-08
  1386   0.747446E+03  -0.623085E+02   0.206714E-05  -0.623085E+02   0.191384E+02  -0.217096E-06   0.206714E-05  -0.217096E-06   0.315127E-08
  1387   0.749030E+03  -0.621087E+02   0.206775E-05  -0.621087E+02   0.189352E+02  -0.214925E-06   0.206775E-05  -0.214925E-06   0.314720E-08
  1388   0.750767E+03  -0.618949E+02   0.206825E-05  -0.618949E+02   0.187319E+02  -0.212741E-06   0.206825E-05  -0.212741E-06   0.314314E-08
  1389   0.752360E+03  -0.616657E+02   0.206863E-05  -0.616657E+02   0.185291E+02  -0.210542E-06   0.206863E-05  -0.210542E-06   0.313908E-08
  1390   0.753882E+03  -0.614241E+02   0.206890E-05  -0.614241E+02   0.183276E+02  -0.208330E-06   0.206890E-05  -0.208330E-06   0.313503E-08
  1391   0.755482E+03  -0.611678E+02   0.206905E-05  -0.611678E+02   0.181266E+02  -0.206105E-06   0.206905E-05  -0.206105E-06   0.313099E-08
  1392   0.757012E+03  -0.608975E+02   0.206909E-05  -0.608975E+02   0.179262E+02  -0.203867E-06   0.206909E-05  -0.203867E-06   0.312696E-08
  1393   0.758547E+03  -0.606132E+02   0.206902E-05  -0.606132E+02   0.177271E+02  -0.201616E-06   0.206902E-05  -0.201616E-06   0.312294E-08
  1394   0.760011E+03  -0.603164E+02   0.206883E-05  -0.603164E+02   0.175285E+02  -0.199353E-06   0.206883E-05  -0.199353E-06   0.311892E-08
  1395   0.761479E+03  -0.600049E+02   0.206853E-05  -0.600049E+02   0.173305E+02  -0.197077E-06   0.206853E-05  -0.197077E-06   0.311491E-08
  1396   0.762951E+03  -0.596815E+02   0.206812E-05  -0.596815E+02   0.171345E+02  -0.194790E-06   0.206812E-05  -0.194790E-06   0.311090E-08
  1397   0.764353E+03  -0.593441E+02   0.206759E-05  -0.593441E+02   0.169390E+02  -0.192492E-06   0.206759E-05  -0.192492E-06   0.310691E-08
  1398   0.765685E+03  -0.589933E+02   0.206696E-05  -0.589933E+02   0.167440E+02  -0.190183E-06   0.206696E-05  -0.190183E-06   0.310292E-08
  1399   0.767021E+03  -0.586300E+02   0.206621E-05  -0.586300E+02   0.165518E+02  -0.187862E-06   0.206621E-05  -0.187862E-06   0.309894E-08
  1400   0.768361E+03  -0.582540E+02   0.206534E-05  -0.582540E+02   0.163601E+02  -0.185532E-06   0.206534E-05  -0.185532E-06   0.309497E-08
  1401   0.769630E+03  -0.578653E+02   0.206437E-05  -0.578653E+02   0.161690E+02  -0.183191E-06   0.206437E-05  -0.183191E-06   0.309100E-08
  1402   0.770904E+03  -0.574648E+02   0.206328E-05  -0.574648E+02   0.159805E+02  -0.180840E-06   0.206328E-05  -0.180840E-06   0.308704E-08
  1403   0.772108E+03  -0.570515E+02   0.206209E-05  -0.570515E+02   0.157934E+02  -0.178480E-06   0.206209E-05  -0.178480E-06   0.308309E-08
  1404   0.773242E+03  -0.566263E+02   0.206078E-05  -0.566263E+02   0.156082E+02  -0.176111E-06   0.206078E-05  -0.176111E-06   0.307914E-08
  1405   0.774453E+03  -0.561892E+02   0.205936E-05  -0.561892E+02   0.154236E+02  -0.173732E-06   0.205936E-05  -0.173732E-06   0.307520E-08
  1406   0.775520E+03  -0.557415E+02   0.205783E-05  -0.557415E+02   0.152417E+02  -0.171345E-06   0.205783E-05  -0.171345E-06   0.307127E-08
  1407   0.776517E+03  -0.552818E+02   0.205620E-05  -0.552818E+02   0.150611E+02  -0.168949E-06   0.205620E-05  -0.168949E-06   0.306735E-08
  1408   0.777666E+03  -0.548109E+02   0.205445E-05  -0.548109E+02   0.148818E+02  -0.166545E-06   0.205445E-05  -0.166545E-06   0.306343E-08
  1409   0.778595E+03  -0.543287E+02   0.205260E-05  -0.543287E+02   0.147052E+02  -0.164133E-06   0.205260E-05  -0.164133E-06   0.305952E-08
  1410   0.779603E+03  -0.538366E+02   0.205064E-05  -0.538366E+02   0.145299E+02  -0.161713E-06   0.205064E-05  -0.161713E-06   0.305562E-08
  1411   0.780540E+03  -0.533332E+02   0.204858E-05  -0.533332E+02   0.143566E+02  -0.159286E-06   0.204858E-05  -0.159286E-06   0.305172E-08
  1412   0.781406E+03  -0.528193E+02   0.204641E-05  -0.528193E+02   0.141861E+02  -0.156852E-06   0.204641E-05  -0.156852E-06   0.304783E-08
  1413   0.782127E+03  -0.522954E+02   0.204413E-05  -0.522954E+02   0.140176E+02  -0.154411E-06   0.204413E-05  -0.154411E-06   0.304395E-08
  1414   0.782926E+03  -0.517610E+02   0.204175E-05  -0.517610E+02   0.138511E+02  -0.151963E-06   0.204175E-05  -0.151963E-06   0.304008E-08
  1415   0.783654E+03  -0.512174E+02   0.203927E-05  -0.512174E+02   0.136867E+02  -0.149509E-06   0.203927E-05  -0.149509E-06   0.303621E-08
  1416   0.784385E+03  -0.506646E+02   0.203668E-05  -0.506646E+02   0.135250E+02  -0.147049E-06   0.203668E-05  -0.147049E-06   0.303235E-08
  1417   0.784971E+03  -0.501033E+02   0.203398E-05  -0.501033E+02   0.133645E+02  -0.144584E-06   0.203398E-05  -0.144584E-06   0.302849E-08
  1418   0.785560E+03  -0.495314E+02   0.203119E-05  -0.495314E+02   0.132069E+02  -0.142113E-06   0.203119E-05  -0.142113E-06   0.302465E-08
  1419   0.786078E+03  -0.489518E+02   0.202829E-05  -0.489518E+02   0.130520E+02  -0.139636E-06   0.202829E-05  -0.139636E-06   0.302081E-08
  1420   0.786600E+03  -0.483636E+02   0.202530E-05  -0.483636E+02   0.128999E+02  -0.137155E-06   0.202530E-05  -0.137155E-06   0.301697E-08
  1421   0.787049E+03  -0.477670E+02   0.202220E-05  -0.477670E+02   0.127498E+02  -0.134669E-06   0.202220E-05  -0.134669E-06   0.301315E-08
  1422   0.787502E+03  -0.471625E+02   0.201900E-05  -0.471625E+02   0.126025E+02  -0.132179E-06   0.201900E-05  -0.132179E-06   0.300933E-08
  1423   0.787810E+03  -0.465503E+02   0.201570E-05  -0.465503E+02   0.124580E+02  -0.129685E-06   0.201570E-05  -0.129685E-06   0.300552E-08
  1424   0.788194E+03  -0.459302E+02   0.201231E-05  -0.459302E+02   0.123162E+02  -0.127186E-06   0.201231E-05  -0.127186E-06   0.300171E-08
  1425   0.788433E+03  -0.453031E+02   0.200881E-05  -0.453031E+02   0.121772E+02  -0.124685E-06   0.200881E-05  -0.124685E-06   0.299791E-08
  1426   0.788600E+03  -0.446689E+02   0.200522E-05  -0.446689E+02   0.120410E+02  -0.122180E-06   0.200522E-05  -0.122180E-06   0.299412E-08
  1427   0.788844E+03  -0.440275E+02   0.200153E-05  -0.440275E+02   0.119076E+02  -0.119672E-06   0.200153E-05  -0.119672E-06   0.299033E-08
  1428   0.788943E+03  -0.433805E+02   0.199774E-05  -0.433805E+02   0.117762E+02  -0.117161E-06   0.199774E-05  -0.117161E-06   0.298655E-08
  1429   0.788969E+03  -0.427256E+02   0.199386E-05  -0.427256E+02   0.116491E+02  -0.114648E-06   0.199386E-05  -0.114648E-06   0.298278E-08
  1430   0.788998E+03  -0.420665E+02   0.198988E-05  -0.420665E+02   0.115240E+02  -0.112133E-06   0.198988E-05  -0.112133E-06   0.297901E-08
  1431   0.788956E+03  -0.414002E+02   0.198581E-05  -0.414002E+02   0.114017E+02  -0.109616E-06   0.198581E-05  -0.109616E-06   0.297526E-08
  1432   0.788841E+03  -0.407290E+02   0.198164E-05  -0.407290E+02   0.112829E+02  -0.107097E-06   0.198164E-05  -0.107097E-06   0.297150E-08
  1433   0.788803E+03  -0.400520E+02   0.197738E-05  -0.400520E+02   0.111670E+02  -0.104577E-06   0.197738E-05  -0.104577E-06   0.296776E-08
  1434   0.788619E+03  -0.393700E+02   0.197303E-05  -0.393700E+02   0.110545E+02  -0.102056E-06   0.197303E-05  -0.102056E-06   0.296402E-08
  1435   0.788363E+03  -0.386838E+02   0.196858E-05  -0.386838E+02   0.109441E+02  -0.995338E-07   0.196858E-05  -0.995338E-07   0.296029E-08
  1436   0.788110E+03  -0.379940E+02   0.196404E-05  -0.379940E+02   0.108372E+02  -0.970113E-07   0.196404E-05  -0.970113E-07   0.295656E-08
  1437   0.787709E+03  -0.372984E+02   0.195941E-05  -0.372984E+02   0.107339E+02  -0.944886E-07   0.195941E-05  -0.944886E-07   0.295284E-08
  1438   0.787311E+03  -0.366007E+02   0.195469E-05  -0.366007E+02   0.106326E+02  -0.919659E-07   0.195469E-05  -0.919659E-07   0.294913E-08
  1439   0.786841E+03  -0.358972E+02   0.194987E-05  -0.358972E+02   0.105356E+02  -0.894435E-07   0.194987E-05  -0.894435E-07   0.294542E-08
  1440   0.786373E+03  -0.351916E+02   0.194497E-05  -0.351916E+02   0.104414E+02  -0.869216E-07   0.194497E-05  -0.869216E-07   0.294172E-08
  1441   0.785832E+03  -0.344838E+02   0.193998E-05  -0.344838E+02   0.103500E+02  -0.844007E-07   0.193998E-05  -0.844007E-07   0.293803E-08
  1442   0.785219E+03  -0.337724E+02   0.193490E-05  -0.337724E+02   0.102621E+02  -0.818808E-07   0.193490E-05  -0.818808E-07   0.293434E-08
  1443   0.784534E+03  -0.330574E+02   0.192973E-05  -0.330574E+02   0.101786E+02  -0.793624E-07   0.192973E-05  -0.793624E-07   0.293066E-08
  1444   0.783850E+03  -0.323409E+02   0.192448E-05  -0.323409E+02   0.100970E+02  -0.768457E-07   0.192448E-05  -0.768457E-07   0.292699E-08
  1445   0.783019E+03  -0.316229E+02   0.191914E-05  -0.316229E+02   0.100198E+02  -0.743309E-07   0.191914E-05  -0.743309E-07   0.292332E-08
  1446   0.782265E+03  -0.309019E+02   0.191371E-05  -0.309019E+02   0.994461E+01  -0.718183E-07   0.191371E-05  -0.718183E-07   0.291966E-08
  1447   0.781289E+03  -0.301780E+02   0.190819E-05  -0.301780E+02   0.987372E+01  -0.693082E-07   0.190819E-05  -0.693082E-07   0.291601E-08
  1448   0.780389E+03  -0.294556E+02   0.190259E-05  -0.294556E+02   0.980638E+01  -0.668010E-07   0.190259E-05  -0.668010E-07   0.291236E-08
  1449   0.779416E+03  -0.287309E+02   0.189691E-05  -0.287309E+02   0.974111E+01  -0.642967E-07   0.189691E-05  -0.642967E-07   0.290872E-08
  1450   0.778371E+03  -0.280053E+02   0.189114E-05  -0.280053E+02   0.968013E+01  -0.617958E-07   0.189114E-05  -0.617958E-07   0.290508E-08
  1451   0.777326E+03  -0.272805E+02   0.188529E-05  -0.272805E+02   0.962270E+01  -0.592985E-07   0.188529E-05  -0.592985E-07   0.290145E-08
  1452   0.776135E+03  -0.265563E+02   0.187935E-05  -0.265563E+02   0.956809E+01  -0.568051E-07   0.187935E-05  -0.568051E-07   0.289783E-08
  1453   0.774945E+03  -0.258306E+02   0.187334E-05  -0.258306E+02   0.951704E+01  -0.543157E-07   0.187334E-05  -0.543157E-07   0.289421E-08
  1454   0.773756E+03  -0.251048E+02   0.186724E-05  -0.251048E+02   0.946955E+01  -0.518306E-07   0.186724E-05  -0.518306E-07   0.289060E-08
  1455   0.772494E+03  -0.243804E+02   0.186107E-05  -0.243804E+02   0.942489E+01  -0.493501E-07   0.186107E-05  -0.493501E-07   0.288700E-08
  1456   0.771158E+03  -0.236582E+02   0.185481E-05  -0.236582E+02   0.938454E+01  -0.468744E-07   0.185481E-05  -0.468744E-07   0.288340E-08
  1457   0.769675E+03  -0.229359E+02   0.184848E-05  -0.229359E+02   0.934629E+01  -0.444038E-07   0.184848E-05  -0.444038E-07   0.287981E-08
  1458   0.768267E+03  -0.222151E+02   0.184207E-05  -0.222151E+02   0.931236E+01  -0.419384E-07   0.184207E-05  -0.419384E-07   0.287622E-08
  1459   0.766786E+03  -0.214949E+02   0.183559E-05  -0.214949E+02   0.928127E+01  -0.394785E-07   0.183559E-05  -0.394785E-07   0.287264E-08
  1460   0.765231E+03  -0.207776E+02   0.182903E-05  -0.207776E+02   0.925452E+01  -0.370244E-07   0.182903E-05  -0.370244E-07   0.286907E-08
