#    L    TT             EE             BB             TE          
    91   0.238466E+04   0.614428E+00   0.836699E-02  -0.171775E+02
    92   0.241327E+04   0.629126E+00   0.840657E-02  -0.177868E+02
    93   0.244216E+04   0.643795E+00   0.844397E-02  -0.184006E+02
    94   0.247111E+04   0.658397E+00   0.847924E-02  -0.190175E+02
    95   0.250035E+04   0.672934E+00   0.851246E-02  -0.196383E+02
    96   0.252959E+04   0.687391E+00   0.854368E-02  -0.202622E+02
    97   0.255927E+04   0.701755E+00   0.857296E-02  -0.208885E+02
    98   0.258916E+04   0.716018E+00   0.860038E-02  -0.215151E+02
    99   0.261912E+04   0.730145E+00   0.862598E-02  -0.221450E+02
   100   0.264938E+04   0.744135E+00   0.864984E-02  -0.227737E+02
   101   0.267978E+04   0.758050E+00   0.867202E-02  -0.234043E+02
   102   0.271070E+04   0.771741E+00   0.869257E-02  -0.240345E+02
   103   0.274154E+04   0.785284E+00   0.871157E-02  -0.246652E+02
   104   0.277261E+04   0.798679E+00   0.872907E-02  -0.252934E+02
   105   0.280382E+04   0.811853E+00   0.874513E-02  -0.259206E+02
   106   0.283526E+04   0.824881E+00   0.875983E-02  -0.265462E+02
   107   0.286663E+04   0.837616E+00   0.877321E-02  -0.271687E+02
   108   0.289837E+04   0.850131E+00   0.878535E-02  -0.277888E+02
   109   0.293026E+04   0.862354E+00   0.879631E-02  -0.284052E+02
   110   0.296223E+04   0.874286E+00   0.880615E-02  -0.290163E+02
   111   0.299436E+04   0.886002E+00   0.881493E-02  -0.296238E+02
   112   0.302664E+04   0.897427E+00   0.882273E-02  -0.302267E+02
   113   0.305914E+04   0.908562E+00   0.882964E-02  -0.308238E+02
   114   0.309172E+04   0.919334E+00   0.883572E-02  -0.314141E+02
   115   0.312452E+04   0.929892E+00   0.884107E-02  -0.319977E+02
   116   0.315733E+04   0.940012E+00   0.884576E-02  -0.325738E+02
   117   0.319043E+04   0.949770E+00   0.884987E-02  -0.331417E+02
   118   0.322367E+04   0.959314E+00   0.885348E-02  -0.337021E+02
   119   0.325691E+04   0.968498E+00   0.885668E-02  -0.342528E+02
   120   0.329030E+04   0.977171E+00   0.885953E-02  -0.347936E+02
   121   0.332368E+04   0.985633E+00   0.886213E-02  -0.353247E+02
   122   0.335713E+04   0.993586E+00   0.886455E-02  -0.358453E+02
   123   0.339064E+04   0.100111E+01   0.886688E-02  -0.363554E+02
   124   0.342422E+04   0.100827E+01   0.886919E-02  -0.368519E+02
   125   0.345779E+04   0.101499E+01   0.887158E-02  -0.373371E+02
   126   0.349143E+04   0.102136E+01   0.887410E-02  -0.378102E+02
   127   0.352505E+04   0.102722E+01   0.887686E-02  -0.382706E+02
   128   0.355866E+04   0.103273E+01   0.887993E-02  -0.387173E+02
   129   0.359232E+04   0.103773E+01   0.888340E-02  -0.391497E+02
   130   0.362598E+04   0.104222E+01   0.888734E-02  -0.395671E+02
   131   0.365961E+04   0.104636E+01   0.889183E-02  -0.399708E+02
   132   0.369331E+04   0.105000E+01   0.889695E-02  -0.403580E+02
   133   0.372691E+04   0.105320E+01   0.890274E-02  -0.407309E+02
   134   0.376051E+04   0.105598E+01   0.890928E-02  -0.410852E+02
   135   0.379409E+04   0.105825E+01   0.891662E-02  -0.414237E+02
   136   0.382751E+04   0.106002E+01   0.892482E-02  -0.417429E+02
   137   0.386093E+04   0.106137E+01   0.893396E-02  -0.420451E+02
   138   0.389425E+04   0.106221E+01   0.894408E-02  -0.423287E+02
   139   0.392735E+04   0.106271E+01   0.895525E-02  -0.425931E+02
   140   0.396052E+04   0.106262E+01   0.896753E-02  -0.428390E+02
   141   0.399346E+04   0.106204E+01   0.898099E-02  -0.430644E+02
   142   0.402639E+04   0.106104E+01   0.899568E-02  -0.432699E+02
   143   0.405925E+04   0.105961E+01   0.901167E-02  -0.434556E+02
   144   0.409189E+04   0.105768E+01   0.902902E-02  -0.436208E+02
   145   0.412437E+04   0.105541E+01   0.904779E-02  -0.437648E+02
   146   0.415693E+04   0.105256E+01   0.906804E-02  -0.438876E+02
   147   0.418911E+04   0.104937E+01   0.908984E-02  -0.439879E+02
   148   0.422116E+04   0.104568E+01   0.911323E-02  -0.440670E+02
   149   0.425313E+04   0.104157E+01   0.913829E-02  -0.441237E+02
   150   0.428481E+04   0.103711E+01   0.916508E-02  -0.441557E+02
   151   0.431634E+04   0.103224E+01   0.919365E-02  -0.441659E+02
   152   0.434759E+04   0.102687E+01   0.922402E-02  -0.441530E+02
   153   0.437869E+04   0.102116E+01   0.925622E-02  -0.441147E+02
   154   0.440957E+04   0.101509E+01   0.929028E-02  -0.440532E+02
   155   0.444023E+04   0.100869E+01   0.932621E-02  -0.439678E+02
   156   0.447052E+04   0.100194E+01   0.936404E-02  -0.438584E+02
   157   0.450074E+04   0.994836E+00   0.940379E-02  -0.437236E+02
   158   0.453066E+04   0.987465E+00   0.944547E-02  -0.435642E+02
   159   0.456028E+04   0.979673E+00   0.948912E-02  -0.433801E+02
   160   0.458968E+04   0.971609E+00   0.953474E-02  -0.431698E+02
   161   0.461885E+04   0.963346E+00   0.958237E-02  -0.429348E+02
   162   0.464773E+04   0.954736E+00   0.963202E-02  -0.426752E+02
   163   0.467645E+04   0.945853E+00   0.968370E-02  -0.423893E+02
   164   0.470472E+04   0.936772E+00   0.973744E-02  -0.420788E+02
   165   0.473284E+04   0.927417E+00   0.979325E-02  -0.417414E+02
   166   0.476065E+04   0.917937E+00   0.985116E-02  -0.413785E+02
   167   0.478823E+04   0.908109E+00   0.991117E-02  -0.409909E+02
   168   0.481536E+04   0.898304E+00   0.997332E-02  -0.405764E+02
   169   0.484219E+04   0.888225E+00   0.100376E-01  -0.401350E+02
   170   0.486871E+04   0.878095E+00   0.101040E-01  -0.396681E+02
   171   0.489477E+04   0.867913E+00   0.101727E-01  -0.391736E+02
   172   0.492045E+04   0.857605E+00   0.102435E-01  -0.386528E+02
   173   0.494567E+04   0.847171E+00   0.103165E-01  -0.381059E+02
   174   0.497058E+04   0.836907E+00   0.103917E-01  -0.375327E+02
   175   0.499511E+04   0.826517E+00   0.104691E-01  -0.369327E+02
   176   0.501910E+04   0.816222E+00   0.105488E-01  -0.363056E+02
   177   0.504271E+04   0.805948E+00   0.106307E-01  -0.356532E+02
   178   0.506587E+04   0.795917E+00   0.107148E-01  -0.349738E+02
   179   0.508856E+04   0.785831E+00   0.108011E-01  -0.342674E+02
   180   0.511095E+04   0.775912E+00   0.108895E-01  -0.335357E+02
   181   0.513280E+04   0.766160E+00   0.109799E-01  -0.327785E+02
   182   0.515420E+04   0.756647E+00   0.110725E-01  -0.319944E+02
   183   0.517508E+04   0.747299E+00   0.111670E-01  -0.311848E+02
   184   0.519557E+04   0.738190E+00   0.112636E-01  -0.303491E+02
   185   0.521562E+04   0.729466E+00   0.113622E-01  -0.294895E+02
   186   0.523484E+04   0.720987E+00   0.114627E-01  -0.286030E+02
   187   0.525391E+04   0.712892E+00   0.115651E-01  -0.276911E+02
   188   0.527245E+04   0.705166E+00   0.116694E-01  -0.267553E+02
   189   0.529040E+04   0.697845E+00   0.117755E-01  -0.257941E+02
   190   0.530819E+04   0.690980E+00   0.118835E-01  -0.248097E+02
   191   0.532509E+04   0.684593E+00   0.119932E-01  -0.237992E+02
   192   0.534163E+04   0.678705E+00   0.121047E-01  -0.227648E+02
   193   0.535756E+04   0.673360E+00   0.122179E-01  -0.217081E+02
   194   0.537313E+04   0.668587E+00   0.123328E-01  -0.206266E+02
   195   0.538811E+04   0.664422E+00   0.124493E-01  -0.195228E+02
   196   0.540249E+04   0.660901E+00   0.125675E-01  -0.183959E+02
   197   0.541644E+04   0.658068E+00   0.126873E-01  -0.172474E+02
   198   0.542986E+04   0.655944E+00   0.128086E-01  -0.160764E+02
   199   0.544278E+04   0.654566E+00   0.129314E-01  -0.148838E+02
   200   0.545518E+04   0.653962E+00   0.130557E-01  -0.136704E+02
   201   0.546699E+04   0.654191E+00   0.131815E-01  -0.124353E+02
   202   0.547829E+04   0.655259E+00   0.133087E-01  -0.111801E+02
   203   0.548901E+04   0.657225E+00   0.134373E-01  -0.990399E+01
   204   0.549906E+04   0.660109E+00   0.135672E-01  -0.860994E+01
   205   0.550860E+04   0.663955E+00   0.136985E-01  -0.729572E+01
   206   0.551748E+04   0.668799E+00   0.138310E-01  -0.596258E+01
   207   0.552584E+04   0.674662E+00   0.139648E-01  -0.461096E+01
   208   0.553347E+04   0.681595E+00   0.140998E-01  -0.324137E+01
   209   0.554051E+04   0.689620E+00   0.142360E-01  -0.185417E+01
   210   0.554697E+04   0.698785E+00   0.143734E-01  -0.450248E+00
   211   0.555283E+04   0.709122E+00   0.145118E-01   0.970355E+00
   212   0.555796E+04   0.720656E+00   0.146513E-01   0.240671E+01
   213   0.556258E+04   0.733433E+00   0.147919E-01   0.385887E+01
   214   0.556654E+04   0.747444E+00   0.149335E-01   0.532564E+01
   215   0.556990E+04   0.762880E+00   0.150760E-01   0.680629E+01
   216   0.557261E+04   0.779554E+00   0.152194E-01   0.830136E+01
   217   0.557480E+04   0.797621E+00   0.153638E-01   0.980884E+01
   218   0.557633E+04   0.817080E+00   0.155090E-01   0.113290E+02
   219   0.557727E+04   0.837930E+00   0.156550E-01   0.128627E+02
   220   0.557762E+04   0.860317E+00   0.158018E-01   0.144056E+02
   221   0.557738E+04   0.884167E+00   0.159494E-01   0.159600E+02
   222   0.557656E+04   0.909626E+00   0.160976E-01   0.175243E+02
   223   0.557500E+04   0.936619E+00   0.162466E-01   0.190993E+02
   224   0.557300E+04   0.965144E+00   0.163961E-01   0.206813E+02
   225   0.557033E+04   0.995349E+00   0.165462E-01   0.222732E+02
   226   0.556708E+04   0.102723E+01   0.166969E-01   0.238715E+02
   227   0.556316E+04   0.106079E+01   0.168481E-01   0.254775E+02
   228   0.555873E+04   0.109603E+01   0.169998E-01   0.270898E+02
   229   0.555371E+04   0.113302E+01   0.171518E-01   0.287070E+02
   230   0.554803E+04   0.117175E+01   0.173043E-01   0.303297E+02
   231   0.554168E+04   0.121230E+01   0.174571E-01   0.319573E+02
   232   0.553482E+04   0.125460E+01   0.176102E-01   0.335882E+02
   233   0.552737E+04   0.129886E+01   0.177636E-01   0.352211E+02
   234   0.551918E+04   0.134494E+01   0.179172E-01   0.368566E+02
   235   0.551047E+04   0.139291E+01   0.180709E-01   0.384934E+02
   236   0.550111E+04   0.144276E+01   0.182248E-01   0.401313E+02
   237   0.549115E+04   0.149458E+01   0.183788E-01   0.417689E+02
   238   0.548060E+04   0.154843E+01   0.185328E-01   0.434063E+02
   239   0.546954E+04   0.160416E+01   0.186869E-01   0.450428E+02
   240   0.545774E+04   0.166185E+01   0.188408E-01   0.466760E+02
   241   0.544550E+04   0.172164E+01   0.189947E-01   0.483068E+02
   242   0.543266E+04   0.178338E+01   0.191485E-01   0.499344E+02
   243   0.541924E+04   0.184723E+01   0.193021E-01   0.515573E+02
   244   0.540523E+04   0.191310E+01   0.194555E-01   0.531764E+02
   245   0.539063E+04   0.198107E+01   0.196086E-01   0.547887E+02
   246   0.537551E+04   0.205113E+01   0.197614E-01   0.563956E+02
   247   0.535988E+04   0.212321E+01   0.199138E-01   0.579949E+02
   248   0.534365E+04   0.219768E+01   0.200659E-01   0.595868E+02
   249   0.532699E+04   0.227403E+01   0.202175E-01   0.611703E+02
   250   0.530973E+04   0.235268E+01   0.203686E-01   0.627442E+02
   251   0.529203E+04   0.243335E+01   0.205193E-01   0.643090E+02
   252   0.527367E+04   0.251626E+01   0.206693E-01   0.658634E+02
   253   0.525501E+04   0.260118E+01   0.208189E-01   0.674059E+02
   254   0.523576E+04   0.268842E+01   0.209678E-01   0.689365E+02
   255   0.521600E+04   0.277766E+01   0.211162E-01   0.704553E+02
   256   0.519580E+04   0.286930E+01   0.212640E-01   0.719621E+02
   257   0.517515E+04   0.296288E+01   0.214113E-01   0.734490E+02
   258   0.515399E+04   0.305876E+01   0.215579E-01   0.749284E+02
   259   0.513239E+04   0.315681E+01   0.217039E-01   0.763857E+02
   260   0.511042E+04   0.325703E+01   0.218493E-01   0.778356E+02
   261   0.508793E+04   0.335933E+01   0.219941E-01   0.792559E+02
   262   0.506493E+04   0.346395E+01   0.221382E-01   0.806689E+02
   263   0.504179E+04   0.357066E+01   0.222817E-01   0.820672E+02
   264   0.501806E+04   0.367953E+01   0.224246E-01   0.834434E+02
   265   0.499381E+04   0.379049E+01   0.225668E-01   0.847900E+02
   266   0.496927E+04   0.390377E+01   0.227083E-01   0.861294E+02
   267   0.494421E+04   0.401898E+01   0.228492E-01   0.874393E+02
   268   0.491879E+04   0.413651E+01   0.229894E-01   0.887345E+02
   269   0.489285E+04   0.425606E+01   0.231289E-01   0.900078E+02
   270   0.486670E+04   0.437770E+01   0.232678E-01   0.912590E+02
   271   0.484010E+04   0.450135E+01   0.234060E-01   0.924882E+02
   272   0.481329E+04   0.462732E+01   0.235434E-01   0.936880E+02
   273   0.478604E+04   0.475500E+01   0.236802E-01   0.948733E+02
   274   0.475849E+04   0.488500E+01   0.238163E-01   0.960217E+02
   275   0.473058E+04   0.501680E+01   0.239517E-01   0.971557E+02
   276   0.470245E+04   0.515061E+01   0.240864E-01   0.982529E+02
   277   0.467388E+04   0.528644E+01   0.242204E-01   0.993356E+02
   278   0.464510E+04   0.542422E+01   0.243537E-01   0.100382E+03
   279   0.461602E+04   0.556386E+01   0.244863E-01   0.101398E+03
   280   0.458665E+04   0.570538E+01   0.246182E-01   0.102401E+03
   281   0.455714E+04   0.584884E+01   0.247494E-01   0.103366E+03
   282   0.452719E+04   0.599394E+01   0.248799E-01   0.104303E+03
   283   0.449709E+04   0.614092E+01   0.250097E-01   0.105210E+03
   284   0.446678E+04   0.628969E+01   0.251388E-01   0.106088E+03
   285   0.443625E+04   0.644026E+01   0.252672E-01   0.106937E+03
   286   0.440543E+04   0.659248E+01   0.253950E-01   0.107750E+03
   287   0.437439E+04   0.674635E+01   0.255220E-01   0.108540E+03
   288   0.434321E+04   0.690187E+01   0.256483E-01   0.109294E+03
   289   0.431181E+04   0.705896E+01   0.257740E-01   0.110019E+03
   290   0.428027E+04   0.721748E+01   0.258989E-01   0.110715E+03
   291   0.424859E+04   0.737818E+01   0.260232E-01   0.111367E+03
   292   0.421646E+04   0.753993E+01   0.261468E-01   0.111998E+03
   293   0.418449E+04   0.770236E+01   0.262698E-01   0.112585E+03
   294   0.415223E+04   0.786697E+01   0.263920E-01   0.113150E+03
   295   0.412005E+04   0.803226E+01   0.265136E-01   0.113671E+03
   296   0.408757E+04   0.819973E+01   0.266345E-01   0.114163E+03
   297   0.405503E+04   0.836714E+01   0.267548E-01   0.114627E+03
   298   0.402227E+04   0.853673E+01   0.268744E-01   0.115046E+03
   299   0.398952E+04   0.870775E+01   0.269934E-01   0.115430E+03
   300   0.395662E+04   0.887871E+01   0.271117E-01   0.115777E+03
   301   0.392366E+04   0.905111E+01   0.272294E-01   0.116095E+03
   302   0.389070E+04   0.922420E+01   0.273464E-01   0.116384E+03
   303   0.385767E+04   0.939873E+01   0.274628E-01   0.116630E+03
   304   0.382457E+04   0.957469E+01   0.275786E-01   0.116832E+03
   305   0.379147E+04   0.975061E+01   0.276937E-01   0.117005E+03
   306   0.375831E+04   0.992723E+01   0.278083E-01   0.117142E+03
   307   0.372515E+04   0.101045E+02   0.279221E-01   0.117235E+03
   308   0.369199E+04   0.102841E+02   0.280354E-01   0.117307E+03
   309   0.365891E+04   0.104628E+02   0.281481E-01   0.117328E+03
   310   0.362576E+04   0.106415E+02   0.282601E-01   0.117319E+03
   311   0.359269E+04   0.108223E+02   0.283715E-01   0.117267E+03
   312   0.355970E+04   0.110024E+02   0.284823E-01   0.117186E+03
   313   0.352670E+04   0.111833E+02   0.285926E-01   0.117062E+03
   314   0.349379E+04   0.113648E+02   0.287022E-01   0.116908E+03
   315   0.346095E+04   0.115455E+02   0.288113E-01   0.116711E+03
   316   0.342818E+04   0.117270E+02   0.289197E-01   0.116478E+03
   317   0.339550E+04   0.119077E+02   0.290276E-01   0.116208E+03
   318   0.336288E+04   0.120899E+02   0.291350E-01   0.115902E+03
   319   0.333042E+04   0.122713E+02   0.292418E-01   0.115559E+03
   320   0.329811E+04   0.124527E+02   0.293480E-01   0.115188E+03
   321   0.326587E+04   0.126348E+02   0.294537E-01   0.114773E+03
   322   0.323378E+04   0.128154E+02   0.295589E-01   0.114321E+03
   323   0.320183E+04   0.129960E+02   0.296635E-01   0.113834E+03
   324   0.317004E+04   0.131774E+02   0.297677E-01   0.113302E+03
   325   0.313847E+04   0.133557E+02   0.298713E-01   0.112749E+03
   326   0.310697E+04   0.135355E+02   0.299745E-01   0.112145E+03
   327   0.307569E+04   0.137146E+02   0.300772E-01   0.111512E+03
   328   0.304463E+04   0.138922E+02   0.301794E-01   0.110850E+03
   329   0.301372E+04   0.140699E+02   0.302812E-01   0.110144E+03
   330   0.298303E+04   0.142460E+02   0.303826E-01   0.109402E+03
   331   0.295264E+04   0.144214E+02   0.304835E-01   0.108630E+03
   332   0.292239E+04   0.145968E+02   0.305841E-01   0.107830E+03
   333   0.289236E+04   0.147707E+02   0.306843E-01   0.106994E+03
