1.9000e+01 1.2369e-08 1.4201e-07 1.0493e-05 2.8322e-06 2.0078e-05 1.1393e-08
2.0000e+00 1.3838e-06 1.5709e-05 9.4513e-04 3.0567e-04 1.7628e-03 1.2718e-06
1.5000e+01 1.9901e-08 2.2804e-07 1.6845e-05 4.5428e-06 3.2214e-05 1.8328e-08
2.0000e+01 1.1167e-08 1.2817e-07 9.4677e-06 2.5556e-06 1.8119e-05 1.0286e-08
6.0000e+00 1.2932e-07 1.4720e-06 1.0529e-04 2.9194e-05 2.0047e-04 1.1901e-07
3.0000e+01 4.9813e-09 5.7539e-08 4.1973e-06 1.1503e-06 8.0413e-06 4.5913e-09
4.5000e+01 2.2518e-09 2.6340e-08 1.8562e-06 5.2906e-07 3.5636e-06 2.0779e-09
3.5000e+01 3.6724e-09 4.2598e-08 3.0789e-06 8.5312e-07 5.9022e-06 3.3861e-09
8.0000e+00 7.1379e-08 8.1462e-07 5.9243e-05 1.6183e-05 1.1301e-04 6.5708e-08
3.6000e+01 3.4745e-09 4.0322e-08 2.9092e-06 8.0778e-07 5.5777e-06 3.2038e-09
1.1000e+01 3.7275e-08 4.2581e-07 3.1335e-05 8.4695e-06 5.9859e-05 3.4319e-08
5.5000e+01 1.5324e-09 1.8135e-08 1.2387e-06 3.6559e-07 2.3816e-06 1.4156e-09
4.7000e+01 2.0695e-09 2.4267e-08 1.7004e-06 4.8784e-07 3.2656e-06 1.9102e-09
5.2000e+01 1.7042e-09 2.0097e-08 1.3870e-06 4.0476e-07 2.6655e-06 1.5738e-09
4.3000e+01 2.4571e-09 2.8695e-08 2.0343e-06 5.7620e-07 3.9042e-06 2.2670e-09
2.6000e+01 6.6117e-09 7.6185e-08 5.5945e-06 1.5217e-06 1.0713e-05 6.0926e-09
4.0000e+00 3.0387e-07 3.4458e-06 2.3667e-04 6.8025e-05 4.4779e-04 2.7950e-07
4.6000e+01 2.1562e-09 2.5263e-08 1.7758e-06 5.0784e-07 3.4097e-06 1.9900e-09
7.0000e+00 9.4180e-08 1.0727e-06 7.7371e-05 2.1275e-05 1.4748e-04 8.6681e-08
5.6000e+01 1.4816e-09 1.7550e-08 1.1946e-06 3.5397e-07 2.2969e-06 1.3688e-09
3.7000e+01 3.2979e-09 3.8285e-08 2.7532e-06 7.6683e-07 5.2793e-06 3.0411e-09
3.8000e+01 3.1284e-09 3.6358e-08 2.6093e-06 7.2878e-07 5.0041e-06 2.8851e-09
