1.9000e+01 5.4230e-09 1.2761e-09 1.4099e-09 1.0345e-09 1.5439e-10 1.2212e-10
3.1000e+01 2.0300e-09 4.8815e-10 5.2999e-10 3.9153e-10 5.8032e-11 4.5998e-11
4.0000e+00 1.3389e-07 3.0802e-08 3.1799e-08 2.5215e-08 3.4822e-09 2.7937e-09
3.5000e+01 1.5913e-09 3.8611e-10 4.1589e-10 3.0832e-10 4.5538e-11 3.6129e-11
6.0000e+00 5.6960e-08 1.3179e-08 1.4133e-08 1.0762e-08 1.5477e-09 1.2325e-09
3.9000e+01 1.2829e-09 3.1427e-10 3.3507e-10 2.4973e-10 3.6688e-11 2.9147e-11
3.6000e+01 1.5050e-09 3.6599e-10 3.9315e-10 2.9186e-10 4.3048e-11 3.4166e-11
3.8000e+01 1.3518e-09 3.3032e-10 3.5291e-10 2.6282e-10 3.8642e-11 3.0692e-11
1.8000e+01 6.0543e-09 1.4232e-09 1.5709e-09 1.1542e-09 1.7201e-10 1.3610e-10
5.0000e+00 8.3474e-08 1.9268e-08 2.0351e-08 1.5748e-08 2.2286e-09 1.7801e-09
3.4000e+01 1.6896e-09 4.0888e-10 4.4069e-10 3.2687e-10 4.8254e-11 3.8286e-11
2.0000e+00 6.1087e-07 1.3893e-07 1.2719e-07 1.1517e-07 1.3929e-08 1.1414e-08
1.0000e+01 1.9919e-08 4.6361e-09 5.0883e-09 3.7770e-09 5.5721e-10 4.4163e-10
2.0000e+01 4.8967e-09 1.1543e-09 1.2725e-09 9.3477e-10 1.3934e-10 1.1026e-10
1.4000e+01 1.0052e-08 2.3509e-09 2.5963e-09 1.9114e-09 2.8431e-10 2.2500e-10
8.0000e+00 3.1420e-08 7.2949e-09 7.9501e-09 5.9487e-09 8.7060e-10 6.9105e-10
1.2000e+01 1.3746e-08 3.2059e-09 3.5337e-09 2.6096e-09 3.8696e-10 3.0641e-10
4.7000e+01 8.8530e-10 2.2187e-10 2.3089e-10 1.7443e-10 2.5279e-11 2.0148e-11
9.0000e+00 2.4750e-08 5.7526e-09 6.2816e-09 4.6884e-09 6.8788e-10 5.4578e-10
2.3000e+01 3.6921e-09 8.7456e-10 9.6234e-10 7.0662e-10 1.0538e-10 8.3384e-11
3.3000e+01 1.7901e-09 4.3219e-10 4.6777e-10 3.4588e-10 5.1219e-11 4.0611e-11
4.9000e+01 8.1519e-10 2.0559e-10 2.1247e-10 1.6121e-10 2.3263e-11 1.8559e-11
2.8000e+01 2.4899e-09 5.9504e-10 6.4952e-10 4.7869e-10 7.1122e-11 5.6336e-11
5.4000e+01 6.7217e-10 1.7236e-10 1.7505e-10 1.3415e-10 1.9165e-11 1.5324e-11
3.7000e+01 1.4270e-09 3.4776e-10 3.7221e-10 2.7700e-10 4.0755e-11 3.2364e-11
4.5000e+01 9.6567e-10 2.4059e-10 2.5182e-10 1.8968e-10 2.7572e-11 2.1959e-11
5.1000e+01 7.5305e-10 1.9120e-10 1.9618e-10 1.4948e-10 2.1479e-11 1.7152e-11
5.0000e+01 7.8322e-10 1.9812e-10 2.0408e-10 1.5512e-10 2.2344e-11 1.7833e-11
5.5000e+01 6.4872e-10 1.6693e-10 1.6876e-10 1.2973e-10 1.8476e-11 1.4783e-11
4.6000e+01 9.2347e-10 2.3079e-10 2.4101e-10 1.8172e-10 2.6388e-11 2.1022e-11
1.7000e+01 6.7910e-09 1.5942e-09 1.7610e-09 1.2939e-09 1.9284e-10 1.5257e-10
5.6000e+01 6.2623e-10 1.6167e-10 1.6281e-10 1.2547e-10 1.7824e-11 1.4269e-11
2.5000e+01 3.1257e-09 7.4273e-10 8.1461e-10 5.9914e-10 8.9200e-11 7.0615e-11
4.4000e+01 1.0100e-09 2.5086e-10 2.6337e-10 1.9803e-10 2.8836e-11 2.2957e-11
2.6000e+01 2.8886e-09 6.8773e-10 7.5320e-10 5.5426e-10 8.2475e-11 6.5301e-11
5.2000e+01 7.2432e-10 1.8452e-10 1.8873e-10 1.4406e-10 2.0663e-11 1.6507e-11
4.1000e+01 1.1620e-09 2.8618e-10 3.0323e-10 2.2685e-10 3.3201e-11 2.6400e-11
