6.8000e+01 1.5915e-13 1.4268e-10 2.9170e-10 9.9021e-10 1.0270e-09
6.9000e+01 1.6423e-13 1.4706e-10 3.0083e-10 1.0206e-09 1.0594e-09
7.0000e+01 1.6939e-13 1.5150e-10 3.1000e-10 1.0515e-09 1.0929e-09
7.1000e+01 1.7460e-13 1.5601e-10 3.1930e-10 1.0831e-09 1.1276e-09
7.2000e+01 1.7991e-13 1.6060e-10 3.2880e-10 1.1151e-09 1.1641e-09
7.3000e+01 1.8528e-13 1.6537e-10 3.3894e-10 1.1476e-09 1.2008e-09
7.4000e+01 1.9077e-13 1.7038e-10 3.4997e-10 1.1806e-09 1.2382e-09
7.5000e+01 1.9644e-13 1.7557e-10 3.6145e-10 1.2141e-09 1.2764e-09
7.6000e+01 2.0222e-13 1.8071e-10 3.7246e-10 1.2481e-09 1.3158e-09
7.7000e+01 2.0807e-13 1.8568e-10 3.8292e-10 1.2826e-09 1.3565e-09
7.8000e+01 2.1387e-13 1.9097e-10 3.9406e-10 1.3178e-09 1.3989e-09
7.9000e+01 2.1968e-13 1.9638e-10 4.0595e-10 1.3535e-09 1.4407e-09
8.0000e+01 2.2561e-13 2.0209e-10 4.1867e-10 1.3895e-09 1.4820e-09
8.1000e+01 2.3171e-13 2.0787e-10 4.3163e-10 1.4262e-09 1.5230e-09
8.2000e+01 2.3795e-13 2.1355e-10 4.4408e-10 1.4634e-09 1.5649e-09
8.3000e+01 2.4433e-13 2.1914e-10 4.5605e-10 1.5011e-09 1.6076e-09
8.4000e+01 2.5086e-13 2.2480e-10 4.6815e-10 1.5395e-09 1.6519e-09
8.5000e+01 2.5744e-13 2.3065e-10 4.8100e-10 1.5784e-09 1.6982e-09
8.6000e+01 2.6400e-13 2.3674e-10 4.9446e-10 1.6179e-09 1.7455e-09
8.7000e+01 2.7067e-13 2.4292e-10 5.0814e-10 1.6580e-09 1.7951e-09
8.8000e+01 2.7742e-13 2.4913e-10 5.2171e-10 1.6988e-09 1.8466e-09
8.9000e+01 2.8416e-13 2.5534e-10 5.3516e-10 1.7400e-09 1.8970e-09
9.0000e+01 2.9090e-13 2.6156e-10 5.4845e-10 1.7817e-09 1.9477e-09
9.1000e+01 2.9773e-13 2.6782e-10 5.6209e-10 1.8238e-09 1.9994e-09
9.2000e+01 3.0456e-13 2.7415e-10 5.7565e-10 1.8667e-09 2.0500e-09
9.3000e+01 3.1145e-13 2.8052e-10 5.8929e-10 1.9101e-09 2.1003e-09
9.4000e+01 3.1836e-13 2.8694e-10 6.0310e-10 1.9542e-09 2.1509e-09
9.5000e+01 3.2533e-13 2.9340e-10 6.1664e-10 1.9987e-09 2.2009e-09
9.6000e+01 3.3238e-13 2.9992e-10 6.3033e-10 2.0433e-09 2.2501e-09
9.7000e+01 3.3951e-13 3.0650e-10 6.4410e-10 2.0881e-09 2.2996e-09
9.8000e+01 3.4672e-13 3.1319e-10 6.5805e-10 2.1333e-09 2.3494e-09
9.9000e+01 3.5406e-13 3.2002e-10 6.7221e-10 2.1792e-09 2.3999e-09
1.0000e+02 3.6178e-13 3.2714e-10 6.8701e-10 2.2263e-09 2.4569e-09
1.0100e+02 3.6962e-13 3.3445e-10 7.0249e-10 2.2744e-09 2.5162e-09
1.0200e+02 3.7757e-13 3.4192e-10 7.1902e-10 2.3235e-09 2.5778e-09
1.0300e+02 3.8581e-13 3.4979e-10 7.3763e-10 2.3734e-09 2.6422e-09
1.0400e+02 3.9440e-13 3.5839e-10 7.5832e-10 2.4234e-09 2.7077e-09
1.0500e+02 4.0325e-13 3.6729e-10 7.7970e-10 2.4736e-09 2.7732e-09
